ch1,ch2,ch3
52.0,1.224203,-0.524116
1.870798,1.225957,-0.538001
1.873137,1.223619,-0.536831
1.878398,1.220111,-0.521923
1.874013,1.228004,-0.523531
1.866998,1.225373,-0.536685
1.87606,1.217773,-0.524116
1.873721,1.22128,-0.5247
1.87226,1.216311,-0.523531
1.87606,1.22508,-0.520316
1.868459,1.218065,-0.519293
1.876644,1.215726,-0.515054
1.866706,1.22508,-0.516516
1.87109,1.223327,-0.525139
1.87606,1.219526,-0.523531
1.869921,1.221865,-0.526162
1.868752,1.218065,-0.5266
1.868167,1.222742,-0.523093
1.873429,1.220696,-0.516223
1.869044,1.225373,-0.530254
1.874306,1.224788,-0.522654
1.871383,1.220696,-0.530108
1.863783,1.225373,-0.518123
1.865244,1.226834,-0.515493
1.872552,1.218065,-0.519146
1.871675,1.229173,-0.527477
1.865829,1.220696,-0.523823
1.865244,1.228296,-0.490646
1.865244,1.228004,-0.519
1.869921,1.22245,-0.518416
1.86349,1.224203,-0.522654
1.869044,1.227711,-0.520754
1.868167,1.220696,-0.5266
1.87489,1.223619,-0.522654
1.86729,1.218065,-0.527039
1.873721,1.218942,-0.52397
1.871383,1.224788,-0.52397
1.874013,1.21748,-0.525285
1.876937,1.22245,-0.534347
1.881906,1.217188,-0.533762
1.881906,1.218357,-0.528939
1.877229,1.223034,-0.524847
1.878983,1.225957,-0.523093
1.874306,1.221573,-0.525577
1.867583,1.217773,-0.530108
1.871675,1.223911,-0.530547
1.870506,1.221865,-0.525431
1.868752,1.217773,-0.531862
1.869336,1.225373,-0.528354
1.878983,1.225373,-0.519731
1.87489,1.228296,-0.519
1.87606,1.229465,-0.528647
1.868167,1.233557,-0.525139
1.875475,1.22625,-0.529377
1.87869,1.221573,-0.523093
1.87226,1.228588,-0.527039
1.871383,1.230342,-0.533031
1.873429,1.22245,-0.521193
1.874306,1.225957,-0.538147
1.864659,1.226834,-0.526454
1.87109,1.219819,-0.533031
1.878398,1.225373,-0.543847
1.869044,1.224788,-0.537562
1.873721,1.22245,-0.525139
1.866121,1.218942,-0.528062
1.874306,1.220111,-0.543847
1.873721,1.225373,-0.524262
1.872844,1.21865,-0.527916
1.872844,1.226834,-0.5247
1.873137,1.226834,-0.524116
1.872552,1.224788,-0.52397
1.868459,1.220403,-0.541947
1.877813,1.220403,-0.524116
1.866413,1.213096,-0.527039
1.871383,1.22128,-0.524993
1.867583,1.224788,-0.532739
1.866998,1.220403,-0.492108
1.87489,1.222157,-0.511254
1.866706,1.227127,-0.515931
1.869044,1.226834,-0.524554
1.876937,1.22508,-0.530839
1.87226,1.227419,-0.52207
1.879275,1.22245,-0.520754
1.878106,1.220403,-0.523531
1.873137,1.222742,-0.525723
1.873429,1.220696,-0.534493
1.873429,1.217188,-0.528354
1.869044,1.222742,-0.518123
1.868752,1.22245,-0.523239
1.875475,1.218357,-0.52777
1.87489,1.217188,-0.526747
1.873429,1.214849,-0.528939
1.877229,1.227419,-0.519877
1.875767,1.22625,-0.528062
1.867875,1.223911,-0.528939
1.871967,1.220988,-0.5285
1.866706,1.215142,-0.520754
1.866706,1.225665,-0.5285
1.873429,1.21865,-0.534493
1.87606,1.218357,-0.525577
1.873429,1.22625,-0.536539
1.874013,1.22245,-0.537124
1.875183,1.218065,-0.523385
1.869629,1.22128,-0.5285
