ch1,ch2,ch3
1.74335,1.437884,-0.797135
1.738673,1.435253,-0.779889
1.738673,1.431745,-0.780766
1.73955,1.434376,-0.78135
1.737796,1.435838,-0.787928
1.739842,1.434668,-0.791143
1.741888,1.432914,-0.799328
1.743642,1.435838,-0.794651
1.740427,1.433499,-0.784127
1.742765,1.436714,-0.804297
1.741888,1.434376,-0.803274
1.744227,1.436422,-0.791581
1.736627,1.433207,-0.798305
1.746565,1.437591,-0.788658
1.744227,1.437007,-0.787781
1.744519,1.430576,-0.79962
1.743058,1.441099,-0.788366
1.744811,1.438468,-0.798743
1.743935,1.439345,-0.782227
1.746565,1.431745,-0.788366
1.744519,1.435253,-0.804443
1.743935,1.442268,-0.802105
1.739842,1.435545,-0.796258
1.740134,1.429699,-0.789097
1.743935,1.429114,-0.79962
1.741596,1.43613,-0.791289
1.745104,1.430576,-0.804735
1.737796,1.435253,-0.796843
1.73575,1.437007,-0.792605
1.744519,1.439638,-0.79392
1.738381,1.430576,-0.795528
1.737211,1.434668,-0.799474
1.738965,1.426776,-0.79202
1.740427,1.441391,-0.800058
1.739258,1.434084,-0.790412
1.743058,1.430576,-0.795528
1.742473,1.432037,-0.785004
1.734581,1.435838,-0.789681
1.735457,1.432622,-0.801812
1.737211,1.430576,-0.789535
1.740427,1.433791,-0.79012
1.738673,1.441391,-0.786027
1.751827,1.434084,-0.791874
1.742765,1.432037,-0.792751
1.737796,1.431453,-0.788512
1.738965,1.438468,-0.796405
1.744519,1.434668,-0.790997
1.744519,1.43496,-0.790997
1.749196,1.430868,-0.781643
1.742181,1.431453,-0.786466
1.74335,1.429991,-0.78632
1.734873,1.432914,-0.779012
1.737796,1.440222,-0.784712
1.744811,1.435545,-0.792312
1.741011,1.435838,-0.78442
1.739842,1.438761,-0.783835
1.744519,1.442268,-0.794943
1.745396,1.446653,-0.79202
1.742473,1.443438,-0.793774
1.750658,1.441684,-0.794358
1.733996,1.452499,-0.787051
1.722888,1.475884,-0.790412
1.727565,1.501023,-0.772727
1.720257,1.508039,-0.770096
1.723765,1.519731,-0.761181
1.72318,1.51827,-0.759719
1.724934,1.517977,-0.750073
1.729027,1.510377,-0.74715
1.722888,1.515054,-0.743058
1.736334,1.518562,-0.732973
1.732534,1.512716,-0.73005
