ch1,ch2,ch3
1.768489,1.41976,-0.623648
1.770243,1.435838,-0.631979
1.773458,1.446653,-0.642064
1.775504,1.451038,-0.639871
1.786612,1.461561,-0.660041
1.788658,1.46273,-0.660772
1.808243,1.480561,-0.666179
1.809412,1.473253,-0.677433
1.814674,1.476469,-0.669103
1.818766,1.465653,-0.681526
1.831044,1.470038,-0.690149
1.826951,1.454253,-0.678164
1.839521,1.456884,-0.680649
1.84449,1.449868,-0.68021
1.848875,1.444022,-0.676703
1.859982,1.43233,-0.67188
1.868459,1.434668,-0.690441
1.872552,1.424437,-0.676849
1.87489,1.412745,-0.682257
1.878398,1.410699,-0.670126
1.881614,1.401345,-0.674949
1.887167,1.39696,-0.671003
1.885998,1.389944,-0.661795
1.884829,1.386144,-0.659602
1.894768,1.377375,-0.657264
1.894475,1.367436,-0.652587
1.897691,1.359836,-0.651564
1.902075,1.358959,-0.648202
1.907629,1.353405,-0.641771
1.897398,1.337036,-0.644402
1.900614,1.331482,-0.637533
1.905583,1.329436,-0.636948
1.902368,1.319497,-0.640456
1.902952,1.31482,-0.638994
1.902368,1.311312,-0.627302
1.908214,1.302543,-0.615463
1.910845,1.301082,-0.62321
1.913768,1.298158,-0.615756
1.909091,1.287928,-0.625694
1.912306,1.285589,-0.611517
1.916399,1.279158,-0.608594
1.912891,1.270973,-0.616633
1.904414,1.268635,-0.609909
1.908214,1.265127,-0.599971
1.91786,1.254896,-0.606402
1.908799,1.26045,-0.593248
1.912306,1.256942,-0.595586
1.920783,1.251973,-0.588571
1.912014,1.250512,-0.589155
1.913768,1.240281,-0.579801
1.912306,1.238234,-0.57644
1.917568,1.23385,-0.593978
1.909091,1.225665,-0.579363
1.91406,1.228588,-0.579801
1.91026,1.23005,-0.574393
1.919322,1.224788,-0.560362
1.913183,1.218942,-0.567378
1.913183,1.212219,-0.569863
1.917568,1.205203,-0.569132
1.911137,1.199357,-0.569278
1.909383,1.188834,-0.560801
1.906752,1.197311,-0.563724
1.905583,1.188249,-0.55437
1.909968,1.190295,-0.556562
1.908506,1.190588,-0.546185
1.89886,1.187957,-0.548816
1.909675,1.182403,-0.547647
1.904706,1.17568,-0.54677
1.904122,1.176264,-0.533177
1.897691,1.178603,-0.545893
1.89506,1.17568,-0.540924
1.900614,1.167203,-0.54297
1.897691,1.166618,-0.536977
1.893891,1.169541,-0.530693
1.885706,1.159602,-0.528062
1.893891,1.156679,-0.536831
1.894475,1.16311,-0.529377
1.887752,1.154925,-0.532008
1.881614,1.153464,-0.54107
1.883367,1.156679,-0.53917
1.880444,1.154633,-0.522508
1.87226,1.154049,-0.534493
1.873137,1.150248,-0.529962
1.875767,1.154341,-0.526454
1.868459,1.153464,-0.522216
1.866998,1.149372,-0.537124
1.864367,1.148202,-0.524408
1.86349,1.14411,-0.526454
1.855598,1.148787,-0.529231
1.858521,1.156387,-0.525723
1.855598,1.149079,-0.526308
1.852675,1.153756,-0.526308
1.845075,1.153756,-0.527916
1.839813,1.145571,-0.53537
1.845659,1.15551,-0.521631
1.841859,1.155802,-0.523677
1.838059,1.149372,-0.527039
1.842736,1.152295,-0.53537
1.83689,1.153172,-0.536247
1.835721,1.144402,-0.532885
1.831921,1.142941,-0.53727
1.831044,1.149372,-0.538731
1.829582,1.150541,-0.538878
1.823443,1.153172,-0.53917
1.821982,1.154925,-0.545308
1.822274,1.156387,-0.542239
1.815259,1.165156,-0.544578
1.811166,1.159895,-0.542093
1.814089,1.158141,-0.552762
1.810582,1.157849,-0.548378
1.808828,1.160187,-0.549401
1.804443,1.167203,-0.546039
1.803566,1.163987,-0.553347
1.803859,1.164864,-0.558755
1.795674,1.161941,-0.568401
1.784566,1.163695,-0.562116
1.798305,1.170418,-0.557732
1.787489,1.172757,-0.561386
1.788366,1.178018,-0.559778
1.785443,1.180941,-0.566793
1.786612,1.180357,-0.570447
1.783397,1.177141,-0.577024
1.772289,1.187664,-0.579801
1.773458,1.180941,-0.573663
1.775797,1.196726,-0.579655
1.774627,1.196141,-0.584332
1.775797,1.185618,-0.594709
1.766735,1.189418,-0.583601
1.774043,1.203157,-0.592663
1.777843,1.208711,-0.599678
1.760012,1.208711,-0.594124
1.767612,1.215726,-0.594563
1.764104,1.209296,-0.59354
1.758842,1.216896,-0.598948
1.768489,1.216311,-0.604355
1.755919,1.216019,-0.598801
1.755042,1.220111,-0.603332
1.756212,1.225373,-0.604502
1.749196,1.223327,-0.612979
1.752996,1.236481,-0.611079
1.745688,1.228004,-0.628763
1.744811,1.23005,-0.612248
1.741596,1.239111,-0.621602
1.742765,1.242619,-0.619117
1.742181,1.242619,-0.63344
1.73955,1.247296,-0.621894
1.746565,1.251681,-0.638264
1.737796,1.261327,-0.643233
1.742765,1.259573,-0.642941
1.733119,1.260742,-0.650102
1.736334,1.264835,-0.656825
1.737504,1.27185,-0.653902
1.732827,1.270973,-0.657849
1.735457,1.276235,-0.660626
1.731073,1.28062,-0.66691
1.729611,1.289974,-0.668079
1.729611,1.287343,-0.669541
1.72815,1.289974,-0.660333
1.724934,1.289974,-0.67071
1.723473,1.288804,-0.670272
1.723473,1.298158,-0.672318
1.723765,1.301958,-0.682257
1.724057,1.306635,-0.684887
1.722888,1.305759,-0.690441
1.724934,1.308682,-0.694388
1.72318,1.31862,-0.699503
1.72435,1.320082,-0.69468
1.712949,1.324174,-0.687226
1.718796,1.32622,-0.695849
1.724642,1.321543,-0.705934
1.726103,1.327974,-0.703303
1.72318,1.335867,-0.717919
1.718796,1.335867,-0.719965
1.717919,1.341421,-0.713826
1.724934,1.347559,-0.714411
1.724057,1.355744,-0.733704
1.717334,1.348436,-0.723473
1.72698,1.353113,-0.726688
1.716749,1.370067,-0.730342
1.719673,1.367436,-0.733557
1.718796,1.36656,-0.741742
1.722011,1.367144,-0.741888
1.714411,1.370944,-0.736042
1.719673,1.377667,-0.735604
1.723765,1.377375,-0.73575
1.719965,1.379129,-0.744519
1.722303,1.386437,-0.746711
1.71558,1.38439,-0.752704
1.714996,1.394329,-0.763227
1.72435,1.388775,-0.767027
1.720842,1.388775,-0.771412
1.717919,1.394914,-0.768196
1.725519,1.400175,-0.765712
1.727857,1.401052,-0.773897
1.722596,1.403683,-0.768343
1.72055,1.413037,-0.77375
1.725519,1.417422,-0.772727
1.717334,1.412745,-0.775797
1.727565,1.420345,-0.785881
1.727273,1.418883,-0.787781
1.722303,1.42093,-0.782958
1.732242,1.422391,-0.785151
1.733704,1.420637,-0.783981
1.73575,1.425314,-0.79392
1.734873,1.441391,-0.793043
1.737796,1.435838,-0.784712
1.734288,1.442853,-0.790412
1.733996,1.439345,-0.802835
1.736919,1.441099,-0.798597
1.737504,1.439638,-0.800935
1.742473,1.440807,-0.792751
1.738088,1.445192,-0.798889
1.747442,1.449576,-0.795089
1.746858,1.455422,-0.79392
1.746565,1.453668,-0.794505
1.744811,1.454545,-0.801666
1.757089,1.459222,-0.794505
1.74715,1.454253,-0.806197
1.764104,1.456007,-0.793335
1.755335,1.460392,-0.812336
1.758842,1.460099,-0.808828
1.765273,1.455715,-0.806051
1.760304,1.463899,-0.799474
1.765273,1.4715,-0.808536
1.770243,1.463315,-0.814966
1.772289,1.465069,-0.80912
1.775504,1.467407,-0.800497
1.779012,1.459515,-0.813066
1.778135,1.46273,-0.813651
1.783689,1.463022,-0.80722
1.775504,1.461269,-0.809705
1.777258,1.465653,-0.799328
1.781935,1.470038,-0.809997
1.794212,1.468869,-0.806928
1.796843,1.463022,-0.809412
1.792458,1.469746,-0.807659
1.796843,1.46653,-0.808097
1.798012,1.463607,-0.811459
1.80532,1.463315,-0.804005
1.804735,1.468284,-0.810143
1.799182,1.469453,-0.793335
1.804735,1.463899,-0.798451
1.808828,1.46273,-0.791728
1.813505,1.460392,-0.789974
1.824028,1.464776,-0.784858
1.823736,1.456299,-0.787635
1.826367,1.456299,-0.791289
1.82929,1.457176,-0.789828
1.831628,1.455715,-0.794943
1.835428,1.451622,-0.789535
1.831921,1.456007,-0.77755
1.838936,1.447822,-0.776381
1.843613,1.443145,-0.785881
1.84069,1.448699,-0.777404
1.846828,1.440222,-0.772581
1.847705,1.437591,-0.769658
1.84829,1.435838,-0.767173
1.850921,1.431453,-0.765712
1.856767,1.434668,-0.775066
1.852675,1.428237,-0.755773
1.854136,1.431453,-0.762496
1.862321,1.424437,-0.755042
1.863198,1.420053,-0.760012
1.864659,1.41713,-0.751973
1.871967,1.413914,-0.744811
1.872844,1.406899,-0.735019
1.871675,1.402806,-0.73195
1.877813,1.403975,-0.734142
1.873721,1.396375,-0.736919
1.876937,1.388775,-0.727857
1.87606,1.394914,-0.721134
1.882491,1.386729,-0.728588
1.887752,1.386144,-0.719965
1.89886,1.38439,-0.713388
1.894768,1.37796,-0.720842
1.89506,1.379129,-0.711926
1.893014,1.366852,-0.712511
1.895645,1.369775,-0.710465
1.904414,1.364221,-0.703888
1.897106,1.351652,-0.699942
1.899152,1.354575,-0.693511
1.897691,1.349605,-0.687957
1.898568,1.347559,-0.695265
1.902368,1.339959,-0.677872
1.901783,1.335574,-0.686203
1.902368,1.33382,-0.683718
1.910553,1.332067,-0.667203
1.907337,1.328267,-0.676264
1.909675,1.325928,-0.660187
1.915814,1.315989,-0.660041
1.908214,1.311605,-0.658433
1.918445,1.309559,-0.653025
1.919029,1.305759,-0.652587
1.916691,1.315113,-0.651564
1.919322,1.304005,-0.649956
1.921076,1.29962,-0.633879
1.909383,1.297866,-0.627448
1.916983,1.292312,-0.630079
1.92283,1.283835,-0.625694
1.92166,1.283835,-0.625402
1.915522,1.276235,-0.619702
1.920783,1.27302,-0.624233
1.922537,1.275358,-0.608155
1.924583,1.266004,-0.611079
1.919906,1.263666,-0.610786
1.918153,1.265127,-0.597048
1.917276,1.261619,-0.603771
1.921076,1.251973,-0.603478
1.919906,1.248465,-0.597632
1.91786,1.244665,-0.596755
1.920783,1.246127,-0.581847
1.922245,1.237942,-0.588863
1.919322,1.235604,-0.583163
1.915814,1.235311,-0.580094
1.923999,1.227711,-0.578924
1.917568,1.227127,-0.577755
1.915814,1.223327,-0.570155
1.913768,1.221865,-0.562993
1.920491,1.219526,-0.562993
1.919614,1.201695,-0.567086
1.920783,1.203449,-0.565186
1.913476,1.203449,-0.56577
1.91026,1.202865,-0.56387
1.914353,1.195557,-0.554224
1.908214,1.190588,-0.554809
1.909383,1.194388,-0.55247
1.904414,1.189711,-0.549839
1.897106,1.190295,-0.550862
1.907045,1.182987,-0.55437
1.897983,1.188541,-0.551593
1.90646,1.177433,-0.545162
1.903537,1.17451,-0.536101
1.901491,1.173633,-0.541362
1.904122,1.177141,-0.543701
1.894475,1.172464,-0.544724
1.890383,1.174803,-0.530254
1.891552,1.161649,-0.529085
1.891845,1.169833,-0.530985
1.890968,1.164864,-0.533908
1.888921,1.156679,-0.523385
1.881029,1.166326,-0.533324
1.882491,1.159895,-0.521485
1.87986,1.15931,-0.525723
1.876937,1.161941,-0.522216
1.876937,1.157264,-0.530985
1.879275,1.156972,-0.516077
1.872844,1.156387,-0.523239
1.869921,1.157264,-0.526162
1.869921,1.153172,-0.528647
1.871675,1.146156,-0.513593
1.864952,1.152879,-0.518854
1.86729,1.153172,-0.528939
1.863198,1.147325,-0.51827
1.853552,1.151125,-0.517977
1.859105,1.155218,-0.515493
1.850921,1.143525,-0.516077
1.843905,1.149079,-0.522362
1.844782,1.152295,-0.524847
1.84449,1.150833,-0.530108
1.843028,1.150541,-0.529816
1.841859,1.149956,-0.5209
1.831628,1.14791,-0.533031
1.838059,1.151418,-0.533177
1.84069,1.143818,-0.522654
1.827243,1.149079,-0.526747
1.822274,1.148202,-0.53157
1.817889,1.152587,-0.536247
1.826367,1.15171,-0.540924
1.821397,1.156972,-0.539462
1.817597,1.159018,-0.534347
1.812336,1.15171,-0.53347
1.821105,1.163403,-0.546185
1.808535,1.12394,-0.548085
1.807366,1.162233,-0.556124
1.812628,1.16691,-0.545601
1.799474,1.169541,-0.541362
1.805028,1.17071,-0.558024
1.803566,1.173049,-0.559193
1.799474,1.17071,-0.566355
1.793335,1.171295,-0.553347
1.790997,1.171295,-0.562847
1.789535,1.177433,-0.565916
1.794212,1.185911,-0.569424
1.786612,1.179772,-0.563432
1.781935,1.179772,-0.578193
1.785443,1.185618,-0.575124
1.779889,1.187664,-0.583601
1.78135,1.190588,-0.583601
1.772581,1.190295,-0.589886
1.776966,1.188249,-0.590178
1.773166,1.201403,-0.590471
1.767904,1.20228,-0.590763
1.777843,1.203449,-0.592517
1.772581,1.199649,-0.589301
1.761181,1.207542,-0.592371
1.769658,1.214265,-0.598948
1.763227,1.213973,-0.609179
1.768196,1.205788,-0.611663
1.75475,1.220403,-0.615756
1.756212,1.223034,-0.608302
1.755627,1.224496,-0.611079
1.756796,1.236481,-0.615609
1.750073,1.228004,-0.614002
1.755042,1.237357,-0.628033
1.755627,1.238527,-0.621748
1.751242,1.246127,-0.62964
1.745104,1.244081,-0.627156
1.745104,1.248758,-0.633148
1.738381,1.247296,-0.633587
1.741888,1.258112,-0.636364
1.732242,1.257527,-0.637825
1.737504,1.265419,-0.645279
1.73195,1.265712,-0.637971
1.735165,1.264835,-0.645133
1.738673,1.272727,-0.650541
1.733996,1.279158,-0.661795
1.73078,1.28062,-0.658579
1.736627,1.282958,-0.655072
1.730488,1.28822,-0.65361
1.72815,1.29582,-0.662964
1.723473,1.300789,-0.668079
1.725227,1.298743,-0.669395
1.72055,1.301666,-0.674949
1.722888,1.296112,-0.680503
1.724934,1.305466,-0.68708
1.722011,1.309266,-0.693218
1.72435,1.301082,-0.699211
1.725811,1.315697,-0.687811
1.719673,1.314236,-0.685034
1.729904,1.323297,-0.700672
1.717919,1.323005,-0.695849
1.722011,1.328267,-0.70418
1.714411,1.328851,-0.691757
1.717919,1.330605,-0.705642
1.718211,1.333528,-0.725373
1.716165,1.341713,-0.709149
1.717042,1.331774,-0.729611
1.715288,1.341421,-0.729465
1.71558,1.340544,-0.72128
1.714703,1.350482,-0.727565
1.719673,1.356621,-0.729757
1.719965,1.363636,-0.746419
1.727857,1.357498,-0.731804
1.719673,1.361006,-0.745396
1.718796,1.367144,-0.72815
1.714119,1.365683,-0.740427
1.718796,1.374744,-0.729319
1.722888,1.380298,-0.738234
1.717042,1.382637,-0.748904
1.72055,1.382637,-0.742765
1.718503,1.385852,-0.744227
1.720257,1.38556,-0.74715
1.732534,1.396668,-0.753581
1.72318,1.400468,-0.752996
1.726103,1.399298,-0.758696
1.723765,1.405729,-0.751535
1.719088,1.399591,-0.757235
1.721134,1.406022,-0.767027
1.72698,1.414499,-0.765419
1.725227,1.41976,-0.779889
1.721719,1.415083,-0.758989
1.730196,1.420345,-0.773897
1.729904,1.427653,-0.775358
1.729319,1.42736,-0.775504
1.733996,1.42853,-0.77492
1.731073,1.429699,-0.780035
1.73575,1.427653,-0.775066
1.73955,1.433207,-0.781643
1.739842,1.437591,-0.822128
1.736334,1.43496,-0.792458
1.741888,1.435838,-0.792897
1.74335,1.446653,-0.788804
1.748027,1.446945,-0.795528
1.741596,1.446361,-0.794066
1.741596,1.453084,-0.79962
1.743058,1.455422,-0.794943
1.75095,1.449284,-0.793043
1.750073,1.454838,-0.80152
1.755335,1.453668,-0.801959
1.751242,1.459807,-0.791728
1.759427,1.456592,-0.812628
