ch1,ch2,ch3
28705.0,1.24905,-0.710611
1.826074,1.246127,-0.710757
1.819643,1.242911,-0.70988
1.826951,1.244081,-0.704472
1.828997,1.243204,-0.710903
1.82432,1.24525,-0.706665
1.821982,1.240865,-0.71938
1.833967,1.241742,-0.707103
1.823151,1.24905,-0.705642
1.826659,1.252265,-0.704472
1.82812,1.246127,-0.707688
1.832213,1.247296,-0.713826
1.830459,1.241158,-0.704911
1.827828,1.237065,-0.710026
1.823736,1.240281,-0.69848
1.829874,1.247588,-0.698041
1.823736,1.243204,-0.718065
1.838644,1.249342,-0.703888
1.831628,1.245835,-0.706665
1.820228,1.24145,-0.719819
1.828997,1.239988,-0.700234
1.82812,1.242034,-0.715288
1.830167,1.240573,-0.712949
1.826367,1.242911,-0.71368
1.823151,1.241158,-0.72055
1.830167,1.24145,-0.704034
1.826951,1.242034,-0.709588
1.818474,1.246127,-0.711488
1.82052,1.245542,-0.709734
1.821105,1.243788,-0.714265
1.823443,1.244665,-0.722596
1.828413,1.247004,-0.706811
1.827536,1.244373,-0.703303
1.829874,1.247296,-0.704326
1.826367,1.244081,-0.71178
1.822274,1.244373,-0.708711
1.822274,1.243788,-0.705057
1.824028,1.24525,-0.706519
1.825197,1.246419,-0.717334
1.831336,1.24905,-0.710172
1.821105,1.244665,-0.710172
1.830459,1.237942,-0.712511
1.824028,1.249927,-0.709588
1.825197,1.247296,-0.710903
1.822859,1.244665,-0.716603
1.82052,1.247004,-0.697165
1.82169,1.246419,-0.716457
1.829582,1.243496,-0.709149
1.826659,1.255189,-0.709149
1.827243,1.247588,-0.703157
1.821397,1.246419,-0.707542
1.823443,1.242911,-0.714119
1.826367,1.251096,-0.710757
1.81672,1.247296,-0.701257
1.828705,1.243496,-0.705349
1.82169,1.244665,-0.706519
1.823151,1.253727,-0.705642
1.827828,1.247004,-0.704619
1.830167,1.246127,-0.712365
1.82549,1.243496,-0.703011
1.821397,1.245835,-0.705788
1.826074,1.247588,-0.714411
1.827828,1.251388,-0.716311
1.82549,1.247588,-0.723034
1.825197,1.244081,-0.709734
1.823443,1.249635,-0.716896
1.823151,1.246127,-0.710026
1.823736,1.253142,-0.70988
1.821105,1.246419,-0.708419
1.836597,1.23765,-0.709442
1.835136,1.250219,-0.719965
1.826074,1.248465,-0.74525
1.826367,1.247004,-0.70608
1.830459,1.240865,-0.709734
1.828997,1.251681,-0.712657
1.82432,1.248758,-0.709588
1.823151,1.238527,-0.714557
1.826074,1.247004,-0.716896
1.82549,1.243788,-0.706226
1.823443,1.243788,-0.717626
1.833382,1.243496,-0.718357
1.820813,1.247004,-0.709003
1.82929,1.250804,-0.715142
1.826951,1.246711,-0.716896
1.829874,1.245542,-0.706811
1.829582,1.249342,-0.716019
1.824613,1.251973,-0.716603
1.830459,1.240281,-0.713242
1.831336,1.246419,-0.70798
1.830167,1.243204,-0.71938
1.830459,1.248465,-0.714557
1.835428,1.240281,-0.705788
1.828413,1.243204,-0.710026
1.82549,1.249342,-0.720257
1.821982,1.242619,-0.71558
1.823151,1.244081,-0.705203
1.822859,1.239111,-0.72245
1.827536,1.243496,-0.712219
1.826074,1.250512,-0.715726
1.825782,1.248173,-0.71368
1.826367,1.252265,-0.711634
1.822567,1.247004,-0.708857
1.828705,1.256358,-0.723619
1.82432,1.245542,-0.716749
1.836597,1.236773,-0.723034
1.821397,1.247004,-0.724642
1.828413,1.246711,-0.719673
1.826367,1.244665,-0.714703
1.833382,1.246711,-0.712219
1.823736,1.251096,-0.713534
1.827536,1.247296,-0.714996
1.82549,1.241158,-0.718357
1.82812,1.242034,-0.708711
1.831921,1.248758,-0.706811
1.832797,1.246127,-0.708565
1.822567,1.242911,-0.718796
1.825782,1.254019,-0.711196
1.820813,1.243788,-0.706372
1.827536,1.247004,-0.716019
1.82549,1.24525,-0.715142
1.831044,1.243204,-0.721134
1.827536,1.247296,-0.707834
1.818474,1.245835,-0.718065
1.82812,1.24525,-0.72508
1.796551,1.244373,-0.713973
1.826367,1.245542,-0.716019
1.829874,1.242327,-0.712511
1.82812,1.246127,-0.722888
1.828705,1.245542,-0.711634
1.830167,1.246127,-0.717188
1.82549,1.246711,-0.711342
1.82929,1.242911,-0.703742
1.828997,1.247296,-0.712072
1.822859,1.251388,-0.715434
1.826951,1.24905,-0.719088
1.828997,1.243204,-0.71558
1.825197,1.240865,-0.711926
1.826659,1.245542,-0.716165
1.826074,1.243204,-0.711342
1.830167,1.249342,-0.70608
1.831336,1.244958,-0.714411
1.827828,1.256358,-0.715434
1.831628,1.246711,-0.708272
1.827243,1.248758,-0.716165
1.838351,1.243788,-0.709003
1.826074,1.254604,-0.716019
1.813505,1.282666,-0.744373
1.800351,1.310728,-0.765858
1.78135,1.369483,-0.785881
1.756212,1.413037,-0.796989
1.747735,1.453376,-0.800643
1.733119,1.495177,-0.802689
1.726688,1.506577,-0.785735
1.717626,1.524116,-0.775797
1.727565,1.521193,-0.76615
1.719088,1.523823,-0.756212
1.735165,1.513008,-0.730196
1.744227,1.509792,-0.710903
1.748027,1.500438,-0.696434
1.752119,1.484069,-0.678749
1.764981,1.479684,-0.67261
1.763519,1.4715,-0.658287
1.775797,1.453961,-0.640748
1.785443,1.443145,-0.637241
1.792458,1.42853,-0.62321
1.799766,1.416545,-0.614586
1.798305,1.407483,-0.612394
1.808243,1.386144,-0.606109
1.808243,1.387021,-0.591055
1.807074,1.373283,-0.584478
1.826951,1.360713,-0.579655
1.826367,1.35399,-0.574393
1.827536,1.341128,-0.572493
1.830751,1.335574,-0.570009
1.831921,1.32359,-0.570886
1.838059,1.31979,-0.562262
1.845075,1.307805,-0.549839
1.846536,1.305174,-0.557439
1.850628,1.29582,-0.551008
1.857352,1.290266,-0.542678
1.853552,1.283835,-0.542385
1.858229,1.281497,-0.551301
1.848875,1.281204,-0.554662
1.857936,1.271266,-0.558024
1.857644,1.276527,-0.548231
1.857644,1.272143,-0.549255
1.860275,1.263666,-0.538731
1.866998,1.261912,-0.536393
1.868459,1.256065,-0.540193
