ch1,ch2,ch3
1.863198,1.211926,-0.538585
1.860859,1.210172,-0.535662
1.864952,1.215726,-0.530985
1.859982,1.216311,-0.527185
1.861152,1.214557,-0.5323
1.860567,1.206957,-0.531277
1.853552,1.209588,-0.526747
1.862906,1.208711,-0.526162
1.864367,1.211926,-0.528939
1.862906,1.210465,-0.51827
1.865536,1.203449,-0.530254
1.851213,1.212803,-0.528647
1.863783,1.207542,-0.524993
1.867583,1.209003,-0.525431
1.866998,1.212219,-0.534347
1.863783,1.203742,-0.521046
1.869629,1.208419,-0.525139
1.864367,1.213096,-0.515054
1.866413,1.207542,-0.516808
1.85969,1.208419,-0.531862
1.864659,1.209296,-0.533324
1.868459,1.207249,-0.532593
1.861444,1.204619,-0.543701
1.859105,1.212219,-0.535808
1.864075,1.202865,-0.53347
1.865244,1.199065,-0.527623
1.862029,1.201403,-0.522362
1.857352,1.203449,-0.527039
1.857644,1.206957,-0.53347
1.860859,1.210465,-0.531862
1.857936,1.211049,-0.533762
1.860567,1.20608,-0.536685
1.86349,1.208126,-0.526454
1.864367,1.203157,-0.5304
1.860275,1.207542,-0.541508
1.864367,1.210757,-0.529816
1.862613,1.211049,-0.536539
1.861736,1.208711,-0.534785
1.85969,1.211342,-0.52207
1.86729,1.203742,-0.530547
1.861152,1.211634,-0.535808
1.86349,1.213096,-0.526308
1.858813,1.209296,-0.535224
1.867583,1.210172,-0.529085
1.86349,1.201403,-0.534493
1.864952,1.202572,-0.536247
1.862029,1.207834,-0.533031
1.86349,1.204326,-0.536685
1.862029,1.204326,-0.529231
1.860275,1.208419,-0.517831
1.860567,1.20228,-0.520316
1.866706,1.209296,-0.520023
1.861444,1.207249,-0.525723
1.853552,1.204911,-0.521631
1.866998,1.206372,-0.530693
1.856767,1.203742,-0.524408
1.865244,1.208711,-0.513446
1.860859,1.204326,-0.529085
1.859398,1.208419,-0.526454
1.858813,1.194388,-0.535954
1.859982,1.205495,-0.532008
1.864075,1.207542,-0.527623
1.860275,1.210757,-0.523239
1.860567,1.212511,-0.526162
1.853844,1.206665,-0.524993
1.869336,1.215726,-0.527185
1.869921,1.203157,-0.531424
1.865536,1.204619,-0.529816
1.865829,1.20228,-0.5247
1.861736,1.20988,-0.535224
1.862029,1.212803,-0.521339
1.871967,1.211342,-0.536101
1.859982,1.206665,-0.530839
1.861736,1.210172,-0.52397
1.860859,1.208419,-0.523531
1.859982,1.209588,-0.532447
1.867583,1.215726,-0.532593
1.859982,1.205788,-0.54297
1.859398,1.207249,-0.529962
1.862029,1.215434,-0.541508
1.861152,1.204619,-0.529377
1.854429,1.205495,-0.522508
1.858813,1.201988,-0.525139
1.856475,1.208711,-0.531862
1.861152,1.206665,-0.532447
1.870213,1.208126,-0.535662
1.858813,1.205788,-0.537562
1.868752,1.206957,-0.526162
1.864367,1.199942,-0.529816
1.863198,1.205203,-0.535808
1.863198,1.213096,-0.52967
1.866413,1.211342,-0.532154
1.859982,1.207249,-0.533177
1.869336,1.210465,-0.523093
1.866121,1.212511,-0.52397
1.864659,1.199649,-0.539901
1.866413,1.212511,-0.533324
1.870213,1.208711,-0.529377
1.864075,1.20608,-0.525139
1.861152,1.20608,-0.531716
1.855013,1.213096,-0.528647
1.858813,1.205495,-0.529962
1.856767,1.209003,-0.536685
1.858521,1.201403,-0.538731
1.856182,1.212803,-0.5304
1.86349,1.207834,-0.525431
1.858813,1.209588,-0.536539
1.860567,1.210465,-0.54107
1.865829,1.206957,-0.541654
1.859982,1.20988,-0.52967
1.862906,1.208126,-0.5323
1.865536,1.20988,-0.537416
1.857644,1.19848,-0.536393
1.853259,1.199065,-0.529524
1.862321,1.205788,-0.524408
1.862613,1.204326,-0.528062
1.857352,1.204326,-0.54107
1.867583,1.212219,-0.533762
1.86349,1.206957,-0.529085
1.861736,1.212219,-0.520754
1.861444,1.208419,-0.524847
1.859982,1.212511,-0.523823
1.85589,1.210757,-0.535516
1.857644,1.207542,-0.53537
1.857059,1.212803,-0.541362
1.858813,1.212803,-0.530547
1.869629,1.216019,-0.523239
1.864367,1.21865,-0.530693
1.864075,1.207542,-0.527331
1.865244,1.213388,-0.538001
1.862029,1.212511,-0.535077
1.870213,1.21865,-0.530254
1.861736,1.209296,-0.534054
1.864075,1.220696,-0.534347
1.85589,1.20988,-0.536539
1.857352,1.216603,-0.540193
1.864659,1.212511,-0.536247
1.860859,1.208711,-0.533324
1.861736,1.206665,-0.531131
1.865829,1.209588,-0.529524
1.858229,1.207834,-0.526308
1.862613,1.208711,-0.535077
1.862613,1.217188,-0.521046
1.858813,1.213096,-0.534493
1.865829,1.210465,-0.537708
1.866706,1.206372,-0.519585
1.864075,1.215142,-0.5228
1.864367,1.206665,-0.52587
1.859398,1.209296,-0.528062
1.860859,1.212219,-0.533908
1.869921,1.213388,-0.530254
1.863783,1.20988,-0.538147
1.858813,1.211342,-0.527623
1.858813,1.211342,-0.526454
1.865536,1.210465,-0.529816
1.862906,1.212219,-0.524116
1.862321,1.205495,-0.525139
1.868167,1.211634,-0.520023
1.866998,1.213973,-0.527185
1.861152,1.209296,-0.529231
1.862613,1.203742,-0.531862
1.861736,1.208711,-0.52587
1.85969,1.211634,-0.522654
1.856767,1.207834,-0.534931
1.861444,1.205203,-0.530839
1.855305,1.212219,-0.533908
1.857352,1.211926,-0.52017
1.858521,1.208126,-0.532593
1.858813,1.206957,-0.526308
1.857644,1.21368,-0.52777
1.859982,1.210172,-0.526747
1.857936,1.210465,-0.529962
1.858229,1.211049,-0.528793
1.860275,1.205203,-0.520023
1.864952,1.215434,-0.535954
1.858813,1.210465,-0.529231
1.858521,1.205203,-0.536247
1.86349,1.204911,-0.530985
1.864659,1.20608,-0.524116
1.866998,1.209588,-0.536539
1.860275,1.21368,-0.523823
1.863783,1.213096,-0.5114
1.862613,1.217188,-0.527039
1.86729,1.209296,-0.518123
1.862029,1.215142,-0.5247
1.866706,1.212511,-0.531862
1.864075,1.213973,-0.52777
1.865536,1.216019,-0.535224
1.86729,1.206957,-0.527039
1.860859,1.208126,-0.534785
1.866121,1.208126,-0.532593
1.865536,1.208126,-0.515493
1.865536,1.205495,-0.519585
1.870506,1.209296,-0.515493
1.862906,1.212803,-0.528793
1.861152,1.207834,-0.518708
1.860275,1.213388,-0.536101
1.862906,1.210465,-0.529377
1.867583,1.210465,-0.533177
1.850921,1.204034,-0.536977
1.861444,1.212511,-0.523531
1.86729,1.211342,-0.533762
1.871383,1.206665,-0.536539
1.857644,1.204619,-0.560947
1.860275,1.203742,-0.535077
1.86349,1.212803,-0.537124
1.859982,1.206372,-0.536393
1.864075,1.203742,-0.5304
1.859105,1.212511,-0.531862
1.868459,1.211926,-0.529524
1.860275,1.208126,-0.530839
1.864075,1.210465,-0.527623
1.856475,1.208419,-0.537562
1.859398,1.210757,-0.532593
1.865244,1.21748,-0.533762
1.863198,1.210172,-0.535808
1.85969,1.211926,-0.527331
1.86349,1.20608,-0.530254
1.864659,1.200526,-0.52397
1.859982,1.211342,-0.528208
1.860275,1.206665,-0.520316
1.868752,1.211342,-0.519585
1.867583,1.207249,-0.524262
1.855598,1.21368,-0.523239
1.862321,1.208419,-0.52777
1.863783,1.207834,-0.520462
1.868167,1.20608,-0.525285
1.860275,1.215142,-0.5285
1.866413,1.215726,-0.533177
1.860567,1.211926,-0.523093
1.86349,1.204911,-0.520023
1.862613,1.20988,-0.537416
1.866706,1.216311,-0.525285
1.866121,1.224788,-0.529085
1.868167,1.209588,-0.525285
1.864659,1.208711,-0.51827
1.866706,1.208711,-0.517685
1.865244,1.208711,-0.528939
1.862613,1.209296,-0.525431
1.867583,1.216603,-0.518562
1.869336,1.206957,-0.521193
1.870798,1.219234,-0.527039
1.866706,1.218065,-0.524554
1.863198,1.213973,-0.52397
1.849752,1.222157,-0.520023
1.860567,1.211926,-0.512423
1.858813,1.213096,-0.516954
1.857059,1.211634,-0.519293
1.856475,1.218065,-0.524408
1.860567,1.210465,-0.531716
1.857644,1.218942,-0.5209
1.861444,1.216019,-0.520462
1.866998,1.216603,-0.538147
1.871675,1.218357,-0.527477
1.861736,1.207542,-0.523093
1.855598,1.213096,-0.524262
1.85969,1.213096,-0.523823
1.858521,1.216311,-0.521193
1.860567,1.208711,-0.527916
1.859105,1.208419,-0.527185
1.861736,1.215142,-0.53157
1.868459,1.220988,-0.521923
1.870798,1.211342,-0.529085
1.864952,1.214265,-0.542093
1.863198,1.208419,-0.531716
1.864659,1.220111,-0.521923
1.851213,1.214849,-0.52967
1.860859,1.214557,-0.524262
1.866121,1.208711,-0.527477
1.861444,1.215142,-0.522362
1.866413,1.21748,-0.518854
1.860859,1.21368,-0.527331
1.863783,1.210465,-0.525431
1.860275,1.21368,-0.526454
1.864367,1.215142,-0.525723
1.864659,1.20988,-0.534054
1.860567,1.214265,-0.522362
1.862029,1.208711,-0.533762
1.853844,1.202572,-0.530839
1.859105,1.210172,-0.524116
1.85969,1.208419,-0.527331
1.85209,1.217188,-0.529085
1.861152,1.215142,-0.527331
1.85209,1.211049,-0.532593
1.864659,1.206372,-0.536539
1.863198,1.210465,-0.525723
1.864075,1.215142,-0.533762
1.853844,1.205203,-0.536685
1.853259,1.203742,-0.537124
1.858229,1.206665,-0.535224
1.864659,1.214557,-0.534785
