ch1,ch2,ch3
1.914353,1.272143,-0.60114
1.919029,1.274481,-0.590763
1.912014,1.260742,-0.592809
1.907629,1.268343,-0.583455
1.913183,1.260158,-0.594709
1.917568,1.247588,-0.581263
1.919906,1.247881,-0.575709
1.920199,1.244081,-0.575709
1.914937,1.239988,-0.579947
1.91406,1.233265,-0.579509
1.916983,1.268343,-0.557732
1.915814,1.230342,-0.565332
1.878398,1.232388,-0.55437
1.91406,1.221865,-0.549108
1.913183,1.216896,-0.554809
1.913476,1.213388,-0.555393
1.905875,1.209588,-0.540485
1.907045,1.207834,-0.556709
1.908214,1.20228,-0.557001
1.912891,1.200818,-0.544285
1.908799,1.197603,-0.546039
1.902368,1.201988,-0.537124
1.905291,1.191465,-0.539754
1.899445,1.189126,-0.537854
1.907629,1.19088,-0.531131
1.908214,1.190003,-0.539901
1.900906,1.179772,-0.532154
1.896814,1.180064,-0.539754
1.900322,1.18328,-0.530985
1.895352,1.172757,-0.535808
1.897691,1.180649,-0.51827
1.890091,1.17831,-0.514469
1.889506,1.168372,-0.515346
1.882198,1.165741,-0.517393
1.892429,1.166618,-0.521777
1.87986,1.162818,-0.512569
1.879275,1.162818,-0.522362
1.879567,1.158726,-0.521923
1.874306,1.15931,-0.521193
1.87606,1.152002,-0.509354
1.874306,1.150541,-0.515785
1.872552,1.148495,-0.505992
1.877229,1.152002,-0.509939
1.870213,1.152002,-0.513154
1.864659,1.149079,-0.512423
1.865536,1.144402,-0.502631
1.862029,1.142648,-0.513446
1.856475,1.153172,-0.526893
1.856182,1.154049,-0.517831
1.847121,1.152295,-0.517393
1.847413,1.143233,-0.506577
1.853259,1.153172,-0.518708
1.855598,1.151125,-0.516369
1.844782,1.155802,-0.511985
1.843028,1.137971,-0.514616
1.838644,1.14411,-0.519293
1.844198,1.143525,-0.517977
1.837474,1.147618,-0.506431
1.834551,1.153172,-0.521777
1.832505,1.141771,-0.5171
1.830459,1.149956,-0.520023
1.836597,1.163403,-0.531862
1.833382,1.156387,-0.525431
1.821982,1.152879,-0.533616
1.819936,1.162233,-0.528647
1.82052,1.154049,-0.537416
1.817013,1.156387,-0.523385
1.811459,1.193511,-0.528647
1.821982,1.15931,-0.530254
1.817013,1.162526,-0.529816
1.810874,1.15931,-0.542093
1.807366,1.161356,-0.553055
1.802397,1.162233,-0.547501
1.799474,1.163695,-0.543262
1.804443,1.170418,-0.550716
1.803566,1.168372,-0.561239
1.798012,1.171295,-0.554809
1.79392,1.171295,-0.55627
1.788366,1.173341,-0.546039
1.792751,1.181818,-0.558755
1.785735,1.180649,-0.561678
1.784566,1.179187,-0.567086
1.778427,1.176557,-0.567524
1.787489,1.185326,-0.562701
1.782812,1.180649,-0.57717
1.77755,1.17948,-0.57717
1.769073,1.187372,-0.576001
1.769366,1.191172,-0.583601
1.766735,1.194388,-0.589448
1.760012,1.192341,-0.586378
1.769073,1.211049,-0.581263
1.767612,1.206957,-0.592663
1.771412,1.198188,-0.593832
1.767904,1.214265,-0.595878
1.758842,1.216311,-0.592809
1.762058,1.212803,-0.595148
1.760304,1.223911,-0.608155
1.757966,1.219526,-0.604502
1.757966,1.232973,-0.613271
1.75095,1.226834,-0.605232
1.757673,1.236188,-0.621017
1.752412,1.240865,-0.615171
1.756504,1.23005,-0.611809
1.752412,1.246419,-0.622917
1.749196,1.243496,-0.62394
1.750073,1.247588,-0.620871
1.745396,1.250219,-0.629933
1.746273,1.258112,-0.625402
1.746858,1.263666,-0.631394
1.744519,1.270389,-0.641625
1.746273,1.263666,-0.645571
1.738673,1.271558,-0.644987
1.735165,1.270681,-0.646595
1.730196,1.273897,-0.644548
1.737211,1.281789,-0.644256
1.738673,1.283543,-0.656241
1.727857,1.287343,-0.655218
1.738381,1.290851,-0.658579
1.731657,1.291435,-0.667056
1.731657,1.293189,-0.664279
1.732242,1.293774,-0.663549
1.72815,1.301958,-0.667787
1.72815,1.300205,-0.671295
1.73195,1.30342,-0.683572
1.713534,1.308682,-0.673633
1.725519,1.314236,-0.691757
1.728734,1.317743,-0.678603
1.724057,1.317451,-0.688249
1.718796,1.31979,-0.692195
1.730488,1.323297,-0.693365
1.72318,1.328267,-0.706519
1.733704,1.325636,-0.698334
1.72698,1.335282,-0.713826
1.715873,1.34639,-0.710319
1.714996,1.344051,-0.712803
1.711196,1.339959,-0.707395
