ch1,ch2,ch3
1.775504,1.469746,-0.800789
1.781935,1.464484,-0.79772
1.78135,1.4715,-0.782081
1.78252,1.473838,-0.774043
1.781935,1.473838,-0.775212
1.784274,1.475007,-0.765419
1.785151,1.47033,-0.75095
1.790997,1.46653,-0.743642
1.79012,1.467992,-0.742619
1.795674,1.464484,-0.726396
1.798012,1.472961,-0.72815
1.796551,1.462146,-0.719673
1.800058,1.461269,-0.705203
1.806489,1.453668,-0.713242
1.807366,1.44753,-0.711488
1.808243,1.445192,-0.701988
1.812628,1.444607,-0.698041
1.814966,1.441099,-0.696288
1.81292,1.437007,-0.692195
1.82432,1.427068,-0.684157
1.822274,1.427653,-0.682403
1.826951,1.421222,-0.678603
1.826367,1.425899,-0.676703
1.828413,1.418299,-0.677141
1.828413,1.420053,-0.664426
1.833382,1.418006,-0.673633
1.830167,1.406606,-0.669249
1.836305,1.401345,-0.667349
1.838936,1.399006,-0.67641
1.839228,1.401345,-0.663549
1.843905,1.399298,-0.65741
1.841567,1.397837,-0.665449
1.839813,1.398422,-0.664426
1.835721,1.407483,-0.662233
1.841274,1.399883,-0.654487
1.842151,1.400468,-0.663256
1.842736,1.395498,-0.665303
1.839228,1.395206,-0.650248
1.840982,1.395498,-0.651856
1.848875,1.396668,-0.662233
1.843613,1.388483,-0.655802
1.845659,1.383806,-0.651418
1.845659,1.391406,-0.650833
1.847998,1.378544,-0.651125
1.852967,1.418591,-0.650687
1.845367,1.385852,-0.655364
1.849167,1.383221,-0.63841
1.856182,1.380883,-0.648933
1.846536,1.380298,-0.645571
1.854721,1.377667,-0.638702
1.853259,1.389652,-0.643233
1.846244,1.382637,-0.656679
1.852675,1.375621,-0.654487
1.850921,1.388191,-0.653318
1.84449,1.379129,-0.650833
1.846244,1.385267,-0.644987
1.854429,1.388483,-0.654049
1.853844,1.382929,-0.659602
1.858521,1.38936,-0.651125
1.85589,1.379714,-0.651856
1.847998,1.385267,-0.645425
1.855013,1.388775,-0.654779
1.855013,1.386144,-0.642794
1.853259,1.385267,-0.642648
1.851213,1.384683,-0.645864
1.850628,1.382637,-0.636217
1.852967,1.382052,-0.636948
1.847413,1.383514,-0.637533
1.850921,1.38556,-0.643233
1.849459,1.382344,-0.635048
1.851798,1.379421,-0.637094
1.847998,1.379714,-0.644695
1.84829,1.376206,-0.638702
1.851798,1.379421,-0.641041
1.851505,1.380883,-0.639871
1.852675,1.372698,-0.643379
1.851213,1.37679,-0.644695
1.849752,1.37299,-0.646595
1.850628,1.378837,-0.645864
1.854721,1.372113,-0.600263
1.851798,1.381467,-0.673049
1.854721,1.378252,-0.64981
1.847705,1.380006,-0.639433
1.846244,1.372406,-0.635779
1.850921,1.379129,-0.649225
1.855598,1.37679,-0.644841
1.852382,1.374744,-0.631394
1.850044,1.382052,-0.640456
1.857644,1.377375,-0.643379
1.851505,1.37416,-0.639871
1.851798,1.37416,-0.634171
1.854721,1.377375,-0.652587
1.849167,1.382344,-0.655364
1.859982,1.376498,-0.650248
1.856767,1.372698,-0.654633
1.849459,1.376498,-0.649664
1.849167,1.377083,-0.64221
1.851798,1.38059,-0.642356
1.852675,1.384683,-0.643379
1.855305,1.38059,-0.642941
1.858229,1.380298,-0.644548
1.856767,1.382344,-0.642648
1.864075,1.386437,-0.640018
1.853552,1.379129,-0.639141
1.855305,1.38176,-0.644256
1.851798,1.380883,-0.632271
1.850336,1.373283,-0.635341
1.845075,1.38059,-0.634756
1.852675,1.373867,-0.622771
1.855305,1.38059,-0.641771
1.857059,1.384683,-0.646156
1.850921,1.382637,-0.638994
1.853844,1.376206,-0.639433
1.858813,1.37796,-0.652733
1.851213,1.380006,-0.635341
1.859398,1.386729,-0.632564
1.845659,1.379129,-0.632125
1.853552,1.387898,-0.628179
1.857059,1.382344,-0.632564
1.853259,1.376498,-0.637971
1.854721,1.380006,-0.642356
1.84829,1.384098,-0.640164
1.851213,1.376498,-0.637825
1.855013,1.38176,-0.642941
1.849167,1.379714,-0.629494
1.860275,1.384098,-0.641187
1.858229,1.383806,-0.641479
1.852967,1.380883,-0.633148
1.850921,1.384098,-0.641625
1.854721,1.378837,-0.637387
1.861152,1.386729,-0.647471
1.854136,1.38556,-0.633879
1.852382,1.38176,-0.639141
1.846828,1.380298,-0.643525
1.853259,1.381467,-0.633733
1.856475,1.38556,-0.641333
1.850628,1.377667,-0.635194
1.846828,1.378252,-0.637387
1.85969,1.382929,-0.63154
1.852967,1.382052,-0.640602
1.851798,1.379129,-0.645718
1.859105,1.382344,-0.649664
1.854429,1.379421,-0.641771
1.850336,1.387021,-0.64031
1.85969,1.38059,-0.638702
1.846536,1.376206,-0.643525
1.854136,1.38556,-0.641771
1.847121,1.376498,-0.636071
1.85589,1.37679,-0.648933
1.852675,1.379129,-0.652587
1.856475,1.380006,-0.634317
1.851505,1.372698,-0.654779
1.857936,1.380006,-0.649664
1.852382,1.379714,-0.657264
1.848582,1.375329,-0.645571
1.860567,1.379421,-0.647033
1.855305,1.385852,-0.647764
1.855013,1.377375,-0.644256
1.858521,1.377375,-0.649225
1.848582,1.377667,-0.64411
1.860275,1.37796,-0.646156
1.859398,1.373575,-0.637094
1.853844,1.382052,-0.636217
1.855013,1.37679,-0.644695
1.860567,1.382344,-0.646741
1.848582,1.378544,-0.637241
1.856767,1.379129,-0.646595
1.851505,1.379129,-0.644841
1.858229,1.381467,-0.64791
1.858229,1.379421,-0.640164
1.852967,1.374452,-0.642941
1.855598,1.378544,-0.640602
1.854429,1.378544,-0.643087
1.850044,1.377083,-0.640748
1.854136,1.378837,-0.631687
1.849167,1.375621,-0.637533
1.847413,1.379421,-0.635925
1.852675,1.37679,-0.637825
1.847998,1.381175,-0.643087
1.853259,1.37679,-0.629056
1.856475,1.377083,-0.640894
1.857059,1.383514,-0.638848
1.852382,1.38059,-0.640164
1.851213,1.378544,-0.642356
1.85589,1.378252,-0.644548
1.850044,1.383221,-0.635925
1.859105,1.37796,-0.640602
1.847998,1.374744,-0.638264
1.851505,1.37679,-0.643525
1.848875,1.378837,-0.646302
1.855598,1.38176,-0.652587
1.855598,1.373575,-0.635925
1.848875,1.373283,-0.644548
1.855013,1.382052,-0.642502
1.849459,1.382929,-0.633002
1.851798,1.384975,-0.637971
1.856767,1.382637,-0.638117
1.853844,1.380883,-0.647471
1.851505,1.382637,-0.641625
1.853844,1.380883,-0.640748
1.856475,1.378837,-0.645718
1.850921,1.373575,-0.642064
1.851505,1.378252,-0.646448
1.856767,1.378837,-0.635048
1.850921,1.375621,-0.639725
1.848875,1.38439,-0.650979
1.852675,1.37679,-0.632564
1.849167,1.378837,-0.643525
1.842736,1.375914,-0.640602
1.846828,1.38059,-0.637387
1.854721,1.384098,-0.641479
1.852675,1.383514,-0.635779
1.850336,1.368313,-0.652295
1.849752,1.38176,-0.638702
1.850044,1.383221,-0.644548
1.855013,1.382344,-0.644548
1.854429,1.385267,-0.637825
1.85969,1.38059,-0.653025
1.859105,1.386729,-0.646595
1.847998,1.38556,-0.646448
1.850628,1.375914,-0.636948
1.852967,1.383221,-0.648202
1.854721,1.385852,-0.637825
1.848875,1.382637,-0.64411
1.849752,1.383514,-0.648933
1.855305,1.388483,-0.651418
1.854136,1.37796,-0.637679
1.857059,1.378544,-0.649079
1.853552,1.37796,-0.639287
1.851505,1.375914,-0.651272
