ch1,ch2,ch3
1.851213,1.370652,-0.657264
1.843321,1.370067,-0.652733
1.842444,1.37416,-0.650687
1.850921,1.377083,-0.640456
1.85209,1.377083,-0.657702
1.850044,1.372113,-0.641918
1.845659,1.376206,-0.648056
1.841859,1.375914,-0.648202
1.840105,1.374452,-0.645571
1.846244,1.373867,-0.654925
1.84829,1.371236,-0.652587
1.847413,1.383806,-0.649518
1.847998,1.380883,-0.648056
1.843905,1.378544,-0.645571
1.843905,1.373867,-0.655656
1.851213,1.375914,-0.652441
1.845367,1.372113,-0.645864
1.847998,1.369483,-0.645279
1.846244,1.363052,-0.653025
1.849167,1.369483,-0.660479
1.843028,1.36656,-0.652879
1.849167,1.365975,-0.656095
1.850921,1.373867,-0.651125
1.847121,1.373575,-0.641479
1.848875,1.374452,-0.648202
1.84829,1.374452,-0.641918
1.848875,1.369775,-0.644695
1.843613,1.37679,-0.647325
1.847413,1.37679,-0.648787
1.836597,1.370652,-0.643525
1.843028,1.371821,-0.65361
1.843905,1.37416,-0.650833
1.843321,1.373575,-0.648495
1.837767,1.371821,-0.646302
1.838644,1.371236,-0.660772
1.839521,1.376498,-0.654925
1.835721,1.371821,-0.652441
1.843321,1.370067,-0.656533
1.845075,1.375329,-0.652002
1.837474,1.375037,-0.657849
1.84069,1.37036,-0.65931
1.849459,1.368313,-0.657995
1.843321,1.367144,-0.648787
1.84449,1.371821,-0.651272
1.847121,1.368313,-0.647325
1.846828,1.375914,-0.648056
1.843321,1.367729,-0.648202
1.842444,1.369775,-0.648641
1.840982,1.368313,-0.643671
1.847413,1.373575,-0.658726
1.838059,1.374744,-0.653756
1.839521,1.368606,-0.651272
1.841567,1.374452,-0.656972
1.839228,1.372406,-0.655656
1.838059,1.369775,-0.65551
1.84829,1.373575,-0.651856
1.83689,1.379714,-0.64981
1.841567,1.371529,-0.650979
1.845951,1.370067,-0.64791
1.847705,1.370944,-0.648495
1.846536,1.369483,-0.659456
1.842151,1.372406,-0.643964
1.839228,1.375621,-0.646448
1.842151,1.377083,-0.654925
1.845075,1.378837,-0.658287
1.842736,1.375037,-0.649225
1.836305,1.373575,-0.650687
1.841274,1.376498,-0.647618
1.846536,1.379129,-0.643818
1.846244,1.372698,-0.648202
1.853259,1.378544,-0.643525
1.847705,1.370652,-0.646595
1.845659,1.37796,-0.645425
1.845951,1.371529,-0.651272
1.846244,1.37299,-0.655949
1.842444,1.36656,-0.652587
1.845659,1.375914,-0.647618
1.84069,1.371529,-0.655364
1.841567,1.375037,-0.658872
1.850336,1.373575,-0.649664
1.846536,1.37036,-0.646156
1.837474,1.376206,-0.639579
1.847413,1.37299,-0.643671
1.840398,1.373867,-0.651418
1.84449,1.379129,-0.641041
1.847998,1.377375,-0.658579
1.847413,1.374452,-0.653318
1.853259,1.37299,-0.646156
1.849752,1.371236,-0.657702
1.853844,1.373283,-0.660041
1.852382,1.36919,-0.656679
1.852967,1.373867,-0.650395
1.851505,1.378252,-0.644548
1.854429,1.379129,-0.64981
1.847413,1.376206,-0.635779
1.849752,1.375037,-0.650102
1.840105,1.376498,-0.651564
1.843905,1.375037,-0.65171
1.845951,1.367436,-0.644841
1.847998,1.376206,-0.660187
1.843321,1.365975,-0.661064
1.854429,1.373575,-0.656387
1.852967,1.372406,-0.658726
1.847121,1.376498,-0.652148
1.847121,1.371236,-0.653464
1.845659,1.367436,-0.649518
1.847121,1.368021,-0.654195
1.843321,1.373575,-0.65361
1.848875,1.37416,-0.650541
1.85209,1.380006,-0.650248
1.845951,1.377375,-0.652733
1.847413,1.37036,-0.641918
1.852382,1.372698,-0.656825
1.854429,1.371821,-0.65171
1.852675,1.376206,-0.654633
1.847705,1.376498,-0.656095
1.847413,1.370067,-0.649956
1.849459,1.378252,-0.654925
1.845075,1.371821,-0.652148
1.846828,1.372406,-0.652587
1.847705,1.374452,-0.645864
1.84449,1.379129,-0.651856
1.849459,1.370652,-0.64791
1.84449,1.375621,-0.637533
1.844782,1.369483,-0.65171
1.84449,1.373575,-0.649079
1.847413,1.372698,-0.652441
1.845659,1.373575,-0.639141
1.850044,1.376206,-0.652002
1.851213,1.373867,-0.653756
1.850921,1.37036,-0.650248
1.843028,1.37036,-0.660772
1.846536,1.372113,-0.655218
1.842151,1.370652,-0.642648
1.844782,1.372698,-0.652587
