ch1,ch2,ch3
1.79012,1.392575,-0.831044
1.794505,1.388775,-0.831336
1.795381,1.395791,-0.830459
1.795381,1.391698,-0.828413
1.792458,1.387021,-0.832359
1.797135,1.394914,-0.792312
1.796843,1.402806,-0.825197
1.793335,1.396083,-0.822713
1.801228,1.397252,-0.815843
1.803859,1.392575,-0.82739
1.793335,1.394621,-0.825197
1.802397,1.396083,-0.826513
1.796258,1.388191,-0.827974
1.798597,1.392575,-0.823297
1.794212,1.392283,-0.820374
1.794505,1.391114,-0.82432
1.793628,1.388191,-0.811312
1.795966,1.395498,-0.823736
1.793628,1.384683,-0.824905
1.794505,1.385852,-0.834259
1.800058,1.389068,-0.832067
1.792751,1.393452,-0.821982
1.790997,1.384683,-0.832359
1.800643,1.383806,-0.831921
1.795966,1.395791,-0.831921
1.795674,1.389652,-0.828267
1.799182,1.394037,-0.815551
1.795381,1.391991,-0.817743
1.793043,1.392283,-0.804443
1.799182,1.390821,-0.827828
1.79392,1.395206,-0.823736
1.790704,1.394329,-0.820813
1.790997,1.383806,-0.829144
1.792458,1.383514,-0.818036
1.795966,1.379421,-0.821836
1.786904,1.387021,-0.832213
1.788951,1.388191,-0.828997
1.789243,1.390529,-0.826513
1.79772,1.38936,-0.827097
1.790412,1.392575,-0.832505
1.79392,1.397252,-0.831628
1.794505,1.391114,-0.815697
1.792166,1.387314,-0.823736
1.795381,1.391406,-0.817159
1.789243,1.39696,-0.827244
1.783981,1.407776,-0.828705
1.772873,1.43116,-0.831044
1.76995,1.443438,-0.81482
1.780474,1.469453,-0.801082
1.77492,1.470915,-0.755189
1.789243,1.45893,-0.746858
1.795381,1.450161,-0.744373
1.788658,1.446653,-0.728442
1.797135,1.441099,-0.722742
1.802982,1.450161,-0.719819
1.80152,1.429991,-0.708126
1.813213,1.427945,-0.702426
1.819059,1.418883,-0.698626
1.819643,1.416545,-0.690734
1.822859,1.407191,-0.698188
1.826367,1.403683,-0.681526
1.829582,1.405437,-0.677872
1.831628,1.40076,-0.680941
1.827828,1.391991,-0.661941
1.836305,1.394621,-0.666033
1.831336,1.397837,-0.667495
1.829582,1.392283,-0.671003
1.835136,1.391114,-0.65931
1.838059,1.391406,-0.658433
1.84069,1.387021,-0.660479
1.845367,1.386437,-0.653318
1.842151,1.375037,-0.659164
1.843905,1.381175,-0.648056
1.838644,1.380298,-0.665156
1.841567,1.377667,-0.666179
1.843321,1.375329,-0.656387
1.839813,1.37796,-0.650102
1.846536,1.377375,-0.66121
1.841567,1.375329,-0.654049
1.84069,1.373283,-0.649372
1.840398,1.376498,-0.657118
1.845659,1.376206,-0.660041
1.850044,1.376498,-0.652002
1.843028,1.374744,-0.651125
1.849167,1.370944,-0.642502
1.847413,1.37796,-0.657995
1.844198,1.37036,-0.647618
1.849459,1.37036,-0.649664
1.845367,1.368021,-0.654195
1.842736,1.370944,-0.648787
1.846244,1.370067,-0.641333
