ch1,ch2,ch3
1.841274,1.199649,-0.731511
1.823443,1.202865,-0.73955
1.794212,1.271266,-0.73955
1.770535,1.325051,-0.75285
1.75855,1.353698,-0.751827
1.759135,1.382052,-0.745396
1.761181,1.390529,-0.737065
1.756212,1.406899,-0.744665
1.762058,1.416837,-0.73575
1.77112,1.424145,-0.728004
1.78135,1.429699,-0.721426
1.787489,1.428237,-0.717188
1.796843,1.42356,-0.701111
1.807074,1.414791,-0.692049
1.821982,1.422099,-0.684741
1.824028,1.414206,-0.681964
1.837182,1.401637,-0.680795
1.843613,1.401052,-0.665887
1.854429,1.386144,-0.662672
1.865244,1.386729,-0.649079
1.865536,1.369775,-0.640748
1.87869,1.358082,-0.649079
1.881614,1.351067,-0.641479
1.887167,1.32739,-0.641625
1.884537,1.327682,-0.625548
1.894475,1.328559,-0.613271
1.895645,1.312482,-0.610348
1.907922,1.306635,-0.609617
1.904999,1.294943,-0.605525
1.905291,1.292604,-0.606255
1.917276,1.278574,-0.599825
1.918737,1.273312,-0.597486
1.924291,1.267466,-0.600409
1.916399,1.265419,-0.582432
1.919906,1.259866,-0.587694
1.918445,1.251681,-0.586378
1.916983,1.246419,-0.57454
1.916983,1.236188,-0.57907
1.924291,1.234434,-0.581994
1.922537,1.224496,-0.569132
1.927799,1.219819,-0.559047
1.916691,1.212511,-0.57454
1.92546,1.215142,-0.562993
1.927214,1.215142,-0.570593
1.921368,1.213388,-0.558609
1.921368,1.201988,-0.566355
1.92663,1.204034,-0.557293
1.918737,1.197895,-0.568547
1.91026,1.196434,-0.569132
1.91786,1.198772,-0.549693
1.916106,1.193803,-0.557293
1.906752,1.189418,-0.562262
1.915229,1.198188,-0.557732
1.907629,1.178895,-0.555393
1.909383,1.171587,-0.564747
1.904999,1.177726,-0.559486
1.904122,1.173633,-0.55057
1.907337,1.179772,-0.549985
1.907045,1.171587,-0.556416
1.900614,1.17451,-0.553639
1.904706,1.167495,-0.557878
1.900906,1.164572,-0.557293
1.893306,1.157556,-0.541947
1.892429,1.167787,-0.550716
1.895645,1.162233,-0.545455
1.891552,1.162526,-0.552908
1.889798,1.160772,-0.549985
1.892429,1.162526,-0.555539
1.886583,1.162526,-0.552616
1.885998,1.163695,-0.550278
1.885706,1.162526,-0.555978
1.879275,1.160187,-0.556124
1.87226,1.163403,-0.559339
1.874598,1.162818,-0.563286
1.870213,1.168956,-0.557439
1.876352,1.16691,-0.559339
1.875183,1.156972,-0.564163
1.869629,1.155802,-0.529377
1.865244,1.159895,-0.574832
1.861444,1.168664,-0.572786
1.860859,1.16691,-0.57264
1.856767,1.17071,-0.581701
1.850628,1.175095,-0.567816
1.853259,1.168956,-0.579217
1.853259,1.176557,-0.583601
1.849459,1.180357,-0.587109
1.845659,1.180064,-0.585209
1.84069,1.175972,-0.589155
1.842736,1.180941,-0.594271
1.833382,1.176849,-0.606109
1.829874,1.17948,-0.599386
1.833382,1.181818,-0.591055
1.831336,1.193218,-0.591786
1.826659,1.189711,-0.613271
1.828705,1.197603,-0.610202
1.82169,1.191172,-0.613856
1.826659,1.201111,-0.601432
1.814382,1.192049,-0.617071
1.817597,1.195265,-0.624233
1.813797,1.204911,-0.627156
1.817013,1.199065,-0.626425
1.812628,1.206372,-0.62394
1.80912,1.216896,-0.62394
1.808828,1.21865,-0.619556
1.799766,1.216896,-0.621017
1.804151,1.216311,-0.627302
1.799766,1.216311,-0.639287
1.800935,1.222742,-0.638702
1.79392,1.22625,-0.630371
1.797135,1.235604,-0.646302
1.793043,1.235604,-0.646595
1.786904,1.245835,-0.649079
1.788366,1.23765,-0.663695
1.788074,1.246127,-0.656825
1.791874,1.253142,-0.667056
1.784858,1.257819,-0.66121
1.783689,1.251681,-0.67261
1.77755,1.260742,-0.664718
1.774627,1.266589,-0.680941
1.776673,1.265419,-0.684303
1.777843,1.270973,-0.678603
1.774335,1.281789,-0.692634
1.776089,1.27185,-0.695265
1.774043,1.28062,-0.687957
1.772289,1.27682,-0.706226
1.761766,1.281204,-0.697603
1.765566,1.282958,-0.716457
1.768196,1.287928,-0.710757
1.769658,1.301082,-0.699942
1.770827,1.301082,-0.716019
1.764689,1.297866,-0.727127
1.765273,1.302835,-0.722888
1.767319,1.304882,-0.722742
1.75475,1.313066,-0.72625
1.757673,1.317159,-0.729611
1.75855,1.318328,-0.740427
1.75475,1.327097,-0.731657
1.75855,1.32242,-0.736188
1.757381,1.332944,-0.750219
1.758258,1.33499,-0.747881
1.760012,1.340544,-0.748904
1.754458,1.339374,-0.759427
1.755335,1.352528,-0.760304
1.760596,1.350482,-0.753289
1.758258,1.356036,-0.761035
1.757089,1.358667,-0.763958
1.758842,1.36159,-0.759719
1.759719,1.36919,-0.771266
1.754458,1.369775,-0.785297
1.766443,1.375329,-0.781935
1.756796,1.377375,-0.751827
1.754458,1.38059,-0.78442
1.758258,1.382344,-0.79962
1.760012,1.39316,-0.801082
1.755919,1.387606,-0.798597
1.762643,1.391698,-0.800351
1.763227,1.395791,-0.807366
1.722303,1.397837,-0.810289
1.756796,1.407191,-0.804882
1.761473,1.406314,-0.811605
1.761473,1.404852,-0.808682
1.764981,1.415083,-0.815989
1.759427,1.416253,-0.815989
1.762058,1.416837,-0.82169
1.771704,1.414206,-0.812043
1.77492,1.433791,-0.818474
1.774335,1.433499,-0.825197
1.775212,1.431745,-0.832505
1.770827,1.435838,-0.826951
1.775797,1.432914,-0.83309
1.776381,1.437007,-0.819497
1.776673,1.440807,-0.840836
1.783397,1.441099,-0.831774
1.785151,1.442561,-0.827097
1.778427,1.442853,-0.839374
1.786904,1.445776,-0.83499
1.785151,1.439638,-0.828997
1.787781,1.445484,-0.825343
1.795674,1.444314,-0.828413
1.797428,1.450745,-0.845075
1.794505,1.448992,-0.836013
1.795674,1.460099,-0.833236
1.79772,1.454838,-0.836013
1.803274,1.452792,-0.825782
1.797428,1.456592,-0.832505
1.804443,1.451038,-0.82739
1.809997,1.456884,-0.826367
1.812336,1.454838,-0.833236
1.809412,1.456007,-0.827536
1.817597,1.453668,-0.827828
1.817889,1.452499,-0.82739
1.816428,1.452792,-0.825343
1.824613,1.452207,-0.833382
1.823443,1.446945,-0.825928
1.828705,1.453376,-0.828997
1.796258,1.460099,-0.824613
1.839521,1.454838,-0.824759
1.843321,1.45893,-0.812482
1.837767,1.454253,-0.819205
1.835136,1.458346,-0.826367
1.833967,1.44753,-0.828413
1.83689,1.451622,-0.823882
1.839813,1.448115,-0.817597
1.842736,1.446068,-0.81292
1.84449,1.449576,-0.813797
1.847705,1.449284,-0.813943
