ch1,ch2,ch3
2.2464,1.1827,-0.8001
2.2417,1.1874,-0.7529
2.254,1.1806,-0.797
2.2397,1.1842,-0.7992
2.245,1.1818,-0.796
2.2409,1.185,-0.7903
2.2426,1.1888,-0.808
2.2476,1.1882,-0.7929
2.2435,1.1956,-0.796
2.2426,1.1877,-0.798
2.2435,1.185,-0.7996
2.2435,1.1806,-0.7967
2.2473,1.19,-0.7968
2.2347,1.1915,-0.8024
2.245,1.1947,-0.7941
2.2429,1.1853,-0.7971
2.252,1.1915,-0.7876
2.2473,1.1979,-0.8046
2.2464,1.1894,-0.7873
2.2496,1.1859,-0.7933
2.2438,1.1768,-0.7885
2.2438,1.1839,-0.7983
2.2593,1.1871,-0.7951
2.2464,1.1815,-0.7986
2.2441,1.1894,-0.7935
2.245,1.1877,-0.7928
2.247,1.1801,-0.8031
2.2479,1.1844,-0.797
2.2432,1.183,-0.786
2.2543,1.19,-0.7923
2.245,1.1885,-0.793
2.2496,1.1833,-0.7919
2.2479,1.1847,-0.7929
2.2473,1.195,-0.7979
2.2397,1.1903,-0.7925
2.245,1.1897,-0.789
2.2505,1.1856,-0.7882
2.2488,1.1877,-0.7923
2.2505,1.1941,-0.7872
2.2438,1.1847,-0.7838
2.249,1.1856,-0.7884
2.247,1.188,-0.7901
2.2479,1.1888,-0.7917
2.2438,1.1812,-0.7892
2.254,1.183,-0.7868
2.2362,1.1847,-0.7872
2.2441,1.1891,-0.7955
2.2403,1.1809,-0.7973
2.2444,1.1821,-0.7865
2.2426,1.1853,-0.7871
2.2429,1.1827,-0.7846
2.2426,1.1833,-0.7964
2.2441,1.1777,-0.7865
2.2333,1.1809,-0.7955
2.247,1.1906,-0.7837
2.2455,1.1842,-0.7992
2.2461,1.1742,-0.7903
2.2438,1.1786,-0.789
2.2482,1.1792,-0.7919
2.2423,1.1815,-0.8153
2.2409,1.1836,-0.793
2.2455,1.1871,-0.7955
2.2461,1.1809,-0.797
2.2523,1.1783,-0.8055
2.2517,1.1836,-0.8025
2.2467,1.183,-0.7974
2.2423,1.1885,-0.8166
2.2397,1.1833,-0.7977
2.2461,1.197,-0.809
2.2447,1.2087,-0.8185
2.2496,1.2192,-0.8261
2.249,1.2382,-0.8451
2.2561,1.2526,-0.8479
2.2476,1.2806,-0.855
2.254,1.2923,-0.8632
2.2546,1.3069,-0.8617
2.2455,1.3224,-0.8667
2.2549,1.3443,-0.8724
2.2546,1.3502,-0.8661
2.2543,1.3587,-0.8588
2.2526,1.3753,-0.8578
2.2514,1.3859,-0.8647
2.2549,1.3821,-0.8658
2.2488,1.3905,-0.8493
2.2505,1.3902,-0.8436
2.2441,1.392,-0.837
2.2406,1.4008,-0.8334
2.2412,1.3926,-0.8234
2.2368,1.3897,-0.8122
2.2388,1.3894,-0.7971
2.2312,1.3695,-0.7853
2.2262,1.3669,-0.7872
2.2289,1.3566,-0.7776
2.2224,1.3455,-0.761
2.2201,1.3347,-0.7485
2.2186,1.3189,-0.7523
2.2151,1.3008,-0.7413
2.2116,1.2882,-0.7283
