ch1,ch2,ch3
12.0,1.300205,-0.801812
1.783981,1.300789,-0.799035
1.781643,1.301666,-0.801666
1.783689,1.305759,-0.802397
1.786027,1.307512,-0.797282
1.779597,1.314236,-0.81292
1.780474,1.309559,-0.802543
1.779012,1.315405,-0.807805
1.784274,1.307805,-0.808097
1.786904,1.315697,-0.819497
1.777258,1.31862,-0.819351
1.783689,1.32359,-0.821105
1.786027,1.332067,-0.823736
1.782812,1.324174,-0.826659
1.784566,1.326805,-0.826074
1.788658,1.335574,-0.832359
1.788366,1.334697,-0.84069
1.796843,1.339374,-0.834844
1.791581,1.341713,-0.832359
1.794505,1.337621,-0.831774
1.79392,1.340251,-0.840836
1.792458,1.349313,-0.837621
1.788658,1.347559,-0.848144
1.795674,1.35399,-0.832505
1.791581,1.352236,-0.845805
1.796258,1.356329,-0.833821
1.80152,1.354282,-0.834844
1.795674,1.361882,-0.851505
1.791874,1.352528,-0.838205
1.798597,1.352236,-0.850628
1.800935,1.356913,-0.850921
1.80152,1.361006,-0.854136
1.805612,1.363052,-0.863929
1.803274,1.35779,-0.852821
1.806197,1.373283,-0.854867
1.809705,1.367729,-0.857644
1.809412,1.366267,-0.845805
1.812336,1.366267,-0.827536
1.812628,1.362759,-0.856182
1.808243,1.369483,-0.855744
1.809997,1.368021,-0.860129
1.812336,1.379714,-0.85969
1.813213,1.382637,-0.849167
1.814382,1.372113,-0.849752
1.812628,1.374452,-0.858521
1.814089,1.374744,-0.85589
1.822859,1.371529,-0.861883
1.826659,1.370067,-0.855013
1.826074,1.37416,-0.857936
1.831921,1.37679,-0.867729
1.82812,1.373867,-0.856621
1.834551,1.37416,-0.869483
1.831628,1.377375,-0.853405
1.839521,1.372406,-0.867144
1.835721,1.380298,-0.861444
1.839228,1.380883,-0.864952
1.84449,1.375037,-0.862613
1.847121,1.381467,-0.857352
1.843321,1.373283,-0.856475
1.836597,1.380298,-0.860567
1.841274,1.38176,-0.858082
1.845075,1.376498,-0.869044
1.848875,1.373575,-0.849167
1.854136,1.379129,-0.863344
1.855013,1.371821,-0.85209
1.854429,1.368021,-0.835136
1.862613,1.375914,-0.848144
