ch1,ch2,ch3
1.733119,1.283835,-0.620286
1.72815,1.293189,-0.625256
1.732827,1.291435,-0.627448
1.725811,1.301082,-0.637241
1.723473,1.297866,-0.639725
1.717919,1.300497,-0.651564
1.724057,1.315405,-0.640894
1.729611,1.315405,-0.646156
1.729904,1.320374,-0.646741
1.731073,1.319497,-0.660333
1.724642,1.327682,-0.654195
1.726396,1.330897,-0.661356
1.720257,1.330313,-0.667056
1.719673,1.330313,-0.662233
1.717042,1.334697,-0.67071
1.717626,1.337328,-0.67378
1.717042,1.348728,-0.675533
1.710319,1.349605,-0.675826
1.714703,1.350775,-0.690295
1.712072,1.361298,-0.686641
1.708857,1.359836,-0.690295
1.710611,1.361882,-0.69658
1.713826,1.363929,-0.706372
1.707688,1.374744,-0.714119
1.711488,1.375914,-0.705203
1.716165,1.38176,-0.724496
1.710319,1.386144,-0.71368
1.707688,1.388191,-0.720111
1.714119,1.394329,-0.731219
1.706811,1.398422,-0.73385
1.706811,1.406899,-0.73385
1.707396,1.406314,-0.724934
1.705642,1.407483,-0.740427
1.706811,1.411283,-0.738965
1.704765,1.418883,-0.733411
1.700672,1.41976,-0.739111
1.701257,1.420637,-0.748465
1.712657,1.426191,-0.75095
1.70418,1.42736,-0.766443
1.717334,1.434376,-0.762058
1.70798,1.439638,-0.76732
1.708857,1.435545,-0.76732
1.707396,1.445192,-0.77945
1.713826,1.444607,-0.768781
1.717334,1.449576,-0.779304
1.712949,1.456007,-0.784274
1.716165,1.445484,-0.777404
1.718503,1.464776,-0.773458
1.725811,1.460099,-0.786027
1.729611,1.460392,-0.777258
1.725519,1.458638,-0.791435
1.730196,1.472961,-0.787343
1.72815,1.4677,-0.774773
1.726103,1.476469,-0.780912
1.733411,1.477054,-0.789681
1.736919,1.47033,-0.791581
1.73078,1.475007,-0.791728
1.734581,1.483192,-0.798305
1.744227,1.4753,-0.802251
1.740134,1.484946,-0.804297
1.745104,1.475884,-0.802835
1.739842,1.489038,-0.80152
1.749488,1.488746,-0.803712
1.745396,1.491377,-0.792605
1.741888,1.488746,-0.799035
1.750658,1.499562,-0.802835
1.751827,1.496638,-0.803274
1.751535,1.4943,-0.804297
1.753581,1.491669,-0.802835
1.756212,1.4981,-0.800205
1.757089,1.497515,-0.801228
1.763519,1.502485,-0.800205
1.769073,1.499854,-0.805612
1.767027,1.505992,-0.798305
1.766443,1.5019,-0.79962
1.76615,1.503069,-0.793481
1.772581,1.502485,-0.796258
1.772873,1.502485,-0.801082
1.776381,1.502485,-0.792751
1.779597,1.495762,-0.794943
1.775797,1.503362,-0.79582
1.784566,1.5019,-0.798158
1.786612,1.499854,-0.799766
1.787489,1.496931,-0.784858
1.794212,1.494008,-0.788074
1.789535,1.499854,-0.782812
1.794797,1.496638,-0.783981
1.797135,1.488746,-0.793774
1.804443,1.497808,-0.785297
1.80532,1.497515,-0.779304
1.804151,1.495177,-0.779304
1.803566,1.493715,-0.771558
1.810289,1.497808,-0.777404
1.811459,1.4943,-0.780327
1.814089,1.491669,-0.771558
1.812043,1.489038,-0.768196
1.825197,1.492838,-0.773604
1.818766,1.491669,-0.774773
1.810289,1.480854,-0.758112
1.81672,1.484069,-0.752996
1.823151,1.479684,-0.754165
1.819643,1.478223,-0.76425
1.828413,1.478223,-0.753435
1.839813,1.479684,-0.766004
1.831336,1.465069,-0.754458
1.830167,1.465946,-0.756504
1.840398,1.465361,-0.753142
1.836597,1.46273,-0.750219
1.834259,1.462146,-0.746273
1.849167,1.458638,-0.753435
1.847705,1.462146,-0.739842
1.849752,1.46273,-0.737065
1.847998,1.454838,-0.736334
1.850921,1.453961,-0.725227
1.855013,1.444314,-0.732827
1.857936,1.448407,-0.727419
1.857352,1.440514,-0.725957
1.856475,1.440807,-0.726396
1.851798,1.436714,-0.72435
1.869629,1.444607,-0.715726
1.872552,1.436714,-0.703742
1.873137,1.42853,-0.710903
1.873429,1.434376,-0.711634
1.867875,1.427653,-0.703742
1.869629,1.42356,-0.70038
1.873721,1.424145,-0.697457
1.870213,1.417422,-0.700672
1.875767,1.413037,-0.680941
1.87489,1.414791,-0.689711
1.878983,1.41596,-0.682987
1.883952,1.423268,-0.676264
1.874598,1.399006,-0.677141
1.87986,1.403391,-0.677141
1.884244,1.401637,-0.682549
1.88746,1.391991,-0.68021
1.887167,1.397545,-0.669687
1.887752,1.390529,-0.654341
1.884829,1.384975,-0.660918
1.885998,1.386729,-0.665887
1.885706,1.376498,-0.654049
1.89126,1.380883,-0.653025
1.902952,1.376206,-0.648495
1.896229,1.373867,-0.664426
1.890968,1.365098,-0.641771
1.895937,1.364806,-0.642356
1.891552,1.350482,-0.640602
1.890383,1.354282,-0.639871
1.89506,1.348728,-0.637387
1.896521,1.351067,-0.633879
1.902952,1.345221,-0.627594
1.895352,1.339082,-0.624671
1.90266,1.33879,-0.618386
1.907337,1.336451,-0.619117
1.900906,1.340544,-0.616779
1.904414,1.330605,-0.614148
1.905291,1.33382,-0.615756
1.900614,1.324759,-0.607132
1.896521,1.324467,-0.599386
1.902952,1.317451,-0.607717
1.898568,1.313651,-0.601432
1.905875,1.30722,-0.590909
1.906752,1.312774,-0.605525
1.897983,1.306051,-0.601286
1.902368,1.308389,-0.589009
1.905291,1.30342,-0.585501
1.904122,1.295528,-0.582578
1.904122,1.292604,-0.577609
1.910845,1.293481,-0.573224
1.903829,1.293774,-0.580094
1.905875,1.285589,-0.573663
1.904414,1.288512,-0.573516
1.899152,1.284712,-0.571032
1.899152,1.273604,-0.571324
1.895937,1.275358,-0.570593
1.909675,1.277112,-0.564016
1.900614,1.303712,-0.55247
1.897691,1.262496,-0.547939
1.902075,1.271558,-0.553932
1.89886,1.262496,-0.552908
1.900614,1.263373,-0.55247
1.899445,1.251973,-0.560655
1.893598,1.253435,-0.551301
1.892721,1.240281,-0.547939
1.889506,1.248758,-0.547208
1.887167,1.249635,-0.539608
1.890675,1.242327,-0.538001
1.888337,1.248465,-0.533177
1.890091,1.247588,-0.537562
1.88366,1.243204,-0.530547
1.891845,1.236773,-0.530254
1.884829,1.228296,-0.5266
1.880152,1.227127,-0.535808
1.885414,1.228296,-0.521631
1.879567,1.229465,-0.531277
1.87869,1.221865,-0.525431
1.877229,1.224788,-0.5266
1.872844,1.216019,-0.531131
1.880444,1.219819,-0.514616
1.873721,1.220988,-0.530839
1.871383,1.220111,-0.523385
1.869044,1.216019,-0.516369
1.872552,1.215142,-0.527185
1.86349,1.210465,-0.514323
1.866706,1.21865,-0.518416
1.862321,1.211342,-0.517393
1.860275,1.20988,-0.525139
1.858521,1.204034,-0.517539
1.862613,1.207542,-0.510669
1.856767,1.204034,-0.526016
1.855598,1.210172,-0.519877
1.854721,1.201695,-0.510962
1.842444,1.209296,-0.518123
1.85209,1.207834,-0.511254
1.84829,1.208126,-0.509208
1.843905,1.20608,-0.512716
1.836597,1.207834,-0.519293
1.84069,1.210465,-0.525431
1.83689,1.204911,-0.520754
1.828413,1.206957,-0.515639
1.826074,1.207249,-0.527623
1.826074,1.207249,-0.511546
1.819351,1.206372,-0.516808
1.82052,1.208711,-0.521777
1.827536,1.215434,-0.5266
1.822274,1.208419,-0.519146
1.816428,1.207249,-0.53917
1.815843,1.207834,-0.525285
1.80912,1.207249,-0.535224
1.810874,1.203742,-0.530985
1.808535,1.210172,-0.532739
1.803859,1.215142,-0.5304
1.805612,1.219819,-0.543262
1.799474,1.216311,-0.539608
1.79392,1.22128,-0.539608
1.796551,1.222742,-0.545455
1.794505,1.21748,-0.55627
1.788658,1.22245,-0.553932
1.791581,1.220696,-0.551008
1.79012,1.226542,-0.548085
1.787781,1.22508,-0.566209
1.788366,1.223034,-0.562847
1.77375,1.228588,-0.576147
1.777258,1.22625,-0.571032
1.776966,1.238527,-0.572055
1.773458,1.236481,-0.568547
1.78135,1.241158,-0.57527
1.769366,1.235311,-0.581263
1.769366,1.239988,-0.575417
1.769073,1.247588,-0.581263
1.766735,1.24525,-0.583163
1.762058,1.254019,-0.584332
1.761181,1.25285,-0.609032
1.756504,1.251973,-0.596609
1.760596,1.253727,-0.58974
1.756796,1.262789,-0.596025
1.756796,1.262789,-0.598655
1.744811,1.270096,-0.597048
1.744227,1.26805,-0.60684
1.748319,1.278281,-0.617802
1.743935,1.275358,-0.621456
1.737796,1.27945,-0.615317
1.741304,1.28822,-0.616048
1.744519,1.285589,-0.641041
1.737504,1.291728,-0.628179
1.733411,1.292897,-0.63651
1.736042,1.296405,-0.641333
1.731365,1.300497,-0.645133
1.729904,1.312189,-0.646302
1.72698,1.306635,-0.652002
1.71938,1.320666,-0.651272
1.718796,1.317451,-0.655802
1.722303,1.318036,-0.653318
1.720842,1.318913,-0.662379
1.72435,1.320374,-0.662379
1.715288,1.325636,-0.684449
1.724642,1.341128,-0.666764
1.719088,1.336159,-0.68138
1.721134,1.340836,-0.678603
1.716165,1.349898,-0.686934
