ch1,ch2,ch3
13.0,1.249635,-0.706665
1.824028,1.257235,-0.705203
1.819059,1.254019,-0.712365
1.826951,1.247588,-0.710903
1.82549,1.25285,-0.703303
1.817597,1.251973,-0.714119
1.819936,1.247881,-0.702134
1.831336,1.244665,-0.702572
1.826659,1.246419,-0.694388
1.819351,1.238527,-0.709003
1.824613,1.247296,-0.698626
1.832505,1.242619,-0.714849
1.825197,1.243496,-0.713973
1.82432,1.238234,-0.710465
1.830167,1.239111,-0.709734
1.824028,1.242034,-0.705495
1.822859,1.24145,-0.708565
1.824905,1.243496,-0.708272
1.833382,1.24145,-0.697311
1.827828,1.238527,-0.709588
1.829582,1.247004,-0.702426
1.817597,1.242034,-0.696141
1.823736,1.246127,-0.705057
1.821397,1.242619,-0.711488
1.826659,1.250512,-0.697749
1.828413,1.243788,-0.714411
1.82432,1.241158,-0.71368
1.832213,1.239404,-0.691757
1.824905,1.239111,-0.693511
1.828997,1.243496,-0.701842
1.824905,1.244081,-0.705057
1.82549,1.247588,-0.693949
1.824905,1.241158,-0.707688
1.82812,1.242911,-0.691903
1.827243,1.243788,-0.703449
1.828997,1.242619,-0.701988
1.822567,1.242034,-0.697603
1.818182,1.243204,-0.705495
1.82812,1.238819,-0.703011
1.827536,1.249342,-0.700088
1.821397,1.247588,-0.705495
1.830167,1.248173,-0.698626
1.82929,1.242911,-0.701842
1.822567,1.247004,-0.70228
1.825782,1.24525,-0.703157
1.833382,1.244081,-0.694095
1.82929,1.244665,-0.697311
1.831044,1.244081,-0.704911
1.831044,1.24525,-0.699065
1.825782,1.247881,-0.699357
1.827243,1.240573,-0.708272
1.828705,1.248173,-0.706372
1.83309,1.242327,-0.694388
1.828997,1.247296,-0.707688
1.826367,1.243204,-0.701403
1.826367,1.237942,-0.695118
1.834259,1.241158,-0.700088
1.825197,1.239111,-0.705934
1.825782,1.239111,-0.705495
1.82929,1.240573,-0.707395
1.825197,1.240865,-0.700965
1.832505,1.247588,-0.693803
1.822274,1.240281,-0.703157
1.826659,1.235019,-0.711488
1.825782,1.242619,-0.703303
1.830751,1.244081,-0.699211
1.830751,1.242034,-0.707542
1.82929,1.245542,-0.70038
1.832213,1.239111,-0.704472
1.835721,1.24525,-0.702134
1.829874,1.242911,-0.69848
1.829582,1.240281,-0.70418
1.831336,1.238527,-0.712511
1.830167,1.241742,-0.703595
1.837182,1.242034,-0.704472
1.833382,1.247004,-0.698626
1.832797,1.239988,-0.706519
1.83689,1.245835,-0.701549
1.83689,1.244373,-0.699795
1.827828,1.242034,-0.71178
1.832213,1.238819,-0.711926
1.823443,1.237357,-0.704472
1.82929,1.235604,-0.706665
1.826659,1.242034,-0.697018
1.827536,1.244665,-0.695118
1.830167,1.242911,-0.690149
1.822859,1.240281,-0.692195
1.826659,1.242911,-0.701403
1.830167,1.240573,-0.696726
1.834259,1.240865,-0.701842
1.832505,1.242327,-0.703888
1.834551,1.240865,-0.692926
1.831921,1.243204,-0.702572
1.831921,1.247004,-0.700526
1.830751,1.247004,-0.704765
1.834259,1.244958,-0.703449
1.830167,1.243204,-0.696141
1.823443,1.242911,-0.702865
1.826659,1.239404,-0.688541
1.830167,1.247004,-0.699942
1.836013,1.239988,-0.703157
1.829582,1.245835,-0.704765
1.834844,1.248465,-0.712949
1.83309,1.24145,-0.698626
1.831044,1.245542,-0.695265
1.828413,1.248758,-0.698188
1.827243,1.243496,-0.698188
1.830459,1.253142,-0.704034
1.837474,1.244373,-0.701111
1.834551,1.244373,-0.701403
1.832797,1.243204,-0.700965
1.830751,1.244081,-0.703449
1.830459,1.254896,-0.697165
1.82812,1.242327,-0.691464
1.826074,1.241742,-0.701257
1.819936,1.243496,-0.704326
1.824613,1.238819,-0.704911
1.828997,1.237065,-0.697457
1.834551,1.24525,-0.705349
1.830751,1.239696,-0.69848
1.825197,1.236773,-0.696434
1.829582,1.239988,-0.694534
1.830167,1.240573,-0.692926
1.826074,1.234727,-0.697311
1.837182,1.241158,-0.698334
1.82812,1.234727,-0.688249
1.830459,1.246127,-0.705788
1.82549,1.242327,-0.690295
1.827536,1.238527,-0.699211
1.822274,1.243496,-0.701403
1.822274,1.242327,-0.695411
1.824613,1.243204,-0.698918
1.834551,1.243204,-0.697603
1.825197,1.243204,-0.70228
1.824905,1.240281,-0.706519
1.831044,1.245835,-0.705057
1.82929,1.235896,-0.698041
1.825782,1.246127,-0.698918
1.826074,1.236481,-0.693511
1.831044,1.242034,-0.703303
1.822567,1.238234,-0.702426
1.821982,1.238527,-0.700526
1.824905,1.239988,-0.701257
1.821982,1.238819,-0.700526
1.818474,1.239404,-0.694241
1.831044,1.239988,-0.705934
1.822567,1.245835,-0.701111
1.828413,1.235896,-0.698918
1.834259,1.240281,-0.701842
1.823151,1.24905,-0.702134
1.82812,1.241158,-0.702426
1.83309,1.238527,-0.699942
1.831044,1.239404,-0.700965
1.823443,1.236481,-0.684887
1.831628,1.237942,-0.692341
1.833382,1.241742,-0.697165
1.824028,1.246419,-0.701403
1.823736,1.242327,-0.703011
1.82812,1.244665,-0.703888
1.828705,1.24525,-0.701257
1.824028,1.238819,-0.704034
1.82549,1.232973,-0.703011
1.82812,1.233557,-0.699503
1.830751,1.241158,-0.69848
1.826659,1.240865,-0.704619
1.828705,1.248758,-0.702865
1.832797,1.242619,-0.692341
1.827828,1.241158,-0.708711
1.823443,1.239988,-0.695557
1.82549,1.242619,-0.700672
1.827243,1.243496,-0.697895
1.823151,1.244373,-0.703303
1.83309,1.241158,-0.694534
1.82432,1.24145,-0.701842
1.830459,1.240573,-0.697895
1.830459,1.248465,-0.699065
1.828413,1.237942,-0.702572
1.827828,1.238234,-0.698918
1.827243,1.242034,-0.701988
1.826951,1.239988,-0.692049
1.828705,1.243496,-0.710611
1.831336,1.246127,-0.699503
1.829874,1.245542,-0.702865
1.821105,1.237357,-0.706226
1.825197,1.241742,-0.703888
1.82812,1.234434,-0.705934
1.830459,1.24145,-0.703595
1.827828,1.241742,-0.705349
1.822859,1.236188,-0.700526
1.822567,1.24145,-0.695849
1.826367,1.250219,-0.707249
1.826951,1.242911,-0.711926
1.822859,1.243204,-0.703449
1.828705,1.242327,-0.701257
1.827536,1.24525,-0.694388
1.823151,1.240573,-0.697603
1.823443,1.239404,-0.696288
1.831336,1.240573,-0.700818
1.819351,1.248758,-0.699795
1.831921,1.244958,-0.698041
1.821982,1.24525,-0.692634
1.826074,1.238819,-0.700088
1.831336,1.247881,-0.702426
1.823736,1.23765,-0.70228
1.826951,1.238819,-0.709588
1.829582,1.24905,-0.700672
1.825782,1.252265,-0.686641
1.82812,1.247881,-0.704034
1.827536,1.247588,-0.703888
1.82169,1.247296,-0.701403
1.82169,1.24525,-0.70038
1.819059,1.244958,-0.702718
1.827828,1.244373,-0.699065
1.823443,1.248758,-0.698188
1.82929,1.245835,-0.701111
1.831921,1.244081,-0.703888
1.832797,1.241158,-0.705203
1.824613,1.235019,-0.695557
1.81672,1.233557,-0.709588
1.827536,1.240573,-0.701842
1.831336,1.238527,-0.699065
1.821105,1.237942,-0.701111
1.822274,1.239111,-0.697749
1.82929,1.247296,-0.703011
1.823443,1.247881,-0.696726
1.831628,1.247881,-0.701257
1.82812,1.241742,-0.699357
1.82929,1.241742,-0.700234
1.830167,1.235896,-0.706372
1.825782,1.245542,-0.710026
1.815551,1.270973,-0.73195
1.798305,1.306928,-0.745835
1.779304,1.354282,-0.772581
1.757673,1.409822,-0.786904
1.74335,1.462146,-0.785151
1.733704,1.483192,-0.779158
1.727273,1.501023,-0.786904
1.720842,1.512716,-0.760012
1.726103,1.518854,-0.752119
1.729904,1.512716,-0.738819
1.73078,1.513008,-0.712511
1.741011,1.501608,-0.703449
1.752704,1.495177,-0.688834
1.752996,1.486992,-0.674218
1.768196,1.47033,-0.665887
1.76615,1.457761,-0.649225
1.771996,1.445776,-0.62891
1.781935,1.435545,-0.625548
1.783397,1.418883,-0.621456
1.793043,1.401345,-0.59924
1.800351,1.39696,-0.599825
1.802397,1.379714,-0.576878
1.808828,1.369775,-0.584186
1.818182,1.357206,-0.577901
1.830751,1.352821,-0.560947
1.819059,1.343174,-0.565916
1.822567,1.338205,-0.549985
1.825782,1.324174,-0.548524
1.834844,1.318913,-0.547355
1.834844,1.31482,-0.546478
1.843028,1.302835,-0.546624
1.838059,1.299328,-0.542824
1.841567,1.287635,-0.540485
1.852382,1.28442,-0.540485
1.851798,1.282081,-0.534347
1.854721,1.277989,-0.486554
1.858813,1.27302,-0.536977
1.856475,1.269804,-0.532885
1.853552,1.270973,-0.536539
1.855305,1.26805,-0.536393
