ch1,ch2,ch3
5706.0,1.396668,-0.716457
1.886583,1.383806,-0.714849
1.885121,1.380883,-0.706811
1.884829,1.377083,-0.714703
1.892429,1.372406,-0.702718
1.889214,1.372406,-0.702865
1.893598,1.364513,-0.695849
1.898568,1.36539,-0.701549
1.899737,1.36159,-0.684303
1.894768,1.356036,-0.68898
1.907337,1.347852,-0.687811
1.901491,1.350482,-0.68138
1.904999,1.345805,-0.685326
1.906752,1.346098,-0.679334
1.905291,1.341421,-0.66121
1.904706,1.337913,-0.67188
1.912599,1.334113,-0.672172
1.914937,1.330605,-0.654049
1.90646,1.321251,-0.649518
1.911429,1.315405,-0.646595
1.909968,1.320666,-0.644402
1.91406,1.312482,-0.649518
1.909968,1.312189,-0.647618
1.912306,1.305466,-0.638556
1.902368,1.301958,-0.632564
1.918445,1.29962,-0.634756
1.917276,1.300789,-0.62701
1.912306,1.283835,-0.63271
1.920491,1.287928,-0.633148
1.920199,1.279743,-0.615463
1.919906,1.283835,-0.605817
1.921076,1.277404,-0.614294
1.919322,1.269512,-0.617363
1.918737,1.27185,-0.60494
1.919906,1.260742,-0.607425
1.914937,1.260158,-0.596901
1.92166,1.248173,-0.600848
1.92283,1.254896,-0.597778
1.916106,1.249342,-0.597778
1.920491,1.251096,-0.595732
1.916691,1.248465,-0.595732
1.917568,1.23765,-0.588132
1.924583,1.230342,-0.579801
1.919614,1.229757,-0.580824
1.918153,1.227419,-0.58404
1.923122,1.22245,-0.568693
1.919906,1.225373,-0.573663
1.914353,1.218065,-0.57147
1.911137,1.216311,-0.562555
1.919614,1.214557,-0.551301
1.919906,1.212511,-0.55627
1.915522,1.20988,-0.553201
1.914353,1.200234,-0.552616
1.909675,1.194972,-0.549401
1.911137,1.195557,-0.547062
1.912306,1.196141,-0.547355
1.941245,1.185618,-0.542239
1.907337,1.18328,-0.543262
1.910553,1.188541,-0.535516
1.908214,1.188249,-0.541801
1.906752,1.180064,-0.529085
1.90266,1.179772,-0.528793
1.904706,1.17948,-0.527039
1.904122,1.168372,-0.529962
1.900906,1.176557,-0.51827
