ch1,ch2,ch3
8.0,1.142648,-0.568109
1.951476,1.138848,-0.571763
1.952938,1.141479,-0.569863
1.953522,1.138264,-0.567816
1.954692,1.132417,-0.562409
1.952938,1.137971,-0.57717
1.955569,1.141479,-0.560509
1.959953,1.137094,-0.56957
1.951184,1.133002,-0.579363
1.959953,1.135048,-0.573809
1.966676,1.137094,-0.577024
1.953815,1.130371,-0.570009
1.958492,1.132417,-0.56884
1.956445,1.139141,-0.569278
1.952061,1.135633,-0.581701
1.95703,1.133587,-0.564016
1.95703,1.135048,-0.563432
1.957322,1.129787,-0.564455
1.953522,1.131248,-0.564309
1.954984,1.14031,-0.573663
1.950891,1.13651,-0.572347
1.950599,1.130371,-0.574686
1.949722,1.130956,-0.576147
1.952645,1.137387,-0.563432
1.966384,1.137387,-0.574832
1.956738,1.137387,-0.57644
1.958492,1.134756,-0.57527
1.952061,1.140602,-0.57074
1.950599,1.136217,-0.571324
1.954399,1.138556,-0.573809
1.955276,1.138848,-0.571178
1.953815,1.137094,-0.562701
1.951476,1.140018,-0.58024
1.955276,1.144402,-0.574686
1.952353,1.139725,-0.57264
1.957907,1.136217,-0.57147
1.953815,1.135341,-0.572201
1.95703,1.141479,-0.572786
1.956153,1.13651,-0.569278
1.95703,1.134171,-0.566793
1.956153,1.135925,-0.572055
1.952061,1.133879,-0.570593
1.959661,1.134464,-0.571616
1.954692,1.134464,-0.567524
1.959661,1.134464,-0.570447
1.954107,1.134171,-0.562409
1.956738,1.131248,-0.570155
1.959076,1.141187,-0.574247
1.960245,1.142648,-0.573516
1.95703,1.135048,-0.568401
1.959076,1.140018,-0.565332
1.957615,1.133879,-0.561093
1.954692,1.140018,-0.561239
1.958199,1.140018,-0.570447
1.956445,1.138848,-0.567816
1.955861,1.135341,-0.562116
1.961707,1.135925,-0.572347
1.964338,1.138848,-0.565916
1.953815,1.144402,-0.567232
1.954399,1.143233,-0.571763
1.961999,1.145571,-0.578778
1.95323,1.143525,-0.586524
1.956153,1.133587,-0.57527
1.952645,1.135048,-0.582724
1.954107,1.138848,-0.569278
1.959076,1.142356,-0.56884
1.958784,1.142648,-0.568401
1.951769,1.133879,-0.573224
1.958492,1.12774,-0.574101
1.957322,1.141187,-0.577024
1.961415,1.139433,-0.57454
1.954692,1.130664,-0.57717
1.958199,1.137094,-0.566939
1.949138,1.140018,-0.575417
1.956153,1.131833,-0.572055
1.957322,1.137387,-0.570886
1.961707,1.134464,-0.573663
1.951476,1.138264,-0.576732
1.957322,1.140602,-0.573516
1.953815,1.143233,-0.574101
1.959076,1.137387,-0.573663
1.954399,1.134756,-0.572055
1.954692,1.134171,-0.573078
1.957907,1.13271,-0.570447
1.959369,1.128617,-0.563139
1.962584,1.143818,-0.570593
1.948261,1.149956,-0.571763
1.943291,1.170418,-0.574978
1.932184,1.213973,-0.589886
1.900906,1.264543,-0.600555
1.86729,1.310728,-0.645864
1.842444,1.355159,-0.674072
1.818766,1.384098,-0.703595
1.810582,1.403683,-0.740865
1.796258,1.429407,-0.757966
1.789243,1.425899,-0.782958
1.786027,1.425022,-0.818913
1.783104,1.413914,-0.824467
1.79012,1.399006,-0.835574
1.808243,1.373867,-0.844198
1.827243,1.334697,-0.844636
1.842151,1.298158,-0.817451
1.857644,1.264543,-0.802835
1.857059,1.237357,-0.794505
1.87109,1.227711,-0.790412
1.880737,1.211634,-0.787635
1.889506,1.201111,-0.768196
1.89506,1.187957,-0.76045
1.902952,1.178895,-0.753289
1.903537,1.172172,-0.74715
1.909383,1.159895,-0.73575
1.906752,1.15931,-0.72888
1.913476,1.151125,-0.735165
1.918153,1.149664,-0.723327
1.918445,1.146448,-0.734142
1.919322,1.146741,-0.728442
1.916691,1.144402,-0.726103
1.918153,1.140602,-0.718796
1.923707,1.141479,-0.710465
1.919906,1.139725,-0.722303
1.914937,1.137679,-0.723473
1.925168,1.137094,-0.718942
1.918153,1.137971,-0.718357
1.924876,1.14031,-0.709149
1.926922,1.137679,-0.724642
1.926922,1.135048,-0.724642
1.931599,1.127448,-0.71748
1.935107,1.133002,-0.721573
1.930722,1.133294,-0.713388
1.931891,1.126279,-0.72698
1.929845,1.134464,-0.710465
1.928676,1.131541,-0.717042
1.926922,1.131833,-0.716165
1.926922,1.136802,-0.718796
1.932184,1.131833,-0.717188
1.928383,1.134464,-0.71368
1.932184,1.12891,-0.717919
1.931307,1.130371,-0.719526
1.930722,1.129202,-0.722596
1.92546,1.133879,-0.720696
1.925753,1.135633,-0.708565
1.92926,1.129494,-0.718942
1.934522,1.135925,-0.715873
1.932184,1.128033,-0.715434
1.935107,1.12891,-0.710465
1.928676,1.130956,-0.722303
1.929845,1.132417,-0.714119
1.927214,1.130371,-0.714996
1.931599,1.130079,-0.716457
1.927214,1.12774,-0.711488
1.928383,1.132417,-0.717919
1.926337,1.137094,-0.71865
1.918445,1.152879,-0.726103
1.909383,1.17071,-0.753727
1.878983,1.21368,-0.782227
1.852675,1.273897,-0.812189
1.827243,1.318036,-0.854867
1.811166,1.36656,-0.833382
1.796843,1.395206,-0.836159
1.780766,1.384683,-0.819497
1.776966,1.426191,-0.811166
1.786612,1.431745,-0.795528
1.793628,1.434668,-0.777989
1.795089,1.422683,-0.742619
1.808828,1.393744,-0.709588
1.837474,1.361298,-0.671295
1.856182,1.33119,-0.640456
1.87869,1.292897,-0.635048
1.895352,1.263666,-0.611956
1.907922,1.233557,-0.605232
1.914645,1.224496,-0.591055
1.919906,1.208126,-0.581847
1.926922,1.199942,-0.583747
1.928676,1.190003,-0.574686
1.94183,1.168372,-0.585209
1.944753,1.164864,-0.574101
1.950307,1.165156,-0.568255
1.939199,1.155218,-0.57527
1.946215,1.149664,-0.577463
1.950307,1.146741,-0.57527
1.951769,1.141771,-0.563578
1.954692,1.137679,-0.574978
1.959953,1.142064,-0.568255
1.955861,1.142941,-0.57264
1.94943,1.137971,-0.57527
1.952645,1.133587,-0.573809
1.961415,1.134756,-0.571616
1.953815,1.134464,-0.582432
1.952645,1.134171,-0.586817
1.953522,1.135341,-0.575124
1.947091,1.13271,-0.569132
1.952353,1.143525,-0.580094
1.955276,1.135925,-0.577024
1.96463,1.136802,-0.574101
1.955861,1.140895,-0.583747
1.956445,1.134464,-0.578778
1.948553,1.133002,-0.57644
1.952353,1.12891,-0.580532
1.950015,1.137971,-0.574101
1.953815,1.13651,-0.571178
1.955569,1.134756,-0.570301
1.952061,1.135633,-0.555247
1.947968,1.134756,-0.573078
1.950891,1.135048,-0.571763
1.954984,1.125987,-0.564163
1.949138,1.130664,-0.574101
1.948261,1.135925,-0.577024
1.954399,1.135925,-0.576293
1.952353,1.133879,-0.579217
1.954984,1.130664,-0.565478
1.954399,1.128617,-0.575124
1.950891,1.131541,-0.572201
1.957907,1.133587,-0.576586
1.956445,1.136217,-0.570009
1.94183,1.124525,-0.564016
1.955569,1.129787,-0.561824
1.957907,1.127156,-0.568986
1.956153,1.125402,-0.56767
1.952645,1.134756,-0.564455
1.955569,1.135341,-0.571616
1.955276,1.132417,-0.559486
1.955276,1.132417,-0.581701
1.948553,1.128617,-0.573809
1.956153,1.127156,-0.561824
1.956445,1.133587,-0.56387
1.950015,1.124817,-0.579947
1.953522,1.12774,-0.57337
1.954399,1.129202,-0.58594
1.954399,1.129494,-0.574247
1.951476,1.128325,-0.571032
1.954107,1.126863,-0.588571
1.959661,1.132417,-0.577609
1.951184,1.132125,-0.575417
1.959076,1.130079,-0.570301
1.956445,1.133587,-0.584332
1.952061,1.130079,-0.570301
1.947968,1.134756,-0.577901
1.954692,1.127156,-0.57527
1.952938,1.130371,-0.577024
1.963169,1.14031,-0.57147
1.962292,1.136217,-0.569132
1.954692,1.129202,-0.571909
1.960538,1.138556,-0.57527
1.950307,1.130956,-0.564747
1.958784,1.131541,-0.564601
1.957615,1.136217,-0.566501
1.958492,1.131833,-0.565624
1.953522,1.133879,-0.596901
1.954692,1.138848,-0.563724
1.956738,1.130956,-0.572201
1.953815,1.134464,-0.571324
1.95703,1.137679,-0.56197
1.950891,1.135048,-0.565624
1.952061,1.13271,-0.58287
