ch1,ch2,ch3
1.788658,1.410699,-0.842298
1.803274,1.383806,-0.851213
1.809412,1.345805,-0.846244
1.826367,1.315697,-0.832651
1.845075,1.270389,-0.821105
1.859105,1.25285,-0.813066
1.869336,1.237065,-0.790704
1.878398,1.215142,-0.787343
1.887752,1.207834,-0.776966
1.894475,1.197311,-0.776527
1.899152,1.180357,-0.772435
1.903537,1.17568,-0.754019
1.908799,1.164572,-0.758404
1.910845,1.158433,-0.749927
1.910845,1.159018,-0.743496
1.915814,1.155802,-0.74525
1.92166,1.151418,-0.746565
1.909383,1.147033,-0.747881
1.92166,1.148495,-0.738673
1.916399,1.146741,-0.744227
1.918445,1.146156,-0.734581
1.920199,1.137387,-0.730634
1.924583,1.143818,-0.726103
1.918737,1.136802,-0.72815
1.918737,1.135925,-0.719234
1.923707,1.129494,-0.719819
1.91786,1.133879,-0.724496
1.920199,1.132125,-0.732388
1.921076,1.127448,-0.730927
1.91406,1.129494,-0.736334
1.92283,1.125987,-0.725373
1.922245,1.129202,-0.731657
1.917568,1.133587,-0.725665
1.928383,1.129494,-0.729319
1.916983,1.129787,-0.723911
1.91786,1.127156,-0.717919
1.923122,1.138848,-0.727419
1.924583,1.130664,-0.725227
1.92663,1.129202,-0.721134
1.926922,1.135048,-0.716311
1.926337,1.137679,-0.71938
1.919614,1.133002,-0.725665
1.922245,1.132125,-0.723765
1.920199,1.132417,-0.73195
1.919906,1.136802,-0.737065
1.925753,1.133879,-0.724934
1.92283,1.130956,-0.730342
1.921953,1.133879,-0.721719
1.924583,1.135633,-0.731073
1.923414,1.126863,-0.72698
1.921076,1.135925,-0.719234
1.928091,1.134171,-0.733411
1.923707,1.133587,-0.722303
1.921953,1.137387,-0.730342
1.914645,1.148787,-0.729027
1.907045,1.169833,-0.761473
1.887167,1.198188,-0.792605
1.857936,1.248758,-0.813651
1.836597,1.299035,-0.841128
1.811751,1.348728,-0.856621
1.801228,1.382929,-0.843905
1.791289,1.416837,-0.836744
1.779012,1.429407,-0.82812
1.777843,1.431453,-0.818913
1.780474,1.436714,-0.791435
1.795381,1.427945,-0.77565
1.81292,1.413622,-0.723911
1.827828,1.38936,-0.70798
1.839228,1.349021,-0.67188
1.860859,1.30722,-0.644402
1.885998,1.273897,-0.637094
1.893598,1.246419,-0.604355
1.908506,1.229465,-0.597194
1.902368,1.212803,-0.600848
1.916691,1.199942,-0.597632
1.922537,1.190003,-0.600555
1.932184,1.179187,-0.593686
