ch1,ch2,ch3
1.882491,1.208126,-0.762058
1.88746,1.20988,-0.757966
1.889798,1.212511,-0.77375
1.881321,1.213096,-0.769073
1.873429,1.235604,-0.795089
1.858229,1.26425,-0.823151
1.825782,1.308974,-0.844928
1.811166,1.368021,-0.874744
1.775504,1.41713,-0.898129
1.770827,1.458053,-0.893452
1.764396,1.484654,-0.895937
1.748612,1.508916,-0.894475
1.756504,1.520316,-0.868606
1.759135,1.524116,-0.848582
1.752119,1.522946,-0.833382
1.768196,1.506285,-0.805174
1.78135,1.497223,-0.778574
1.796258,1.48173,-0.767027
1.794505,1.472084,-0.757381
1.799766,1.456592,-0.734873
1.813797,1.449576,-0.734434
1.817013,1.438176,-0.716749
1.826951,1.425899,-0.713534
1.825782,1.421806,-0.710319
1.821105,1.414206,-0.714703
1.82812,1.411576,-0.703157
1.800643,1.405729,-0.701403
1.835136,1.395206,-0.700526
1.834844,1.397837,-0.692926
1.840398,1.398714,-0.687811
1.839813,1.392868,-0.692195
1.835721,1.388775,-0.699357
1.838644,1.388483,-0.686934
1.847121,1.383806,-0.684887
1.841859,1.38936,-0.682549
1.840982,1.383514,-0.682549
1.849167,1.382344,-0.690295
1.845951,1.382929,-0.672464
1.847413,1.381467,-0.683426
1.844198,1.384098,-0.677726
1.845951,1.381175,-0.688103
1.844198,1.376498,-0.687957
1.847413,1.386144,-0.687811
1.850044,1.387314,-0.680357
1.845659,1.386729,-0.678603
1.845659,1.378544,-0.686349
1.84829,1.377375,-0.680941
1.842736,1.379714,-0.68211
1.842736,1.378544,-0.687664
1.843028,1.37416,-0.690588
1.845075,1.371236,-0.704911
1.85209,1.377667,-0.679772
1.840982,1.375621,-0.687372
1.832797,1.376206,-0.694095
1.844198,1.37299,-0.68898
1.850921,1.374744,-0.684157
1.842444,1.385267,-0.68518
1.851213,1.37299,-0.691026
1.853259,1.377375,-0.681964
1.842736,1.378252,-0.682549
1.845951,1.37679,-0.694388
1.838936,1.384683,-0.69278
1.848875,1.370944,-0.686203
1.848582,1.382052,-0.67641
1.848875,1.377083,-0.687664
1.847998,1.384098,-0.682841
1.846536,1.381175,-0.677726
1.84069,1.377667,-0.689418
1.845659,1.373283,-0.676995
1.844782,1.380006,-0.680941
1.847998,1.382637,-0.681964
1.848582,1.381467,-0.673926
1.846244,1.375914,-0.680795
1.842736,1.375621,-0.687957
1.848875,1.374452,-0.683426
1.846536,1.375914,-0.687226
1.854429,1.379129,-0.677433
1.842736,1.37299,-0.688541
1.843905,1.368606,-0.675533
1.848875,1.377083,-0.683572
1.839228,1.376498,-0.691172
1.84829,1.376498,-0.68211
1.842736,1.377375,-0.686934
1.844198,1.378837,-0.674949
1.849459,1.370067,-0.693511
1.852967,1.376498,-0.68211
1.849459,1.376206,-0.685618
1.841567,1.377083,-0.681672
1.846244,1.373867,-0.682841
1.847413,1.37796,-0.673926
1.840105,1.377667,-0.685618
1.845659,1.370652,-0.693218
1.847998,1.373867,-0.681526
1.847705,1.373575,-0.691026
1.847998,1.37036,-0.686641
1.850044,1.371236,-0.678895
1.847121,1.371236,-0.688688
1.845075,1.382637,-0.693072
1.843028,1.37299,-0.680064
1.839228,1.373283,-0.693511
1.84449,1.368021,-0.69088
1.849459,1.374744,-0.677287
1.842736,1.372113,-0.692634
