ch1,ch2,ch3
2.0988,1.1812,-0.7102
2.0965,1.1666,-0.7059
2.1058,1.171,-0.7099
2.1058,1.1681,-0.7058
2.1079,1.171,-0.703
2.1099,1.171,-0.6979
2.1052,1.169,-0.6932
2.109,1.1663,-0.7135
2.1035,1.1745,-0.7024
2.1041,1.1728,-0.6923
2.102,1.1625,-0.7023
2.1084,1.1628,-0.7013
2.1006,1.1652,-0.7067
2.1093,1.1599,-0.7023
2.1049,1.1581,-0.7005
2.1014,1.1625,-0.7043
2.1067,1.1538,-0.701
2.1032,1.1599,-0.704
2.0985,1.1523,-0.6884
2.1055,1.1564,-0.6958
2.1067,1.1564,-0.6885
2.1011,1.1558,-0.6982
2.1026,1.1538,-0.6948
2.1111,1.1494,-0.6919
2.1073,1.1491,-0.6999
2.1131,1.1552,-0.6932
2.1052,1.1488,-0.6872
2.1117,1.1464,-0.6899
2.1079,1.1491,-0.6863
2.1125,1.1482,-0.6871
2.102,1.1479,-0.6837
2.1079,1.1462,-0.6903
2.1102,1.1383,-0.6884
2.1017,1.1342,-0.6934
2.1026,1.1388,-0.6817
2.1076,1.1435,-0.6882
2.1079,1.1386,-0.6836
2.1041,1.1365,-0.6893
2.0988,1.1307,-0.6799
2.0994,1.1345,-0.6853
2.0953,1.1307,-0.6833
2.1003,1.1292,-0.6853
2.1006,1.1421,-0.6782
2.1023,1.1356,-0.6719
2.1038,1.135,-0.6681
2.0976,1.138,-0.6722
2.0959,1.1391,-0.6745
2.097,1.135,-0.6742
2.0968,1.1315,-0.6799
2.0947,1.1388,-0.6754
2.097,1.133,-0.6755
2.0968,1.1307,-0.6763
2.1011,1.1234,-0.6748
2.0973,1.1266,-0.6644
2.0941,1.1245,-0.672
2.0941,1.1184,-0.6631
2.0903,1.1219,-0.6741
2.0947,1.1254,-0.6603
2.0938,1.1184,-0.6714
2.1,1.1207,-0.6685
2.0897,1.1207,-0.6574
2.0918,1.1318,-0.6666
2.0892,1.1204,-0.6631
2.0851,1.1204,-0.6583
2.0921,1.1149,-0.6701
2.0877,1.112,-0.6571
2.0927,1.1114,-0.6627
2.0953,1.1178,-0.6491
2.088,1.1158,-0.651
2.1003,1.1105,-0.6565
2.0921,1.1143,-0.6576
2.0883,1.1117,-0.6614
2.0927,1.1108,-0.6517
2.0859,1.1076,-0.6545
2.0924,1.1082,-0.6621
2.0836,1.1084,-0.6634
2.0816,1.1108,-0.6552
2.0962,1.1128,-0.6562
2.0918,1.114,-0.6578
2.09,1.107,-0.6637
2.0807,1.1131,-0.6511
2.0818,1.1146,-0.6516
2.0798,1.1128,-0.6491
2.0845,1.1046,-0.6654
2.0938,1.1084,-0.6476
2.0877,1.1041,-0.654
2.0856,1.1029,-0.6532
2.0845,1.1046,-0.6488
2.0833,1.1008,-0.6527
2.0871,1.1076,-0.6476
2.0798,1.1023,-0.6713
2.0783,1.1029,-0.6539
2.0795,1.1008,-0.6418
2.0745,1.1044,-0.6536
2.0801,1.0997,-0.64
2.0719,1.1052,-0.6421
2.0737,1.1044,-0.645
2.0696,1.0994,-0.6405
2.076,1.1006,-0.6431
2.0713,1.0994,-0.6307
2.0702,1.0965,-0.6368
2.0725,1.1006,-0.6391
2.074,1.093,-0.6399
2.0643,1.1026,-0.6418
2.0652,1.1,-0.6418
2.069,1.1006,-0.6387
2.074,1.0991,-0.6476
2.0707,1.0965,-0.6451
2.0652,1.097,-0.6459
2.0696,1.0953,-0.6429
2.0661,1.1052,-0.6447
2.0655,1.1023,-0.6405
2.062,1.0897,-0.6421
2.0634,1.1049,-0.6365
2.0567,1.0985,-0.6333
2.0634,1.102,-0.6415
2.0623,1.0979,-0.6369
2.0628,1.1058,-0.6405
2.062,1.0988,-0.6435
2.0678,1.1003,-0.6453
2.0678,1.1008,-0.6409
2.0634,1.1008,-0.6304
2.0678,1.1008,-0.6462
2.0614,1.097,-0.6391
2.0602,1.095,-0.5997
2.0585,1.0959,-0.6359
2.0567,1.0979,-0.639
2.0538,1.0982,-0.6384
2.0497,1.1017,-0.6434
2.0547,1.1008,-0.6381
2.0552,1.0994,-0.6372
2.0582,1.1,-0.6274
2.0512,1.0959,-0.641
2.0538,1.0944,-0.6364
2.0529,1.093,-0.6349
2.0535,1.0953,-0.6356
2.0491,1.1008,-0.6368
2.0474,1.0968,-0.6323
2.0514,1.0988,-0.6388
2.0476,1.1,-0.6377
2.0494,1.0959,-0.621
2.0465,1.0959,-0.6301
2.0514,1.0997,-0.6384
2.0468,1.0991,-0.6288
2.0468,1.0947,-0.6367
2.0494,1.0953,-0.6337
2.0447,1.1008,-0.6356
2.0415,1.1052,-0.6438
2.0374,1.1102,-0.6272
2.0403,1.1046,-0.638
2.0345,1.1058,-0.6394
2.0319,1.1105,-0.6384
2.0383,1.1102,-0.638
2.0327,1.1079,-0.6312
