ch1,ch2,ch3
1.915229,1.224788,-0.67451
1.920199,1.219526,-0.662087
1.914353,1.218942,-0.661502
1.922537,1.208126,-0.657264
1.913476,1.211926,-0.661649
1.920783,1.208419,-0.65741
1.920783,1.210172,-0.653318
1.913183,1.208419,-0.648056
1.921368,1.206665,-0.645425
1.923414,1.204911,-0.648348
1.925168,1.199942,-0.641479
1.922537,1.198772,-0.641041
1.915814,1.181526,-0.647471
1.926045,1.193218,-0.646741
1.916399,1.190295,-0.646741
1.92546,1.191757,-0.630664
1.917568,1.17948,-0.635194
1.923707,1.177433,-0.62701
1.915522,1.176264,-0.63344
1.919614,1.179772,-0.624379
1.919906,1.173926,-0.629348
1.920783,1.172172,-0.617656
1.918737,1.169249,-0.622333
1.920491,1.164864,-0.614879
1.920783,1.166326,-0.624086
1.921953,1.167787,-0.622771
1.922537,1.159895,-0.61444
1.917568,1.157264,-0.614294
1.926922,1.161356,-0.619263
1.918153,1.155802,-0.619556
1.919322,1.154633,-0.613709
1.914937,1.152587,-0.606694
1.918153,1.145571,-0.606694
1.915814,1.146448,-0.613709
1.914645,1.149664,-0.600555
1.91406,1.141187,-0.608009
1.910553,1.142356,-0.598948
1.917276,1.137679,-0.594709
1.903245,1.140602,-0.605086
1.908214,1.136217,-0.604794
1.909675,1.134464,-0.593248
1.910845,1.127448,-0.591201
1.901783,1.134756,-0.586524
1.904999,1.136217,-0.592517
1.90646,1.136802,-0.592663
1.89886,1.132417,-0.590909
1.908506,1.132125,-0.58404
1.941538,1.133294,-0.599094
1.896521,1.129494,-0.581994
1.90266,1.127448,-0.579947
1.898568,1.125694,-0.591494
1.899737,1.124817,-0.588132
1.894768,1.123648,-0.583309
1.893306,1.118386,-0.584771
1.894475,1.127156,-0.580824
1.888629,1.117509,-0.587547
1.882783,1.116633,-0.583309
1.885706,1.115171,-0.603917
1.87986,1.114879,-0.587255
1.876644,1.121602,-0.58214
1.877229,1.123648,-0.581555
1.871967,1.119848,-0.597194
1.876644,1.11634,-0.593248
1.871967,1.115171,-0.587547
1.873429,1.115756,-0.587986
1.865244,1.116633,-0.592517
1.866706,1.114294,-0.589009
1.868459,1.121602,-0.594417
1.86349,1.115756,-0.588278
1.866706,1.114586,-0.592078
1.864075,1.116925,-0.595732
1.859105,1.12014,-0.585794
1.85209,1.12014,-0.596317
1.85589,1.120433,-0.59354
1.843321,1.116048,-0.599386
1.850921,1.127448,-0.597486
1.847998,1.130371,-0.59354
1.847121,1.127156,-0.601725
1.847998,1.121894,-0.601578
1.846536,1.127156,-0.597194
1.84449,1.129202,-0.603332
1.845659,1.133294,-0.600263
1.841274,1.130664,-0.60114
1.839228,1.140018,-0.565039
1.836013,1.13651,-0.63154
1.838351,1.133294,-0.633148
1.837474,1.133587,-0.607717
1.82432,1.133587,-0.598509
1.800935,1.137679,-0.607425
1.833674,1.140018,-0.603186
1.866413,1.135341,-0.609471
1.831921,1.143233,-0.609763
1.826951,1.149079,-0.619848
1.830167,1.148202,-0.615756
1.823443,1.144987,-0.611517
1.824028,1.143233,-0.616779
1.82052,1.147325,-0.616486
1.821982,1.152295,-0.61824
1.811166,1.149372,-0.615317
1.819643,1.160772,-0.618386
1.820228,1.146448,-0.617509
1.82169,1.15551,-0.614586
1.816428,1.15171,-0.622333
1.814966,1.15931,-0.627302
1.810289,1.156679,-0.628763
1.812043,1.162526,-0.621748
1.810582,1.158433,-0.636071
1.802397,1.164864,-0.617071
1.812628,1.167787,-0.635194
1.807659,1.160772,-0.623502
1.812628,1.16691,-0.637971
1.808243,1.17568,-0.638994
1.807951,1.170418,-0.647033
1.798597,1.176264,-0.654779
1.810289,1.169833,-0.658726
1.795966,1.181818,-0.645133
1.803859,1.181818,-0.65171
1.799474,1.186203,-0.657995
1.802689,1.188249,-0.652295
1.800643,1.183864,-0.649518
1.80532,1.196434,-0.657118
1.794505,1.196141,-0.663549
1.801812,1.196434,-0.660333
1.79392,1.200234,-0.660626
1.795381,1.200818,-0.67831
1.790412,1.203742,-0.672756
1.795966,1.203157,-0.668956
1.787781,1.207834,-0.672903
1.786612,1.195557,-0.68138
1.784274,1.206665,-0.673487
1.789243,1.216019,-0.668226
1.781935,1.213096,-0.680064
1.794212,1.216311,-0.678164
1.795089,1.218357,-0.679626
1.796551,1.220403,-0.695557
1.794505,1.226542,-0.682549
1.794505,1.21748,-0.687957
1.795674,1.223034,-0.685764
1.783397,1.234727,-0.685764
1.78632,1.233265,-0.688541
1.785443,1.238527,-0.70228
1.783104,1.237065,-0.693949
1.781935,1.239111,-0.695995
1.788366,1.24145,-0.703595
1.791874,1.24525,-0.703595
1.792751,1.247881,-0.700672
1.792751,1.243788,-0.696434
1.782227,1.254312,-0.703449
1.784858,1.254896,-0.713096
1.781935,1.24905,-0.706519
1.786027,1.25285,-0.711926
1.788366,1.258404,-0.723619
1.78632,1.258112,-0.712949
1.788074,1.256065,-0.731365
1.780766,1.257527,-0.719234
1.781643,1.265127,-0.721719
1.785151,1.267758,-0.713096
1.781058,1.267758,-0.72625
1.784858,1.26805,-0.726834
1.783397,1.271558,-0.732096
1.78252,1.285297,-0.732242
1.795381,1.279743,-0.72245
1.78135,1.282374,-0.732973
1.787489,1.281497,-0.737065
1.791581,1.284127,-0.736919
1.787489,1.289974,-0.732534
1.78252,1.286758,-0.750073
1.788658,1.296405,-0.749196
1.786027,1.290558,-0.743788
1.788074,1.28822,-0.746127
1.782812,1.299035,-0.746858
1.792751,1.292897,-0.73765
1.792166,1.289681,-0.747442
1.787781,1.301082,-0.750658
1.798597,1.299035,-0.742181
1.794797,1.30342,-0.746419
1.802689,1.309851,-0.753289
1.800351,1.301666,-0.755042
1.800935,1.301666,-0.761912
1.800643,1.301374,-0.760889
1.802982,1.311312,-0.75475
1.805905,1.307512,-0.757673
1.806489,1.310728,-0.764543
1.805612,1.308097,-0.75855
1.803859,1.308974,-0.761327
1.810874,1.312189,-0.758842
1.800935,1.315697,-0.755189
1.803859,1.315405,-0.770973
1.810582,1.313943,-0.765127
1.801812,1.315113,-0.766004
