ch1,ch2,ch3
1.838059,1.23385,-0.697457
1.841859,1.238527,-0.701549
1.840105,1.231804,-0.708711
1.833967,1.236188,-0.695849
1.834844,1.229757,-0.696141
1.838059,1.233265,-0.692341
1.834844,1.227711,-0.700965
1.841274,1.218357,-0.693365
1.838936,1.224496,-0.693803
1.835428,1.22888,-0.694534
1.831628,1.226834,-0.694972
1.84069,1.227127,-0.693657
1.837182,1.230634,-0.688541
1.833967,1.225373,-0.701842
1.833674,1.225957,-0.698772
1.827243,1.236481,-0.691611
1.834844,1.234434,-0.695849
1.833674,1.230634,-0.688103
1.841274,1.22888,-0.700818
1.83689,1.230342,-0.703303
1.830751,1.227711,-0.714411
1.832505,1.232096,-0.704326
1.843321,1.230927,-0.705495
1.834259,1.23005,-0.709734
1.837474,1.234727,-0.705495
1.833967,1.227127,-0.699795
1.841567,1.233557,-0.698188
1.839521,1.22888,-0.701695
1.837767,1.225957,-0.69848
1.82549,1.226542,-0.702134
1.833674,1.227127,-0.707249
1.838936,1.225665,-0.701695
1.839228,1.227127,-0.709003
1.833967,1.22245,-0.706665
1.843321,1.227711,-0.699942
1.838644,1.235019,-0.707395
1.83689,1.223034,-0.695118
1.834551,1.233265,-0.70608
1.833382,1.224203,-0.698041
1.837182,1.232973,-0.700672
1.831628,1.227127,-0.699503
1.835136,1.225957,-0.707395
1.838351,1.22625,-0.696872
1.834259,1.231511,-0.698918
1.834551,1.223911,-0.700672
1.830167,1.231511,-0.706372
1.839813,1.224788,-0.705934
1.836597,1.224203,-0.698626
1.82929,1.227419,-0.70418
1.835428,1.23385,-0.698918
1.836597,1.22625,-0.705934
1.834551,1.23005,-0.703595
1.837767,1.228004,-0.701403
1.837182,1.23005,-0.707103
1.838936,1.230634,-0.695265
1.836305,1.229465,-0.702865
1.841859,1.232973,-0.701549
1.831336,1.227711,-0.703011
1.835721,1.229465,-0.700672
1.832797,1.229173,-0.706372
1.840105,1.23005,-0.705203
1.836597,1.23005,-0.696288
1.834259,1.226834,-0.692049
1.836013,1.223327,-0.694241
1.831921,1.232973,-0.707834
1.845659,1.231219,-0.706372
1.831336,1.220988,-0.708419
1.843028,1.230634,-0.70608
1.83689,1.225665,-0.700818
1.835721,1.228296,-0.703595
1.834551,1.231804,-0.711926
1.838059,1.23005,-0.70418
1.839813,1.231804,-0.701111
1.833382,1.23385,-0.709003
1.839813,1.228296,-0.702426
1.836305,1.220111,-0.697749
1.833674,1.22245,-0.699211
1.839228,1.228296,-0.689857
1.839813,1.23005,-0.706519
1.836013,1.220988,-0.699357
1.834844,1.224788,-0.692049
1.836305,1.223327,-0.705788
1.834844,1.222157,-0.695265
1.83689,1.220696,-0.709734
1.83689,1.220988,-0.697018
1.840105,1.22888,-0.697165
1.833674,1.22888,-0.701257
1.832505,1.228296,-0.693511
1.832505,1.227711,-0.698188
1.833674,1.228588,-0.699649
1.834844,1.222157,-0.69658
1.834844,1.225373,-0.703449
1.829874,1.228588,-0.705349
1.830167,1.226834,-0.703888
1.836597,1.231804,-0.703449
1.830751,1.229465,-0.695849
1.836013,1.230342,-0.705057
1.833382,1.231511,-0.687664
1.834844,1.231804,-0.706226
1.82549,1.22625,-0.702572
1.828413,1.231804,-0.704472
1.828997,1.23005,-0.707834
1.798889,1.228588,-0.710757
1.835136,1.230634,-0.700234
1.832505,1.230342,-0.701988
1.82812,1.231219,-0.697311
1.834551,1.231804,-0.703303
1.830167,1.228004,-0.702572
1.828413,1.22625,-0.700672
1.831921,1.224496,-0.694972
1.832797,1.23005,-0.702572
1.831044,1.225957,-0.697749
1.840398,1.230342,-0.705642
1.833382,1.231219,-0.697895
1.834259,1.224203,-0.69848
1.842736,1.223619,-0.700672
1.834844,1.225373,-0.692926
1.841567,1.223034,-0.698772
1.835721,1.234142,-0.703888
1.833967,1.229757,-0.701403
1.836305,1.222742,-0.693657
1.836305,1.230927,-0.702426
1.841274,1.232681,-0.70038
1.833967,1.23005,-0.686057
1.840982,1.223034,-0.699649
1.832505,1.22508,-0.696288
1.838351,1.226834,-0.693365
1.831336,1.230342,-0.705788
1.837182,1.229173,-0.70228
1.841567,1.225957,-0.696141
1.83689,1.233265,-0.698772
1.839521,1.229465,-0.689126
1.838936,1.226834,-0.704619
1.832213,1.233557,-0.693657
1.841274,1.224496,-0.697603
1.834551,1.225665,-0.695703
1.831921,1.228296,-0.709734
1.83309,1.227419,-0.699211
1.83309,1.23005,-0.696726
1.833674,1.232681,-0.699942
1.83689,1.223034,-0.698334
1.835428,1.228588,-0.703303
1.840105,1.236188,-0.70798
1.828705,1.223619,-0.706665
1.834844,1.229465,-0.701695
1.82549,1.225665,-0.691757
1.832797,1.231804,-0.697749
1.841274,1.231511,-0.698041
1.830167,1.230634,-0.700818
1.832797,1.23005,-0.697603
1.837474,1.22508,-0.694826
1.835136,1.230927,-0.687664
1.837767,1.227711,-0.693511
1.838351,1.231511,-0.699211
1.837474,1.22888,-0.701842
1.831921,1.235311,-0.690149
1.837767,1.228004,-0.701695
1.843028,1.225957,-0.695118
1.834551,1.222742,-0.685034
1.836013,1.230927,-0.701257
1.841859,1.229757,-0.693072
1.833382,1.229757,-0.706957
1.83689,1.222742,-0.695703
1.839228,1.232973,-0.693072
1.836013,1.230927,-0.701257
1.837182,1.228588,-0.695411
1.838351,1.231804,-0.697457
1.832213,1.229465,-0.69848
1.831336,1.227127,-0.696872
1.838644,1.226834,-0.689272
1.838644,1.241158,-0.692049
1.835428,1.232388,-0.690588
1.82929,1.234727,-0.700526
1.829874,1.257527,-0.716165
1.804151,1.285589,-0.736042
1.780766,1.336744,-0.754312
1.761473,1.379421,-0.777989
1.743058,1.416837,-0.778135
1.72698,1.452792,-0.782227
1.72435,1.479684,-0.788074
1.71938,1.498685,-0.760012
1.726688,1.500438,-0.742619
1.72815,1.505408,-0.72815
1.740134,1.500146,-0.705495
1.753873,1.484946,-0.683718
1.780474,1.453668,-0.640894
1.80152,1.407483,-0.617509
1.821982,1.410114,-0.591932
1.835428,1.347267,-0.58097
1.852675,1.31482,-0.56767
1.871383,1.298743,-0.550424
1.870213,1.289681,-0.556124
1.875183,1.272727,-0.553347
1.885414,1.274481,-0.54867
1.894475,1.255481,-0.549547
1.89126,1.25285,-0.548524
1.887167,1.241158,-0.540778
1.895937,1.237357,-0.544578
1.892721,1.231219,-0.547647
1.889798,1.232388,-0.540339
1.890091,1.224203,-0.549985
1.904122,1.22128,-0.54677
1.899152,1.222157,-0.552032
1.906168,1.215726,-0.547939
1.902368,1.212511,-0.546916
1.899445,1.218065,-0.541362
1.905583,1.212219,-0.545162
1.902368,1.211926,-0.548231
1.90266,1.218357,-0.546039
1.892721,1.218357,-0.53917
1.897398,1.218942,-0.548378
1.900029,1.22128,-0.543847
1.895352,1.215434,-0.549547
1.892429,1.211634,-0.547939
1.897398,1.216896,-0.546331
1.901199,1.212511,-0.548816
1.903829,1.210172,-0.548816
1.900614,1.21865,-0.539901
1.899152,1.205203,-0.551155
1.892137,1.208126,-0.549255
1.897691,1.212803,-0.544139
1.907337,1.20988,-0.543847
1.902952,1.21748,-0.556124
1.907629,1.20988,-0.547208
1.898568,1.216603,-0.546624
1.898568,1.209588,-0.553055
1.906168,1.216019,-0.555978
1.896229,1.210172,-0.541654
1.90266,1.210757,-0.553055
1.904999,1.212511,-0.551301
1.894768,1.210757,-0.552762
1.897106,1.211049,-0.549985
1.893014,1.204619,-0.548962
1.905583,1.210465,-0.551593
1.899737,1.206372,-0.553347
1.897983,1.209296,-0.54297
1.894768,1.211634,-0.564601
1.906168,1.211634,-0.553055
1.897106,1.20608,-0.555393
1.896521,1.211634,-0.552616
1.896229,1.208126,-0.545893
1.893891,1.212219,-0.548524
1.903537,1.213388,-0.54677
1.906168,1.209003,-0.557585
1.897983,1.213388,-0.555539
1.900614,1.215142,-0.542678
1.899445,1.205788,-0.539901
1.901491,1.210172,-0.567086
1.900322,1.209003,-0.545601
1.898275,1.207542,-0.550716
1.895352,1.206372,-0.542678
1.897691,1.214849,-0.54297
1.897398,1.207542,-0.546331
1.890675,1.216019,-0.551885
1.907045,1.211049,-0.553201
1.901199,1.207542,-0.548816
1.896814,1.211926,-0.547939
1.902075,1.203449,-0.561386
1.903245,1.218357,-0.552908
1.901491,1.213388,-0.553493
1.902952,1.212803,-0.559486
1.903245,1.210465,-0.558755
1.901199,1.218942,-0.547355
1.893598,1.20988,-0.550424
1.893306,1.210465,-0.54677
1.902952,1.209296,-0.558609
1.899445,1.22128,-0.546039
1.896521,1.208419,-0.545601
1.900029,1.208711,-0.54297
1.898568,1.210757,-0.549839
1.905291,1.21865,-0.538878
1.907922,1.205788,-0.554516
1.898275,1.201695,-0.552032
1.896521,1.20608,-0.560801
1.89886,1.207834,-0.538293
1.896229,1.211049,-0.554516
1.897983,1.214557,-0.548962
1.90266,1.208126,-0.559486
1.899445,1.208711,-0.551885
1.902952,1.206372,-0.559193
1.900029,1.209296,-0.554224
1.904706,1.213096,-0.55627
1.901199,1.209003,-0.556709
1.903245,1.20988,-0.554662
1.903829,1.207834,-0.561678
1.901491,1.210172,-0.551447
1.895645,1.204034,-0.54677
1.903245,1.210465,-0.553639
1.901199,1.214557,-0.543847
1.89886,1.211342,-0.545455
1.902075,1.20988,-0.540193
1.899152,1.206372,-0.551155
1.900029,1.215142,-0.546185
1.894183,1.207249,-0.547355
1.895937,1.208711,-0.547501
1.896814,1.213388,-0.552324
1.889798,1.20608,-0.547647
1.895645,1.207834,-0.541654
1.897106,1.211926,-0.546039
1.895352,1.21748,-0.550716
1.895937,1.220988,-0.547208
1.903245,1.208419,-0.548962
1.896521,1.205495,-0.551301
1.896229,1.203449,-0.556124
1.891845,1.210172,-0.553785
1.894768,1.209588,-0.546185
1.900029,1.211342,-0.545016
1.901199,1.205788,-0.551593
1.905875,1.206957,-0.552616
1.899445,1.206665,-0.550132
1.896521,1.213096,-0.55817
1.898568,1.209003,-0.551447
1.903245,1.215726,-0.547647
1.900322,1.207542,-0.555978
1.893891,1.211634,-0.556709
1.904414,1.204619,-0.553639
1.890091,1.209588,-0.549255
1.899445,1.204911,-0.558462
1.894768,1.213096,-0.546185
1.89886,1.211342,-0.550862
1.900322,1.212803,-0.541947
1.899445,1.202865,-0.545747
1.896229,1.211342,-0.550716
1.899737,1.20988,-0.554662
1.899737,1.206665,-0.549839
1.902368,1.209588,-0.536247
1.901491,1.204034,-0.543993
1.901491,1.216311,-0.558755
1.897398,1.204326,-0.546916
1.901199,1.204619,-0.546916
1.900029,1.210757,-0.552616
1.900029,1.208419,-0.551593
1.902952,1.215726,-0.540047
1.895937,1.205495,-0.549108
1.899445,1.205788,-0.542531
1.902075,1.204911,-0.546185
1.894183,1.210757,-0.549839
1.892721,1.205788,-0.541947
1.897398,1.207834,-0.547208
1.904706,1.212511,-0.539608
1.899152,1.213096,-0.534493
1.906168,1.216896,-0.550132
1.896521,1.20988,-0.551301
1.888337,1.204619,-0.553201
1.897691,1.212219,-0.556855
1.893014,1.205495,-0.551155
1.895352,1.209588,-0.553785
1.893306,1.207249,-0.55247
1.892721,1.199649,-0.545893
1.884244,1.209296,-0.549693
1.888337,1.205203,-0.542678
1.892429,1.196726,-0.53917
1.896229,1.204326,-0.547793
1.896521,1.209003,-0.547793
1.901783,1.211926,-0.53917
1.892429,1.206957,-0.537854
1.894183,1.207834,-0.540631
1.895937,1.208419,-0.553932
1.905583,1.207542,-0.548524
1.896229,1.208711,-0.54297
1.89886,1.209296,-0.539901
1.897691,1.211634,-0.542239
1.892429,1.205203,-0.540924
1.896814,1.210757,-0.543116
1.904122,1.213973,-0.557585
1.904999,1.212219,-0.543701
1.901783,1.206957,-0.53917
1.903829,1.211926,-0.546624
1.899737,1.204034,-0.542093
1.899737,1.20988,-0.542239
1.901491,1.214849,-0.548962
1.895352,1.209588,-0.551739
1.902952,1.207542,-0.555247
1.899152,1.204619,-0.555832
1.902952,1.204619,-0.550424
1.905291,1.206665,-0.553785
1.899737,1.213973,-0.565916
1.89886,1.205495,-0.555101
1.899445,1.20988,-0.553055
1.901491,1.20228,-0.547208
1.901199,1.208711,-0.541362
1.903245,1.202572,-0.551301
1.89886,1.20608,-0.551593
1.900322,1.206372,-0.550716
1.871383,1.201403,-0.553347
1.900906,1.206372,-0.549839
1.895937,1.208126,-0.560362
1.896814,1.209003,-0.55817
1.896814,1.20608,-0.541947
1.897106,1.202572,-0.548524
1.895937,1.200818,-0.549693
1.890968,1.201403,-0.545747
1.894475,1.208711,-0.55057
1.899152,1.215726,-0.536831
1.902952,1.200526,-0.54677
1.905583,1.208419,-0.544139
1.896814,1.210465,-0.552616
1.894183,1.207542,-0.547501
1.893014,1.207542,-0.553785
1.894768,1.208419,-0.555393
1.896229,1.209296,-0.553639
1.903829,1.203449,-0.546331
1.897691,1.205495,-0.550424
1.905875,1.202572,-0.554662
1.895937,1.208126,-0.551447
1.897691,1.208126,-0.541362
1.902952,1.209588,-0.543116
1.904706,1.21368,-0.54867
1.901491,1.211926,-0.546039
1.894183,1.204326,-0.551301
1.898568,1.211342,-0.537854
1.897983,1.205495,-0.551885
1.908799,1.197895,-0.549108
1.900906,1.209296,-0.546331
1.898568,1.202865,-0.53917
1.898568,1.215142,-0.555978
1.895352,1.208711,-0.550278
1.898275,1.208126,-0.558609
1.900029,1.211634,-0.561678
1.896521,1.203742,-0.556124
1.906752,1.214849,-0.54297
1.894183,1.196141,-0.553055
1.900906,1.207834,-0.556562
1.907337,1.209588,-0.563724
1.900322,1.220111,-0.551447
1.904999,1.211342,-0.551593
1.903829,1.206665,-0.544285
1.906168,1.204326,-0.54677
1.899737,1.208711,-0.557732
1.904414,1.210465,-0.544724
1.898275,1.204326,-0.546916
1.902075,1.213096,-0.558901
1.895645,1.207834,-0.554955
1.904414,1.212219,-0.557585
1.899737,1.210465,-0.557878
1.906168,1.208419,-0.547939
1.908506,1.211342,-0.557147
1.895645,1.215726,-0.553201
1.901199,1.213388,-0.540631
1.89886,1.216311,-0.546916
1.900029,1.211342,-0.561093
1.900614,1.204619,-0.559778
1.906752,1.212803,-0.545016
1.904706,1.219819,-0.555685
1.902952,1.214849,-0.553055
1.897691,1.209588,-0.556709
1.896229,1.213388,-0.548085
1.897398,1.211049,-0.558024
1.900614,1.214265,-0.545162
1.905583,1.210465,-0.546331
1.901783,1.211926,-0.560362
1.904122,1.205495,-0.542093
1.900322,1.211342,-0.54677
1.89886,1.203157,-0.547501
1.903537,1.212511,-0.549255
1.897983,1.211926,-0.545601
1.897106,1.211634,-0.550424
1.897106,1.199942,-0.541654
1.903537,1.208419,-0.544139
1.905291,1.211634,-0.554662
1.904414,1.211926,-0.552762
1.900906,1.206372,-0.560801
1.904414,1.209588,-0.552908
1.900906,1.207834,-0.553493
1.899445,1.206665,-0.55057
1.902952,1.211926,-0.548231
1.907629,1.207542,-0.545162
1.903829,1.214557,-0.544578
1.907922,1.211634,-0.550278
1.893598,1.208711,-0.556416
1.899445,1.208419,-0.551885
1.900322,1.207542,-0.548962
1.895937,1.213096,-0.553639
1.896521,1.211049,-0.553785
1.902952,1.213973,-0.552178
1.893598,1.20608,-0.551155
1.90266,1.204619,-0.547208
1.905583,1.211342,-0.550716
1.89886,1.210757,-0.547939
1.899737,1.209588,-0.551008
1.900614,1.206372,-0.54107
1.904414,1.208419,-0.546916
1.90646,1.206957,-0.551885
1.900906,1.20988,-0.555101
1.901491,1.212803,-0.553785
1.898275,1.204326,-0.544285
1.896229,1.208126,-0.551739
1.902952,1.210172,-0.545601
1.903829,1.214265,-0.541947
1.900614,1.210465,-0.551008
1.901491,1.211049,-0.543116
1.899152,1.203157,-0.542385
1.904706,1.214557,-0.540193
1.897983,1.205495,-0.553055
1.904414,1.216019,-0.551008
1.902368,1.201111,-0.551447
1.903245,1.206665,-0.549401
1.894768,1.212219,-0.540631
1.895937,1.215142,-0.545893
1.891845,1.209296,-0.546624
1.896521,1.218357,-0.566355
1.895645,1.216896,-0.553055
1.885706,1.237357,-0.556855
1.884244,1.261619,-0.568693
1.860275,1.308974,-0.573955
1.834259,1.359252,-0.597486
1.805612,1.413037,-0.622333
1.782227,1.446361,-0.650833
1.769658,1.465069,-0.678164
1.760304,1.488454,-0.705642
1.744811,1.4943,-0.719088
1.726103,1.503362,-0.748027
1.72698,1.498392,-0.759719
1.718503,1.486408,-0.758112
1.721719,1.493715,-0.77112
1.720257,1.491961,-0.787343
1.723473,1.487284,-0.767904
1.720842,1.476761,-0.784274
1.723473,1.473546,-0.792605
1.72698,1.465946,-0.781643
1.72698,1.463022,-0.790266
1.725519,1.461561,-0.793774
1.722888,1.456884,-0.791874
1.725519,1.458346,-0.791289
1.729611,1.453668,-0.789828
1.726103,1.454838,-0.781643
1.733704,1.448992,-0.781789
1.730488,1.449576,-0.788512
1.728734,1.452792,-0.79772
1.729611,1.45133,-0.787051
1.72698,1.442561,-0.819059
1.733411,1.441099,-0.795089
1.731365,1.444607,-0.790266
1.730488,1.450161,-0.781058
1.728734,1.446068,-0.791435
1.730196,1.441976,-0.79202
1.735165,1.443438,-0.79012
1.727565,1.451038,-0.795674
1.731365,1.442853,-0.782374
1.727273,1.444899,-0.796989
1.739842,1.441976,-0.785589
1.72815,1.446945,-0.789097
1.724934,1.443438,-0.800351
1.733411,1.44373,-0.79012
1.726396,1.441976,-0.799035
1.738673,1.445192,-0.787197
1.726103,1.441976,-0.806343
1.729319,1.440222,-0.790266
1.728734,1.448699,-0.795381
1.727565,1.43496,-0.789097
1.730488,1.437007,-0.793335
1.731657,1.440514,-0.790704
1.729611,1.44373,-0.796989
1.730196,1.450161,-0.794943
1.729904,1.445192,-0.79392
1.73078,1.437591,-0.790997
1.733704,1.437591,-0.799328
1.73078,1.441099,-0.798305
1.737504,1.444022,-0.789974
1.72318,1.44753,-0.796258
1.733704,1.445776,-0.791143
1.73195,1.442268,-0.801959
