ch1,ch2,ch3
1.924291,1.160187,-0.612832
1.916983,1.167203,-0.606109
1.925168,1.161064,-0.616633
1.924876,1.168956,-0.619263
1.916691,1.167495,-0.618679
1.921076,1.16311,-0.611809
1.920491,1.161649,-0.620433
1.923414,1.163695,-0.617656
1.918153,1.166326,-0.617363
1.923414,1.161941,-0.619263
1.919322,1.16311,-0.616048
1.923707,1.159018,-0.610348
1.929845,1.167495,-0.612832
1.920491,1.161941,-0.614879
1.921368,1.166326,-0.610932
1.920491,1.165741,-0.617948
1.913476,1.159602,-0.621456
1.918153,1.154049,-0.607717
1.921953,1.158726,-0.618533
1.921076,1.15931,-0.61254
1.92546,1.153464,-0.616925
1.919614,1.156679,-0.611079
1.928091,1.168079,-0.621456
1.917276,1.154049,-0.617802
1.919906,1.157849,-0.622625
1.915814,1.160479,-0.620725
1.920491,1.157264,-0.612832
1.924583,1.161941,-0.617802
1.922245,1.16311,-0.614294
1.923707,1.158433,-0.621017
1.92283,1.158141,-0.623648
1.925753,1.162233,-0.622479
1.917568,1.160479,-0.63081
1.92166,1.164864,-0.629933
1.922537,1.167787,-0.621602
1.92283,1.161356,-0.620433
1.919029,1.157264,-0.620579
1.920491,1.164572,-0.603186
1.923999,1.159602,-0.614294
1.92166,1.153756,-0.630956
1.91786,1.166326,-0.615609
1.921076,1.161064,-0.615025
1.918737,1.158141,-0.62204
1.925168,1.157556,-0.618825
1.920199,1.161941,-0.611079
1.92283,1.15931,-0.612394
1.924291,1.161356,-0.608155
1.91786,1.157849,-0.617071
1.92663,1.162526,-0.613125
1.924583,1.162818,-0.62394
1.931014,1.165741,-0.620286
1.921953,1.158433,-0.615317
1.919906,1.15551,-0.618386
1.920199,1.159018,-0.623502
1.923999,1.162526,-0.621017
1.920783,1.155802,-0.621748
1.927507,1.152879,-0.623794
1.920491,1.157264,-0.626717
1.924876,1.159895,-0.634317
1.922537,1.158141,-0.628471
1.923122,1.157849,-0.619263
1.92166,1.156679,-0.624525
1.915229,1.156095,-0.623356
1.927214,1.164572,-0.630371
1.921953,1.160772,-0.630225
1.916983,1.164572,-0.619263
1.913183,1.162233,-0.631248
1.924583,1.165449,-0.625402
1.921368,1.166618,-0.617217
1.918445,1.16311,-0.619556
1.923122,1.162818,-0.634902
1.922245,1.157849,-0.630225
1.920491,1.168079,-0.622917
1.913183,1.160187,-0.637387
1.919614,1.162818,-0.633587
1.915522,1.156972,-0.62204
1.92166,1.162818,-0.637094
1.916399,1.163403,-0.626279
1.91786,1.158726,-0.620286
1.920199,1.164864,-0.62394
1.915814,1.17071,-0.632564
1.917276,1.164864,-0.627594
1.913476,1.158726,-0.620286
1.914645,1.165741,-0.62774
1.921076,1.157556,-0.620579
1.916106,1.165156,-0.617802
1.916691,1.165741,-0.620871
1.916399,1.167495,-0.621602
1.914645,1.160479,-0.625402
