ch1,ch2,ch3
1.806197,1.508916,-0.695557
1.793628,1.500731,-0.676849
1.790704,1.489038,-0.678164
1.77375,1.4791,-0.659018
1.784858,1.466238,-0.655949
1.774043,1.457469,-0.651856
1.771996,1.44373,-0.649664
1.769366,1.425899,-0.63344
1.763227,1.418299,-0.628179
1.762058,1.420637,-0.617656
1.744227,1.401052,-0.621456
1.753289,1.391114,-0.616048
1.753289,1.387606,-0.61941
1.749781,1.376206,-0.616633
1.749781,1.374744,-0.617363
1.743058,1.37036,-0.621163
1.745396,1.363344,-0.616633
1.729319,1.358959,-0.617509
1.729904,1.356621,-0.617656
1.731073,1.363344,-0.616779
1.726103,1.354867,-0.62584
1.728734,1.356621,-0.626133
1.731073,1.347852,-0.628033
1.725811,1.344636,-0.631687
1.726688,1.358082,-0.641918
1.713826,1.353698,-0.636802
1.721426,1.353405,-0.639433
1.717042,1.350482,-0.643525
1.710026,1.353113,-0.64981
1.712949,1.344051,-0.654195
1.708272,1.348436,-0.665303
1.706811,1.347559,-0.650248
1.704472,1.348728,-0.657118
1.705934,1.349021,-0.662526
1.695118,1.357206,-0.674218
1.697457,1.35779,-0.672172
1.702718,1.363929,-0.674949
1.701549,1.361298,-0.687664
1.695995,1.365975,-0.679772
1.701549,1.366852,-0.68211
1.700672,1.375621,-0.690295
1.695703,1.375037,-0.694972
1.703888,1.383221,-0.701988
1.695411,1.378252,-0.693511
1.704765,1.381175,-0.700088
1.705349,1.380298,-0.717334
1.694241,1.386729,-0.710172
1.698042,1.390237,-0.709588
1.694826,1.389652,-0.712949
1.700672,1.399591,-0.72128
1.693365,1.395206,-0.725373
1.699211,1.398714,-0.730634
1.698042,1.400468,-0.731219
1.702134,1.40836,-0.733119
1.699795,1.411283,-0.733996
1.700088,1.415083,-0.740573
1.701842,1.418591,-0.737211
1.698626,1.425899,-0.740719
1.70038,1.42853,-0.756212
1.70038,1.426776,-0.751681
1.696288,1.439638,-0.762204
1.700088,1.437884,-0.759427
1.698626,1.435545,-0.757966
1.693072,1.439345,-0.763958
1.708272,1.447822,-0.764104
1.702718,1.446361,-0.760889
1.705349,1.451038,-0.763081
1.705349,1.456007,-0.773604
1.702426,1.465653,-0.783104
1.705057,1.462146,-0.772289
1.71558,1.471792,-0.783543
1.707103,1.469746,-0.778574
1.715288,1.477054,-0.787928
1.71178,1.477346,-0.788074
1.713534,1.475592,-0.787928
1.71938,1.478807,-0.793043
1.716749,1.482607,-0.794505
1.716457,1.479392,-0.789243
1.720842,1.486408,-0.792605
1.725519,1.492838,-0.806489
1.72435,1.488161,-0.805174
1.728734,1.481438,-0.801374
1.729904,1.491961,-0.80722
1.73575,1.500438,-0.793189
1.732534,1.500731,-0.80722
1.728734,1.5057,-0.810143
1.736919,1.505992,-0.800205
1.742765,1.502192,-0.803566
1.744811,1.507162,-0.806635
1.740134,1.506577,-0.799912
1.74335,1.500146,-0.81482
1.741888,1.500146,-0.815259
1.746858,1.503654,-0.80342
1.750365,1.506577,-0.804297
1.745981,1.503069,-0.799182
1.746565,1.512423,-0.803859
1.750658,1.502192,-0.801228
1.761473,1.506869,-0.809266
1.753581,1.514762,-0.805466
1.764689,1.503654,-0.801082
1.764689,1.512131,-0.805905
1.767027,1.503946,-0.805028
1.765566,1.506869,-0.798305
1.775212,1.504238,-0.796843
1.770243,1.502777,-0.805905
1.764981,1.512131,-0.801812
1.776673,1.510377,-0.792166
1.779012,1.507454,-0.797574
1.77872,1.502777,-0.794943
1.784274,1.497808,-0.804443
1.78135,1.507454,-0.795674
1.790412,1.508331,-0.800643
1.792458,1.497515,-0.804589
