ch1,ch2,ch3
1.744811,1.43613,-0.859106
1.744811,1.436422,-0.858813
1.744227,1.438761,-0.854721
1.753581,1.448992,-0.858813
1.744519,1.442853,-0.866706
1.745104,1.444899,-0.862906
1.752704,1.448115,-0.874013
1.753289,1.450745,-0.857352
1.766735,1.452207,-0.873721
1.761181,1.446653,-0.860859
1.764104,1.455715,-0.855452
1.758842,1.458638,-0.879129
1.762643,1.460976,-0.87489
1.769366,1.460099,-0.861152
1.773458,1.464484,-0.874452
1.767612,1.461853,-0.881029
1.761181,1.465946,-0.881175
1.772289,1.467115,-0.872113
1.772581,1.463899,-0.868752
1.775212,1.467407,-0.87416
1.781058,1.459807,-0.878983
1.783689,1.47033,-0.882344
1.785443,1.473838,-0.86729
1.784274,1.470915,-0.883367
1.789535,1.474715,-0.876352
1.793628,1.476469,-0.883806
1.791874,1.477638,-0.883367
1.793043,1.476761,-0.86656
1.794505,1.469746,-0.866852
1.80152,1.474715,-0.883952
1.808243,1.474423,-0.871237
1.806197,1.469746,-0.868167
1.807074,1.473838,-0.87679
1.805612,1.476469,-0.870652
1.817889,1.473838,-0.856767
1.813505,1.462146,-0.872113
1.811751,1.464776,-0.867144
1.822274,1.464776,-0.860129
1.823736,1.472669,-0.862613
1.824028,1.468576,-0.865098
1.824028,1.466238,-0.862321
1.830459,1.468869,-0.85399
1.832213,1.4677,-0.862175
1.83689,1.4677,-0.864659
1.833967,1.464192,-0.850921
1.837474,1.468284,-0.868167
1.839228,1.465069,-0.862321
1.838936,1.458053,-0.844051
1.845367,1.458638,-0.840982
1.851798,1.458638,-0.847267
1.850921,1.466823,-0.843467
1.858229,1.459807,-0.839521
1.857644,1.454545,-0.837328
1.862613,1.448407,-0.829874
1.862029,1.446945,-0.840105
1.86729,1.444607,-0.830897
1.869044,1.443145,-0.832359
1.874306,1.441976,-0.831044
1.881029,1.438176,-0.842005
1.883075,1.438468,-0.82739
1.884829,1.42853,-0.818328
1.886875,1.433499,-0.820082
1.890968,1.427653,-0.81672
1.893306,1.417714,-0.81292
1.89506,1.418591,-0.805759
1.893014,1.417714,-0.808536
1.895937,1.421222,-0.804882
1.893891,1.415668,-0.798743
1.901199,1.41216,-0.791581
1.908214,1.405729,-0.790558
1.904414,1.40456,-0.790412
1.904706,1.395791,-0.788658
1.907045,1.39696,-0.792312
1.915522,1.396375,-0.776235
1.909675,1.387021,-0.783543
1.915522,1.390821,-0.782666
1.916983,1.391991,-0.768343
1.916983,1.388483,-0.767466
1.919614,1.387606,-0.775504
1.916399,1.373867,-0.756212
1.923999,1.374744,-0.785735
1.920199,1.367436,-0.745981
1.925753,1.363344,-0.743496
1.931307,1.358082,-0.74335
1.937737,1.358667,-0.747735
1.936276,1.357498,-0.732827
1.937153,1.348728,-0.732827
1.935107,1.337328,-0.734288
1.932184,1.345805,-0.730634
1.935691,1.335282,-0.727127
1.94183,1.330313,-0.728442
1.940953,1.33002,-0.705788
1.943876,1.322128,-0.707103
1.947384,1.322128,-0.701111
1.937445,1.315113,-0.710903
1.951476,1.320082,-0.704619
1.938907,1.310143,-0.691464
1.937737,1.302251,-0.693072
1.942999,1.300497,-0.703742
1.947968,1.291143,-0.69468
1.940368,1.292897,-0.687957
1.946799,1.28822,-0.684887
1.940661,1.283251,-0.675095
1.946799,1.273604,-0.681087
1.944461,1.274481,-0.680941
1.94943,1.281497,-0.653172
1.951476,1.276527,-0.663841
1.95323,1.270389,-0.656095
1.94943,1.266296,-0.660626
1.953815,1.259866,-0.64601
1.948261,1.26045,-0.650833
1.947968,1.253727,-0.645571
1.944753,1.253142,-0.642648
1.950307,1.244665,-0.634902
1.948845,1.245542,-0.643818
1.947676,1.245542,-0.632417
1.951184,1.244081,-0.62701
1.950599,1.240281,-0.630664
1.946799,1.229465,-0.62394
1.946215,1.223327,-0.622333
1.944168,1.215142,-0.62511
1.942707,1.217773,-0.620286
1.946507,1.222157,-0.616925
1.937737,1.212803,-0.615171
1.941538,1.209296,-0.612248
1.933937,1.211049,-0.615025
1.939491,1.211926,-0.608594
1.92926,1.20988,-0.615463
1.932768,1.211342,-0.612686
1.936276,1.196141,-0.605086
1.926337,1.185911,-0.596317
1.93423,1.197603,-0.598948
1.937737,1.196141,-0.594271
1.926922,1.19088,-0.597632
1.928968,1.190295,-0.593978
1.921368,1.184449,-0.590178
1.919906,1.182111,-0.592955
1.925753,1.177726,-0.594417
1.919614,1.175095,-0.586963
1.917568,1.176849,-0.595148
1.915522,1.172464,-0.59164
1.909091,1.169833,-0.593686
1.90646,1.169541,-0.595001
1.907045,1.168079,-0.595294
1.907045,1.17451,-0.592371
1.89506,1.168956,-0.585501
1.897106,1.170418,-0.589594
1.901199,1.173926,-0.587401
1.889214,1.167203,-0.592224
1.889798,1.166326,-0.596755
1.888921,1.161356,-0.589448
1.889506,1.166326,-0.590324
1.879275,1.164864,-0.590909
1.886291,1.168079,-0.598363
1.878398,1.166618,-0.600994
1.881321,1.167495,-0.60304
1.871675,1.158141,-0.597778
1.875475,1.156679,-0.602163
1.87489,1.167495,-0.606255
1.866121,1.159602,-0.603625
1.870506,1.164572,-0.597925
1.869629,1.160187,-0.602748
1.864075,1.164572,-0.593978
1.862906,1.165156,-0.634171
1.856475,1.159602,-0.607425
1.853844,1.163987,-0.596171
1.859398,1.165741,-0.604063
1.847413,1.17188,-0.617071
1.847121,1.17071,-0.613856
1.845075,1.166033,-0.615025
1.839521,1.174218,-0.626571
1.837767,1.171587,-0.608886
1.835136,1.172172,-0.623502
1.833382,1.180941,-0.615902
1.832505,1.177433,-0.620871
1.827243,1.18328,-0.624525
1.815551,1.179772,-0.635341
1.820228,1.177433,-0.62584
1.824905,1.189711,-0.647179
1.817305,1.193511,-0.637825
1.81292,1.184157,-0.649518
1.806782,1.19088,-0.634902
1.813213,1.203449,-0.640164
1.809997,1.190588,-0.639287
1.80912,1.19848,-0.646156
1.802397,1.199357,-0.649518
1.80532,1.204326,-0.656241
1.799182,1.208126,-0.654341
1.795089,1.20608,-0.668226
1.791874,1.211926,-0.654779
1.797428,1.219526,-0.67451
1.795381,1.21865,-0.678018
1.790704,1.218357,-0.678895
1.79012,1.222742,-0.674218
1.79012,1.226542,-0.677141
1.78252,1.230634,-0.687372
1.791874,1.234434,-0.684303
1.786612,1.228588,-0.678749
1.781643,1.24525,-0.698041
1.776381,1.242034,-0.698188
1.777258,1.239988,-0.70038
1.780766,1.245835,-0.696434
1.781643,1.248465,-0.699942
1.773166,1.253142,-0.697018
1.774043,1.267173,-0.715434
1.77375,1.263081,-0.73955
1.770535,1.263666,-0.712072
1.767612,1.265712,-0.710465
1.769073,1.279158,-0.721134
1.768196,1.282958,-0.717919
1.763519,1.285881,-0.729611
1.765273,1.28062,-0.731511
1.764689,1.285297,-0.728004
1.756796,1.295528,-0.732096
1.767319,1.292312,-0.732534
1.751535,1.294943,-0.747442
1.755042,1.294358,-0.743204
1.74715,1.300789,-0.745104
1.751242,1.30722,-0.754165
1.753289,1.310436,-0.750658
1.753873,1.312189,-0.760742
1.745688,1.321543,-0.766443
1.746565,1.31482,-0.76615
1.755335,1.32359,-0.765858
1.752412,1.325343,-0.774481
1.749196,1.325343,-0.772727
1.745981,1.329436,-0.770243
1.749781,1.339374,-0.775358
1.747442,1.340544,-0.76995
1.748612,1.340251,-0.777989
1.731657,1.34259,-0.787635
1.739842,1.343759,-0.783981
1.741304,1.340836,-0.791874
1.737504,1.353698,-0.795966
1.745981,1.349313,-0.801228
1.739258,1.364221,-0.800205
1.743935,1.364221,-0.810728
1.743642,1.370067,-0.809705
1.738965,1.378837,-0.803712
1.734288,1.37796,-0.810582
1.74335,1.385852,-0.819205
1.745688,1.378837,-0.827097
1.739258,1.38439,-0.807512
1.741011,1.386144,-0.819643
1.736919,1.379421,-0.821836
1.742765,1.395498,-0.815405
1.744227,1.395206,-0.81672
1.741011,1.391991,-0.828559
1.736627,1.40456,-0.820959
1.73575,1.397837,-0.82812
1.749781,1.404852,-0.831336
1.745104,1.414499,-0.843321
1.747442,1.411868,-0.848144
1.743642,1.411576,-0.846682
1.741596,1.415083,-0.837474
1.73575,1.41713,-0.847705
1.745104,1.42473,-0.845951
1.746858,1.427068,-0.842151
1.756504,1.423853,-0.850628
1.756504,1.436422,-0.849021
1.751242,1.431745,-0.854575
1.749196,1.434084,-0.850775
1.751242,1.437884,-0.862906
1.757966,1.440807,-0.848875
1.750365,1.443145,-0.858229
1.753873,1.443145,-0.859544
1.757381,1.446068,-0.863636
1.764981,1.447822,-0.865098
1.757673,1.446068,-0.866267
1.76235,1.450453,-0.85969
1.763227,1.449868,-0.865536
1.764396,1.452207,-0.864075
1.761181,1.459222,-0.870652
1.772873,1.459807,-0.863783
1.774335,1.463022,-0.854575
1.773166,1.459222,-0.86919
1.772581,1.465361,-0.874744
1.777258,1.468576,-0.873867
1.783689,1.466823,-0.879421
1.768781,1.465361,-0.874744
1.778427,1.46653,-0.878398
1.773458,1.465361,-0.87986
1.784566,1.47033,-0.883514
1.781058,1.475007,-0.876937
1.785443,1.471792,-0.882637
1.784566,1.47413,-0.878544
1.794797,1.484069,-0.870213
1.795089,1.476177,-0.875475
1.79772,1.469746,-0.87299
1.791581,1.477638,-0.880444
1.796258,1.46273,-0.881906
1.80152,1.4715,-0.871529
1.804735,1.471207,-0.869629
1.80532,1.473546,-0.869921
1.808828,1.472669,-0.865536
1.815551,1.472961,-0.868898
1.817597,1.470915,-0.87299
1.817013,1.465653,-0.867144
1.814966,1.472961,-0.868606
1.813797,1.473546,-0.879567
1.830459,1.475592,-0.866706
1.82052,1.470038,-0.870798
1.817013,1.465069,-0.867729
1.830751,1.472961,-0.863783
1.832213,1.470038,-0.861444
1.870506,1.465069,-0.857059
1.79772,1.464484,-0.860713
1.837474,1.46273,-0.860567
1.839228,1.458053,-0.867583
1.845659,1.45893,-0.855305
1.852967,1.455422,-0.857352
1.847121,1.455715,-0.851505
