ch1,ch2,ch3
1.87489,1.224496,-0.753873
1.878983,1.219526,-0.749781
1.877813,1.221865,-0.753581
1.877521,1.223327,-0.754896
1.87869,1.218357,-0.71748
1.880152,1.214849,-0.749927
1.878398,1.226834,-0.74905
1.882491,1.223327,-0.74905
1.878983,1.216019,-0.751535
1.880152,1.216019,-0.753289
1.876644,1.215726,-0.746711
1.884829,1.224203,-0.75285
1.883075,1.219819,-0.748027
1.87869,1.222157,-0.75475
1.881906,1.217773,-0.763666
1.877521,1.220696,-0.757235
1.881321,1.218942,-0.764689
1.881906,1.225665,-0.750365
1.875183,1.223327,-0.751242
1.878106,1.228588,-0.761035
1.881029,1.227419,-0.75095
1.872844,1.22508,-0.759135
1.875183,1.224203,-0.76045
1.876352,1.227419,-0.755042
1.88366,1.216896,-0.757966
1.879275,1.225373,-0.758112
1.877229,1.223619,-0.755481
1.87869,1.224203,-0.751242
1.873137,1.222157,-0.751096
1.873721,1.219234,-0.755042
1.883367,1.22625,-0.755773
1.876352,1.21748,-0.754165
1.87869,1.224788,-0.758404
1.872552,1.219234,-0.742765
1.882783,1.218942,-0.750219
1.874598,1.21748,-0.740134
1.876937,1.215434,-0.749342
1.866706,1.22128,-0.756065
1.875183,1.219234,-0.744373
1.874306,1.218942,-0.741888
1.873721,1.218942,-0.751096
1.873137,1.215726,-0.751535
1.872552,1.222742,-0.763373
1.869629,1.234434,-0.773312
1.858229,1.257819,-0.771996
1.851505,1.27185,-0.797428
1.839228,1.282374,-0.794943
1.839521,1.28822,-0.811459
1.846244,1.280912,-0.794943
1.847705,1.27565,-0.796405
1.848582,1.273897,-0.806928
1.843613,1.283835,-0.79392
1.836305,1.291728,-0.806928
1.840398,1.291435,-0.810289
1.838059,1.296405,-0.81672
1.834551,1.288804,-0.814674
1.841859,1.298743,-0.815989
1.834551,1.29962,-0.813651
1.831628,1.301666,-0.820082
1.827828,1.297574,-0.811459
1.832505,1.300497,-0.806489
1.833967,1.295235,-0.813066
1.826659,1.301374,-0.811897
1.834844,1.30342,-0.807659
1.830167,1.30342,-0.817013
1.82929,1.302251,-0.823151
1.828413,1.298158,-0.808536
1.827536,1.301082,-0.82052
1.827536,1.293774,-0.813651
1.826074,1.294358,-0.820666
1.831044,1.300205,-0.815405
1.834551,1.307512,-0.807659
1.831921,1.297574,-0.828267
1.831336,1.304297,-0.809559
1.828705,1.297282,-0.819497
1.834844,1.301374,-0.807074
1.836597,1.301958,-0.807366
1.835136,1.300497,-0.816866
1.82812,1.302835,-0.82432
1.829582,1.299035,-0.810289
1.832213,1.305759,-0.817597
1.832797,1.303712,-0.824467
1.835136,1.301082,-0.814528
1.826367,1.300497,-0.814966
1.836305,1.301958,-0.82052
1.836013,1.302251,-0.810436
1.826951,1.306928,-0.808243
1.83309,1.302543,-0.819497
1.829582,1.297282,-0.808243
1.833382,1.306051,-0.815551
1.832505,1.298743,-0.814382
1.832797,1.303712,-0.813797
1.823736,1.295235,-0.818766
1.832505,1.296112,-0.809412
1.830751,1.301958,-0.816136
1.830167,1.296405,-0.810436
1.831336,1.296989,-0.815989
1.835428,1.302835,-0.817159
1.830167,1.303128,-0.810728
1.830167,1.301958,-0.813213
1.83309,1.301374,-0.807074
1.838059,1.299035,-0.816428
1.833674,1.302251,-0.808828
1.83309,1.297866,-0.822859
1.836013,1.29582,-0.805028
1.845367,1.308974,-0.815113
1.83309,1.301666,-0.81789
1.83309,1.299328,-0.80912
1.832797,1.302835,-0.813066
1.840105,1.298743,-0.807659
1.838351,1.299912,-0.805612
1.833967,1.304882,-0.808828
1.83689,1.302543,-0.812482
1.831044,1.29582,-0.811459
1.835721,1.304882,-0.808243
1.832213,1.272727,-0.804882
1.833967,1.305174,-0.81862
1.836305,1.302251,-0.819351
1.800935,1.303128,-0.813359
1.831628,1.295235,-0.813943
1.827536,1.294651,-0.822567
1.834259,1.302251,-0.822274
1.838351,1.297574,-0.813066
1.83309,1.29962,-0.819497
1.828705,1.297282,-0.816574
1.830751,1.296112,-0.814966
1.830167,1.294358,-0.81862
1.827828,1.297574,-0.815843
1.831921,1.306343,-0.817597
1.83689,1.29962,-0.81102
1.831921,1.295528,-0.824905
1.833382,1.299912,-0.819351
1.831628,1.306343,-0.816428
1.831044,1.298451,-0.81789
1.838059,1.299912,-0.823882
1.828705,1.301958,-0.819059
1.836013,1.29962,-0.817013
1.835136,1.294066,-0.822859
1.831044,1.303128,-0.833967
1.826951,1.300789,-0.826074
1.826951,1.307512,-0.819497
1.831044,1.300205,-0.824174
1.831921,1.301958,-0.825636
1.831921,1.294651,-0.820082
1.827243,1.300205,-0.812482
1.830167,1.306343,-0.815113
1.831628,1.306051,-0.816136
1.832213,1.296112,-0.82432
1.826951,1.301374,-0.809412
1.837474,1.308097,-0.818328
1.831921,1.307512,-0.817743
1.828413,1.30342,-0.819497
1.830167,1.304297,-0.817013
1.829582,1.304297,-0.819497
1.835428,1.301666,-0.816428
1.832213,1.306051,-0.819059
1.832505,1.307805,-0.821836
1.831921,1.302543,-0.814966
1.835721,1.305466,-0.821105
1.839813,1.303128,-0.821836
1.832505,1.296405,-0.829144
1.833967,1.305759,-0.829582
1.82929,1.29962,-0.825343
1.835136,1.297866,-0.856475
1.842151,1.303128,-0.822274
1.829874,1.296405,-0.819497
1.835136,1.303128,-0.82622
1.831044,1.299912,-0.826805
1.829874,1.298158,-0.820374
1.834551,1.299912,-0.813359
1.831336,1.299035,-0.819643
1.833674,1.300497,-0.81979
1.836305,1.302251,-0.814382
1.831044,1.29962,-0.817013
1.831336,1.304297,-0.810436
1.829874,1.303128,-0.821543
1.841274,1.300497,-0.814674
1.826074,1.294358,-0.81292
1.828705,1.295528,-0.819351
1.833967,1.300789,-0.822567
1.838936,1.292604,-0.817159
1.821982,1.306051,-0.809997
1.830459,1.306051,-0.825782
1.832213,1.306928,-0.818766
1.831628,1.301374,-0.816428
1.826074,1.29962,-0.820082
1.831921,1.30342,-0.820813
1.826951,1.300497,-0.818036
1.839813,1.297866,-0.818036
1.837474,1.296697,-0.826367
1.824028,1.30342,-0.821251
1.833967,1.298451,-0.82242
1.832797,1.298743,-0.819351
1.828705,1.304005,-0.821836
1.832505,1.300497,-0.82739
1.830459,1.302835,-0.818328
1.834551,1.308389,-0.815259
1.830167,1.298743,-0.814236
1.830167,1.300205,-0.815259
1.824028,1.306343,-0.815259
1.83309,1.307512,-0.810874
1.835136,1.300205,-0.812628
1.839228,1.298743,-0.810436
1.835136,1.301374,-0.807805
1.830459,1.302251,-0.818182
1.833674,1.299035,-0.815843
1.83689,1.304589,-0.814674
1.830751,1.298743,-0.820666
1.838059,1.298451,-0.812189
1.835428,1.299912,-0.82432
1.836597,1.301666,-0.822713
1.826951,1.29962,-0.820959
1.830459,1.299035,-0.826074
1.840105,1.302835,-0.857498
1.828997,1.304589,-0.81862
1.839228,1.307512,-0.816136
1.836305,1.307512,-0.802251
1.835136,1.299035,-0.82432
1.796258,1.304297,-0.810874
1.838936,1.296989,-0.81979
1.840398,1.307512,-0.815697
1.836013,1.294066,-0.814382
1.831336,1.302251,-0.813651
1.829874,1.299912,-0.81482
