ch1,ch2,ch3
1.74335,1.517977,-0.733119
1.742765,1.523823,-0.765127
1.745104,1.508331,-0.782666
1.742765,1.503654,-0.78062
1.740427,1.491084,-0.805028
1.757381,1.473253,-0.801666
1.724934,1.45513,-0.799182
1.771996,1.43613,-0.798305
1.777258,1.416545,-0.795966
1.777258,1.397545,-0.794943
1.78632,1.37796,-0.787489
1.779304,1.374744,-0.777989
1.789828,1.362175,-0.775504
1.795381,1.349313,-0.767173
1.798889,1.338498,-0.770389
1.802105,1.323882,-0.758989
1.80532,1.319205,-0.753142
1.805028,1.317451,-0.759866
1.807659,1.29962,-0.753581
1.814089,1.304005,-0.737796
1.818474,1.291728,-0.73005
1.817597,1.284127,-0.73195
1.820228,1.278574,-0.728004
1.82052,1.271558,-0.72245
1.819059,1.270681,-0.724642
1.819351,1.273312,-0.731073
1.819936,1.277697,-0.733704
1.820813,1.261912,-0.724788
1.821982,1.264835,-0.72698
1.823151,1.263666,-0.712803
1.826367,1.257527,-0.710903
1.828413,1.258404,-0.717188
1.827243,1.26045,-0.723034
1.834259,1.257235,-0.710903
1.832213,1.251096,-0.71558
1.837182,1.255189,-0.714411
1.827828,1.250219,-0.715726
1.828997,1.247881,-0.701257
1.831044,1.251973,-0.709149
1.837474,1.245542,-0.705057
1.836305,1.242619,-0.707249
1.834551,1.252265,-0.703595
1.839521,1.24525,-0.71865
1.827243,1.24905,-0.709003
1.832797,1.246127,-0.728588
1.831044,1.244081,-0.714265
1.83309,1.247296,-0.711049
1.832505,1.247881,-0.708419
1.828413,1.249635,-0.710026
1.82432,1.252265,-0.716019
1.824028,1.24905,-0.707542
1.82929,1.251681,-0.704911
1.823443,1.239696,-0.706665
1.823736,1.247588,-0.704619
1.836013,1.249635,-0.706372
1.826951,1.248173,-0.709003
1.82549,1.246127,-0.703595
1.826659,1.243788,-0.710172
1.82929,1.243496,-0.705349
1.831044,1.247588,-0.707249
1.82812,1.244081,-0.713096
1.830167,1.245835,-0.710319
1.834844,1.249635,-0.710757
1.832213,1.247881,-0.706519
1.82052,1.245542,-0.700965
1.828997,1.247881,-0.69848
1.835428,1.243204,-0.708272
