ch1,ch2,ch3
1.741888,1.440222,-0.805174
1.749781,1.442268,-0.809559
1.746273,1.441099,-0.809997
1.746273,1.449284,-0.813505
1.741888,1.435253,-0.805466
1.739842,1.445484,-0.801959
1.745981,1.446653,-0.805174
1.748612,1.443438,-0.807659
1.748904,1.444899,-0.809412
1.749488,1.44373,-0.80532
1.745396,1.438468,-0.80342
1.751827,1.439053,-0.79962
1.745396,1.444022,-0.806489
1.741011,1.433499,-0.803566
1.743642,1.440222,-0.806928
1.743642,1.445484,-0.804297
1.742473,1.441684,-0.806489
1.742181,1.436714,-0.809559
1.739842,1.444022,-0.807366
1.74715,1.439053,-0.817305
1.744227,1.446068,-0.812336
1.745688,1.437884,-0.809266
1.742473,1.432622,-0.811459
1.73955,1.446945,-0.806343
1.746858,1.439638,-0.801959
1.745104,1.444899,-0.802982
1.750365,1.440514,-0.812482
1.752996,1.438468,-0.812043
1.742473,1.441684,-0.803712
1.747442,1.43993,-0.797428
1.739842,1.450745,-0.806051
1.748027,1.444022,-0.799035
1.743642,1.446945,-0.806197
1.748319,1.443438,-0.798451
1.738381,1.446653,-0.807366
1.744811,1.445776,-0.816282
1.738673,1.440514,-0.805028
1.74335,1.449284,-0.803128
1.742765,1.446361,-0.80532
1.74715,1.446653,-0.806928
1.741304,1.444314,-0.808828
1.739842,1.440807,-0.801666
1.741011,1.444607,-0.809412
1.746273,1.441976,-0.804151
1.740427,1.444314,-0.806343
1.736042,1.445192,-0.806051
1.744811,1.444314,-0.80342
1.744519,1.441684,-0.815113
1.744811,1.453084,-0.804443
1.741011,1.447238,-0.807512
1.744227,1.438468,-0.815405
1.741888,1.446361,-0.801228
1.74715,1.441684,-0.808097
1.744811,1.442561,-0.806928
1.748612,1.445776,-0.80532
1.74335,1.443438,-0.794505
1.742765,1.443438,-0.806635
1.749196,1.451622,-0.796551
1.743642,1.445776,-0.809412
1.750658,1.451915,-0.794066
1.744519,1.443145,-0.80152
1.749488,1.448699,-0.801082
1.744519,1.444899,-0.803128
1.748027,1.442268,-0.794943
1.742181,1.442561,-0.811751
1.741596,1.44373,-0.806782
1.744811,1.444022,-0.805174
1.746858,1.448992,-0.80342
1.752119,1.447822,-0.799766
1.749781,1.446653,-0.813797
1.749488,1.449576,-0.810436
1.748027,1.449576,-0.803128
1.750365,1.454253,-0.808682
1.753873,1.450745,-0.810289
1.746858,1.452207,-0.800351
1.749781,1.448699,-0.804735
1.747735,1.454545,-0.807659
1.744227,1.44753,-0.814674
1.748612,1.447238,-0.813066
1.750658,1.456007,-0.798012
1.757381,1.441684,-0.807366
1.753581,1.448115,-0.809559
1.743642,1.449868,-0.806051
1.749196,1.450745,-0.800497
1.752412,1.448992,-0.796551
1.742181,1.445776,-0.808389
1.748027,1.450453,-0.799182
1.751827,1.444899,-0.81102
1.748027,1.453376,-0.792605
1.744227,1.456884,-0.793774
1.753289,1.44753,-0.797282
1.744811,1.448699,-0.808243
1.746565,1.449284,-0.813213
1.748612,1.444022,-0.810728
1.750365,1.450453,-0.813359
1.745396,1.447822,-0.805466
1.752704,1.456299,-0.804735
1.754165,1.44753,-0.800643
1.750365,1.449868,-0.800058
1.750073,1.446068,-0.796405
1.751535,1.439638,-0.801228
1.741011,1.440807,-0.802251
1.741596,1.445192,-0.801812
1.741304,1.441684,-0.803128
1.746273,1.44753,-0.805612
1.73955,1.445484,-0.797135
1.749488,1.441391,-0.800789
1.741011,1.446945,-0.804151
1.741596,1.442561,-0.787343
1.739842,1.451038,-0.793481
1.742473,1.450453,-0.804882
1.742181,1.441976,-0.78822
1.740134,1.441976,-0.802835
1.745688,1.444314,-0.804589
1.745396,1.442561,-0.80722
1.745104,1.446068,-0.807659
1.751535,1.444314,-0.804882
1.741888,1.444314,-0.799035
1.743642,1.446945,-0.80532
1.743642,1.446068,-0.80722
1.738381,1.43993,-0.798889
1.747442,1.448992,-0.793043
1.744519,1.443438,-0.798305
1.745688,1.450161,-0.805466
1.749488,1.447238,-0.799328
1.742181,1.448115,-0.808536
1.739258,1.444899,-0.810143
1.75095,1.441684,-0.803566
1.746565,1.43993,-0.806343
1.746858,1.444607,-0.807366
1.739258,1.443438,-0.788074
1.746273,1.444899,-0.798743
1.747442,1.444022,-0.800205
1.743058,1.442561,-0.792166
1.742181,1.444022,-0.792605
1.741304,1.448115,-0.802982
1.747735,1.444022,-0.799035
1.745396,1.448699,-0.792312
1.742765,1.451915,-0.802397
1.741888,1.446361,-0.803274
1.74335,1.442561,-0.804297
1.743935,1.442268,-0.79962
1.744811,1.444607,-0.801812
1.741304,1.441684,-0.796843
1.752119,1.439053,-0.804005
1.744811,1.444022,-0.798305
1.741596,1.442853,-0.796405
1.752119,1.43613,-0.801812
1.746858,1.44373,-0.796258
1.73955,1.442268,-0.801082
1.74335,1.444022,-0.796697
1.745396,1.441099,-0.796989
1.740427,1.442853,-0.804005
1.746273,1.446068,-0.798158
1.742765,1.442268,-0.806635
1.744227,1.447238,-0.787635
1.744811,1.445192,-0.80532
1.742473,1.443438,-0.795966
1.741888,1.443145,-0.795089
1.742473,1.445484,-0.798889
1.750365,1.444022,-0.795966
1.741888,1.444314,-0.797866
1.746273,1.437299,-0.799766
1.745104,1.445776,-0.79202
1.74335,1.445776,-0.788658
1.741596,1.446068,-0.798889
1.745396,1.433207,-0.804882
1.738965,1.449868,-0.79392
1.748904,1.447822,-0.791728
1.745688,1.454838,-0.795381
1.751242,1.441976,-0.801959
1.750073,1.451038,-0.794358
1.74715,1.446361,-0.797866
1.752704,1.444607,-0.803859
1.747442,1.444314,-0.790851
1.740427,1.446068,-0.794212
1.743935,1.443145,-0.790412
1.746858,1.439053,-0.79772
1.744811,1.440807,-0.798743
1.736627,1.440222,-0.800497
1.745981,1.444899,-0.800058
1.747442,1.44753,-0.811897
1.742765,1.440514,-0.803859
1.745396,1.445484,-0.811751
1.741596,1.45133,-0.800643
1.745981,1.441976,-0.805612
1.745688,1.448407,-0.800058
1.736627,1.445776,-0.798451
1.742181,1.440807,-0.80912
1.744811,1.444899,-0.799035
1.748612,1.441976,-0.788804
1.746858,1.450161,-0.802835
1.746858,1.448407,-0.792458
1.745981,1.448992,-0.795528
