ch1,ch2,ch3
1.9348,1.0979,-0.6206
1.9395,1.0976,-0.6236
1.9401,1.1017,-0.6201
1.9421,1.0915,-0.6269
1.9366,1.0947,-0.6206
1.9374,1.1003,-0.6175
1.9383,1.0979,-0.6216
1.9383,1.095,-0.6152
1.9383,1.0985,-0.6182
1.9395,1.0962,-0.6099
1.9374,1.1003,-0.6071
1.9389,1.0962,-0.6177
1.9357,1.0968,-0.6048
1.9331,1.0965,-0.6175
1.9401,1.1023,-0.6093
1.936,1.1117,-0.6247
1.9407,1.1052,-0.6197
1.9392,1.0997,-0.635
1.9421,1.1155,-0.6269
1.9363,1.1055,-0.6209
1.9342,1.0994,-0.6163
1.9372,1.1008,-0.6336
1.9328,1.1079,-0.6282
1.9328,1.1079,-0.6187
1.9342,1.1061,-0.6177
1.9313,1.1041,-0.6209
1.9342,1.1029,-0.6175
1.9319,1.1076,-0.6267
1.9316,1.109,-0.6307
1.9322,1.1049,-0.6247
1.9331,1.1158,-0.6329
1.9421,1.1041,-0.6296
1.938,1.1052,-0.6301
1.9369,1.1055,-0.6263
1.9386,1.1,-0.6307
1.9345,1.1117,-0.6258
1.9377,1.1049,-0.635
1.9357,1.1111,-0.632
1.9407,1.1067,-0.6333
1.938,1.1082,-0.6348
1.938,1.1055,-0.6339
1.9369,1.0965,-0.6273
1.943,1.1052,-0.6364
1.9433,1.1111,-0.6321
1.9372,1.1108,-0.627
1.9392,1.1044,-0.6397
1.9412,1.1093,-0.6254
1.9418,1.1108,-0.6226
1.9427,1.1032,-0.6321
1.9474,1.1099,-0.6245
1.9404,1.1099,-0.6254
1.9412,1.1073,-0.6263
1.943,1.1082,-0.622
1.9421,1.1105,-0.6276
1.9401,1.1052,-0.6318
1.9386,1.1006,-0.6213
1.945,1.1041,-0.6295
1.9433,1.102,-0.625
1.9427,1.1035,-0.6321
1.9398,1.0962,-0.6179
1.9456,1.1011,-0.6311
1.9386,1.1032,-0.6266
1.9363,1.1003,-0.6276
1.9392,1.1044,-0.6282
1.9386,1.1032,-0.6255
1.9354,1.097,-0.6181
1.9439,1.1029,-0.6162
1.9415,1.1111,-0.631
1.941,1.0965,-0.6257
1.9415,1.0994,-0.6231
1.9459,1.1029,-0.6241
1.9357,1.0941,-0.619
1.938,1.0991,-0.6272
1.9383,1.0935,-0.6247
1.941,1.0988,-0.6261
1.9392,1.0994,-0.6204
1.9415,1.0976,-0.6327
1.9342,1.0932,-0.6204
1.9468,1.0973,-0.619
1.9383,1.0915,-0.625
1.948,1.1017,-0.6175
1.9471,1.0918,-0.6232
1.9407,1.09,-0.6283
1.9448,1.0889,-0.6232
1.9427,1.1008,-0.621
1.9453,1.0968,-0.6234
1.9459,1.0994,-0.6266
1.9395,1.0973,-0.6215
1.941,1.0903,-0.6242
1.9462,1.0947,-0.6171
1.9483,1.0947,-0.6212
1.9468,1.0965,-0.6241
1.9512,1.0944,-0.6276
1.9503,1.0988,-0.6178
1.9524,1.0932,-0.6241
1.9544,1.0944,-0.6111
1.945,1.0927,-0.6228
1.9526,1.0883,-0.6149
1.9421,1.0976,-0.6223
1.9436,1.0965,-0.6153
1.9421,1.0997,-0.6276
1.9398,1.0906,-0.6236
1.9389,1.0956,-0.6206
1.9462,1.0938,-0.6087
1.9459,1.0894,-0.6158
1.95,1.088,-0.6179
1.948,1.0962,-0.6144
1.9445,1.0927,-0.6184
1.945,1.09,-0.6159
1.9521,1.0912,-0.621
1.9486,1.0915,-0.6134
1.9433,1.0833,-0.6165
1.9392,1.0786,-0.6117
1.9415,1.0839,-0.607
1.9471,1.0889,-0.6201
1.9497,1.0968,-0.6163
1.9532,1.0921,-0.6125
1.9433,1.0944,-0.6065
1.9407,1.095,-0.6102
1.945,1.0892,-0.6251
1.945,1.0921,-0.612
1.943,1.0824,-0.6022
1.9448,1.0924,-0.6146
1.9421,1.0874,-0.6162
1.9442,1.0871,-0.6084
1.9483,1.0839,-0.6093
1.9515,1.0912,-0.606
1.9488,1.0862,-0.6067
1.9445,1.0839,-0.6125
1.9509,1.0889,-0.6121
1.95,1.0883,-0.6105
