ch1,ch2,ch3
1.897691,1.138848,-0.689418
1.905583,1.132125,-0.660772
1.888629,1.156095,-0.639579
1.882491,1.193218,-0.645133
1.858229,1.234434,-0.644695
1.841567,1.271558,-0.660918
1.831044,1.30722,-0.67261
1.816428,1.346682,-0.70228
1.796843,1.396083,-0.733557
1.789243,1.43993,-0.764543
1.782812,1.472376,-0.80152
1.78252,1.4943,-0.843175
1.789535,1.519146,-0.856329
1.781935,1.529377,-0.892868
1.792166,1.526747,-0.905145
1.80152,1.529962,-0.918591
1.804443,1.513008,-0.927799
1.819936,1.492838,-0.933645
1.831336,1.47413,-0.931745
1.843905,1.463022,-0.923707
1.852675,1.437007,-0.927799
1.854721,1.420053,-0.914937
1.860859,1.40076,-0.921807
1.869336,1.378544,-0.898714
1.869629,1.365683,-0.89506
1.87986,1.342298,-0.892429
1.877521,1.333528,-0.882637
1.880152,1.319497,-0.892721
1.885414,1.302543,-0.875329
1.890091,1.298743,-0.864952
1.893598,1.285297,-0.85399
1.88746,1.272143,-0.849313
1.888337,1.262496,-0.848436
1.885414,1.251681,-0.830605
1.886291,1.23765,-0.830605
1.894475,1.197311,-0.826951
1.887167,1.229465,-0.829582
1.890091,1.213973,-0.824905
1.885121,1.211634,-0.808974
1.888044,1.208126,-0.817013
1.882491,1.200818,-0.813213
1.87986,1.200526,-0.809266
1.885706,1.206957,-0.804589
1.877521,1.200234,-0.80532
1.876352,1.193803,-0.793043
1.882783,1.185911,-0.800643
1.875183,1.185618,-0.814528
1.884829,1.18708,-0.804151
1.883075,1.189711,-0.801082
1.870506,1.182987,-0.798012
1.87606,1.190295,-0.801666
1.872844,1.185034,-0.799035
1.869629,1.185326,-0.794505
1.867583,1.181526,-0.790997
1.871967,1.192634,-0.790412
1.869336,1.189711,-0.794358
1.863198,1.188249,-0.801374
1.860859,1.185911,-0.795381
1.860275,1.182695,-0.80152
1.864367,1.184449,-0.798451
1.857936,1.184741,-0.792897
1.861736,1.185911,-0.793628
1.855598,1.184741,-0.810143
1.860275,1.182695,-0.791874
1.858521,1.188249,-0.801666
1.860859,1.180649,-0.803712
1.854429,1.184157,-0.812336
1.85969,1.188249,-0.797428
1.857059,1.185911,-0.810728
1.857059,1.187957,-0.812628
1.851505,1.191465,-0.807659
1.856475,1.191172,-0.810874
1.859398,1.190003,-0.809705
1.851505,1.193803,-0.815113
1.846828,1.194095,-0.814528
1.849752,1.192926,-0.825782
1.858813,1.191172,-0.819936
1.860275,1.203742,-0.821397
1.857352,1.197895,-0.815405
1.850044,1.192926,-0.820228
1.850921,1.19468,-0.823297
1.852382,1.200526,-0.816428
1.850628,1.204326,-0.812628
1.85209,1.202572,-0.809705
1.855305,1.200818,-0.825782
1.849752,1.208419,-0.819936
1.850044,1.200234,-0.785881
1.853552,1.210465,-0.824759
1.849459,1.20608,-0.855452
1.850336,1.21368,-0.824467
1.858229,1.220111,-0.82432
1.847413,1.216019,-0.820374
1.859982,1.210465,-0.833674
1.861736,1.209003,-0.833821
1.857936,1.215142,-0.832944
1.861736,1.21748,-0.837767
1.859105,1.215434,-0.830605
1.860567,1.212219,-0.836305
1.860275,1.220988,-0.833674
1.855305,1.223619,-0.83002
1.853552,1.220988,-0.843175
1.859398,1.224203,-0.835428
1.84829,1.222157,-0.837182
1.858229,1.220696,-0.83499
1.862613,1.225665,-0.831628
1.866121,1.22245,-0.832797
1.859982,1.225373,-0.829144
1.86349,1.231511,-0.835282
1.858521,1.227127,-0.835428
1.857644,1.22888,-0.833528
1.85209,1.22508,-0.836451
1.854136,1.224203,-0.822859
1.866121,1.229173,-0.831482
1.862906,1.228004,-0.832944
1.861152,1.227419,-0.830313
1.856475,1.232096,-0.833967
1.860275,1.228588,-0.828267
1.857059,1.229757,-0.822713
1.855598,1.229173,-0.836598
1.863198,1.232681,-0.84829
1.868459,1.240573,-0.827682
1.864952,1.231511,-0.836598
1.864367,1.22888,-0.836451
1.866706,1.231219,-0.837621
1.871967,1.236188,-0.834259
1.864367,1.232681,-0.826513
1.866706,1.235896,-0.827828
1.868167,1.235896,-0.83002
1.866413,1.23005,-0.839813
1.870213,1.237357,-0.830897
1.869044,1.237942,-0.834113
1.870213,1.240281,-0.832651
1.869044,1.237942,-0.828413
1.877521,1.229757,-0.834844
1.858521,1.23385,-0.833236
1.871383,1.232388,-0.836451
1.870798,1.231511,-0.837328
1.869629,1.228004,-0.829144
1.874598,1.232973,-0.831628
1.873721,1.229757,-0.830897
1.863783,1.231219,-0.842882
1.869629,1.235311,-0.834405
1.875767,1.235896,-0.831044
1.870213,1.269804,-0.839813
1.869336,1.271558,-0.832213
1.871675,1.231804,-0.842005
1.878398,1.237065,-0.829144
1.873721,1.23385,-0.833236
1.880737,1.232681,-0.82432
1.869921,1.236481,-0.827097
1.87869,1.240573,-0.820813
1.882198,1.240281,-0.837767
1.881906,1.232096,-0.835574
1.880737,1.235896,-0.817597
1.880737,1.234727,-0.81862
1.879275,1.234434,-0.824759
1.881029,1.234434,-0.833674
1.87986,1.230927,-0.837621
1.879567,1.22888,-0.832651
1.876937,1.230634,-0.82549
1.883075,1.22508,-0.827536
1.882783,1.225373,-0.823443
1.876937,1.222742,-0.83689
1.877521,1.227711,-0.82359
1.881906,1.227711,-0.82929
1.883952,1.232388,-0.813213
1.877813,1.23005,-0.819643
1.882491,1.230342,-0.811166
1.889506,1.231219,-0.816574
1.890675,1.225665,-0.823443
1.89126,1.221865,-0.818328
1.886291,1.223619,-0.827682
1.890968,1.222157,-0.816282
1.893598,1.22508,-0.818036
1.890091,1.225665,-0.813505
1.886875,1.221573,-0.817159
1.886583,1.220696,-0.81979
1.882491,1.224496,-0.801812
1.897106,1.216603,-0.805028
1.886291,1.223911,-0.80532
1.888629,1.219819,-0.812482
1.888044,1.214265,-0.823005
1.890383,1.213973,-0.813066
1.88746,1.219234,-0.800058
1.890968,1.215726,-0.801959
1.887167,1.216019,-0.808974
1.893891,1.221573,-0.802543
1.890675,1.222157,-0.794358
1.888337,1.220111,-0.792897
1.890091,1.217773,-0.800351
1.891845,1.222157,-0.799766
1.893014,1.216896,-0.796551
1.885706,1.213388,-0.791435
1.896229,1.210757,-0.796697
1.892721,1.209588,-0.790851
1.888044,1.213096,-0.793774
1.898275,1.209003,-0.787197
1.89886,1.21748,-0.786027
1.893014,1.213388,-0.785297
1.892137,1.204034,-0.797135
1.892721,1.204034,-0.792166
1.886583,1.202572,-0.798012
1.897398,1.203742,-0.79202
1.889214,1.199649,-0.80152
1.890968,1.205203,-0.788804
1.897983,1.20988,-0.780474
1.892721,1.209003,-0.817013
1.897106,1.201111,-0.778427
1.900614,1.20228,-0.796258
1.902368,1.205788,-0.78632
1.893306,1.197603,-0.788658
1.892429,1.201988,-0.795528
1.895352,1.203157,-0.789974
1.897398,1.200526,-0.784712
1.895645,1.198188,-0.778427
1.893891,1.206372,-0.782374
1.892429,1.202572,-0.782227
1.904414,1.193511,-0.77112
1.892137,1.197018,-0.779304
1.890968,1.194095,-0.788658
1.894183,1.188541,-0.788074
1.897691,1.199357,-0.78442
1.897398,1.189126,-0.781935
1.895937,1.191757,-0.784566
1.904414,1.180649,-0.774773
1.895937,1.183864,-0.77185
1.898275,1.181234,-0.773897
1.899445,1.185911,-0.78252
1.897398,1.188541,-0.777404
