ch1,ch2,ch3
1.8793,1.3572,-0.6251
1.886,1.3575,-0.6324
1.8758,1.3601,-0.6158
1.8825,1.3622,-0.6229
1.8822,1.3625,-0.6264
1.8878,1.3613,-0.632
1.8834,1.3557,-0.6168
1.8869,1.354,-0.6201
1.8837,1.3531,-0.6257
1.8904,1.3581,-0.6273
1.884,1.3555,-0.6308
1.8866,1.3581,-0.6348
1.8895,1.3569,-0.6179
1.8878,1.3622,-0.6314
1.8872,1.3578,-0.6308
1.8913,1.3555,-0.6136
1.8834,1.356,-0.6187
1.8828,1.3566,-0.6296
1.8845,1.3619,-0.619
1.8822,1.3563,-0.621
1.888,1.3642,-0.6329
1.884,1.3587,-0.6217
1.8936,1.3569,-0.6033
1.8901,1.3622,-0.6207
1.8886,1.3587,-0.6282
1.8831,1.3604,-0.6289
1.8892,1.3654,-0.6235
1.8825,1.3575,-0.6305
1.8834,1.3613,-0.6406
1.8878,1.3549,-0.6253
1.8889,1.3595,-0.621
1.8831,1.3552,-0.6219
1.8831,1.3584,-0.6248
1.8883,1.356,-0.6228
1.8828,1.3566,-0.622
1.8845,1.3651,-0.6074
1.884,1.3604,-0.614
1.884,1.3622,-0.6166
1.8807,1.3645,-0.6295
1.8804,1.3593,-0.6222
1.8781,1.3578,-0.6188
1.8872,1.3566,-0.6273
1.8793,1.3543,-0.6266
1.8869,1.3613,-0.6215
1.8845,1.3598,-0.6215
1.884,1.3531,-0.6253
1.8766,1.3499,-0.6273
1.8828,1.356,-0.6286
1.8816,1.356,-0.6304
1.8807,1.3528,-0.6293
1.874,1.3519,-0.6317
1.872,1.3546,-0.6264
1.8717,1.359,-0.6146
1.8685,1.3636,-0.6244
1.8764,1.3645,-0.6381
1.8693,1.3587,-0.6238
1.8831,1.3622,-0.6222
1.8731,1.3619,-0.6239
1.8726,1.3642,-0.6267
1.8831,1.3651,-0.6222
1.869,1.3645,-0.6293
1.8758,1.3607,-0.6172
1.8749,1.3569,-0.6177
1.8799,1.3537,-0.6272
1.8772,1.3622,-0.6219
1.8728,1.347,-0.6213
1.8802,1.356,-0.6179
1.8734,1.3522,-0.6286
1.8758,1.3546,-0.6378
1.8749,1.3593,-0.6217
1.8761,1.3557,-0.6302
1.8816,1.3519,-0.6231
1.8863,1.3619,-0.6317
1.8787,1.3633,-0.6288
1.8769,1.3587,-0.6279
1.8775,1.354,-0.6209
1.8766,1.3508,-0.6217
1.8743,1.356,-0.6226
1.8717,1.359,-0.6264
1.8802,1.3537,-0.6349
1.8737,1.3622,-0.6288
1.8799,1.3645,-0.6291
1.8743,1.3645,-0.6307
1.8758,1.3636,-0.6334
1.8772,1.3625,-0.6367
1.8746,1.3628,-0.6362
1.869,1.3543,-0.6469
1.8728,1.3575,-0.6384
1.869,1.3569,-0.6318
1.862,1.3534,-0.6337
1.8714,1.3552,-0.6258
1.8726,1.3631,-0.6311
1.8772,1.3543,-0.6289
1.8772,1.3595,-0.6331
1.8705,1.3636,-0.6317
1.8708,1.3666,-0.6369
1.8711,1.3645,-0.6416
1.8717,1.3631,-0.6413
1.8755,1.354,-0.6345
1.8758,1.3625,-0.646
1.8796,1.3552,-0.6388
1.8679,1.3517,-0.6365
1.8655,1.3563,-0.6342
1.8673,1.3566,-0.6342
1.8667,1.3584,-0.6346
1.869,1.3566,-0.6343
1.8679,1.354,-0.6251
1.8647,1.3578,-0.6318
1.869,1.3549,-0.6353
1.8658,1.3534,-0.6361
1.8702,1.3587,-0.6318
1.8655,1.3584,-0.6254
1.8755,1.3555,-0.627
1.8685,1.3581,-0.6324
1.8711,1.3604,-0.633
1.8708,1.3569,-0.6356
1.8664,1.3549,-0.6321
1.8629,1.3633,-0.6345
1.8734,1.3528,-0.6292
1.8658,1.3581,-0.6371
1.8693,1.3616,-0.6368
1.865,1.3616,-0.6345
1.8632,1.3566,-0.6355
1.8632,1.3502,-0.6327
1.8594,1.3642,-0.6317
1.86,1.3566,-0.6289
1.8655,1.3607,-0.6286
1.862,1.3511,-0.6327
1.8644,1.3505,-0.6383
1.8702,1.3563,-0.6302
1.8655,1.3595,-0.6372
1.8594,1.3595,-0.6365
1.8629,1.3657,-0.639
1.8658,1.3625,-0.6358
1.8614,1.3505,-0.6375
1.8568,1.3631,-0.6448
1.8582,1.3593,-0.6406
1.8623,1.3616,-0.6355
1.8623,1.3657,-0.6311
1.862,1.3598,-0.6336
1.8612,1.3669,-0.6348
1.8533,1.359,-0.6307
1.8574,1.3648,-0.6514
1.8527,1.3671,-0.6416
1.8582,1.3642,-0.6469
1.8638,1.3622,-0.639
1.8603,1.3674,-0.6453
1.8538,1.3625,-0.6426
1.8533,1.3683,-0.6359
1.8538,1.3724,-0.6371
1.855,1.3704,-0.6457
1.8597,1.3671,-0.645
1.8609,1.3642,-0.6416
1.8647,1.3704,-0.6416
1.8632,1.3581,-0.6394
1.8568,1.3677,-0.6448
1.8617,1.3709,-0.6497
1.8533,1.3674,-0.6529
1.8614,1.3707,-0.6502
1.855,1.3698,-0.6679
1.8579,1.3724,-0.6453
1.8562,1.3686,-0.64
1.8544,1.3715,-0.6507
1.8574,1.3768,-0.64
1.8498,1.3669,-0.6505
1.8591,1.3771,-0.6447
1.8544,1.3718,-0.6422
1.8582,1.3707,-0.6464
1.86,1.375,-0.639
1.8492,1.3826,-0.654
1.8562,1.3791,-0.6529
1.8568,1.3727,-0.6445
1.8521,1.3712,-0.653
1.8533,1.3721,-0.6527
1.8547,1.3806,-0.6445
1.8614,1.3756,-0.6526
1.8536,1.3823,-0.6619
