ch1,ch2,ch3
1.739258,1.332067,-0.77945
1.742181,1.336159,-0.771412
1.738381,1.340251,-0.780912
1.737504,1.345221,-0.782374
1.736334,1.351067,-0.777989
1.746565,1.353405,-0.796405
1.737504,1.355452,-0.79202
1.740427,1.36159,-0.787489
1.738965,1.362175,-0.789681
1.729319,1.363929,-0.799766
1.739842,1.368898,-0.818036
1.733411,1.36919,-0.80722
1.738673,1.368021,-0.808097
1.737504,1.382637,-0.817597
1.73955,1.367436,-0.813066
1.741011,1.383806,-0.822859
1.738673,1.384975,-0.81789
1.741888,1.394329,-0.814674
1.73575,1.392868,-0.828413
1.73195,1.39316,-0.83119
1.741011,1.39696,-0.835136
1.739842,1.399883,-0.833236
1.737504,1.400468,-0.829582
1.741888,1.40076,-0.841713
1.738088,1.40456,-0.841567
1.737796,1.410406,-0.846244
1.741011,1.413914,-0.85209
1.745688,1.415668,-0.854575
1.737211,1.418883,-0.855598
1.741011,1.418883,-0.851505
1.748612,1.425899,-0.852967
1.741596,1.426484,-0.853844
1.748612,1.432037,-0.847705
1.749781,1.431745,-0.85589
1.756504,1.433791,-0.854429
1.75095,1.433791,-0.851798
1.753581,1.440514,-0.84639
1.753873,1.441391,-0.861736
1.752412,1.43993,-0.858229
1.755335,1.439053,-0.856475
1.759135,1.449576,-0.861152
1.764981,1.448407,-0.863344
1.760596,1.453668,-0.866413
1.766735,1.458053,-0.870652
1.760889,1.446945,-0.870652
1.762935,1.454838,-0.875621
1.763519,1.45893,-0.87489
1.768781,1.456884,-0.867144
1.769658,1.460099,-0.874598
1.774043,1.469453,-0.865975
1.775797,1.459515,-0.874452
1.776673,1.459222,-0.874598
1.77872,1.468284,-0.88366
1.776089,1.459222,-0.881467
1.776966,1.469746,-0.879567
1.776089,1.469161,-0.872406
1.788658,1.470915,-0.884098
1.77872,1.469453,-0.870213
1.785735,1.470038,-0.870798
1.783981,1.472084,-0.87869
1.789535,1.471207,-0.870506
1.831044,1.470915,-0.875767
1.792751,1.461853,-0.877814
1.793628,1.470915,-0.880444
1.794505,1.471207,-0.884098
1.800935,1.472084,-0.878544
1.800351,1.467992,-0.883806
1.805028,1.463315,-0.86846
1.806489,1.470623,-0.877667
1.817305,1.471207,-0.877814
1.811751,1.475884,-0.875914
1.813797,1.4715,-0.875767
1.815259,1.469161,-0.87416
1.818182,1.469161,-0.861736
1.82929,1.4715,-0.870213
1.821397,1.469453,-0.861736
1.826367,1.472084,-0.863052
1.839813,1.465653,-0.85779
1.833674,1.467407,-0.852529
1.838936,1.462146,-0.851359
1.836013,1.466238,-0.854429
1.841859,1.463899,-0.861298
1.838351,1.461269,-0.858229
1.839228,1.460684,-0.854282
1.845951,1.458638,-0.847998
1.848582,1.456299,-0.853552
1.843905,1.453084,-0.842298
1.856475,1.450453,-0.847413
1.860275,1.444314,-0.835867
1.863783,1.448992,-0.845221
1.864952,1.441099,-0.837328
1.873137,1.445192,-0.840105
1.865536,1.441391,-0.838498
1.867583,1.43993,-0.833967
1.875183,1.434376,-0.823297
1.872552,1.434376,-0.829144
1.881614,1.440222,-0.822859
1.881321,1.430868,-0.814966
1.883367,1.430868,-0.811605
1.892137,1.425314,-0.813943
1.890383,1.419176,-0.801082
1.900029,1.421806,-0.80342
1.899152,1.417714,-0.806928
1.897983,1.408945,-0.790704
1.902368,1.404268,-0.805612
1.900322,1.409237,-0.792751
1.907045,1.398714,-0.789243
1.913768,1.397252,-0.79012
1.904414,1.392575,-0.786027
1.912014,1.388775,-0.77872
1.916691,1.390821,-0.77565
1.913476,1.391114,-0.778135
1.923707,1.384975,-0.778281
1.912599,1.387606,-0.776235
1.915814,1.38059,-0.763227
1.916106,1.375037,-0.767027
1.926922,1.367436,-0.76615
1.916983,1.372698,-0.754312
1.918737,1.367729,-0.743788
1.928968,1.35779,-0.753873
1.924291,1.363344,-0.752265
1.928383,1.360421,-0.737942
1.931599,1.341421,-0.747442
1.936568,1.350482,-0.744081
1.936568,1.34639,-0.732388
1.931599,1.339667,-0.720842
1.933353,1.339374,-0.723911
1.936861,1.325051,-0.718942
1.934522,1.325636,-0.721134
1.939199,1.327097,-0.724788
1.945338,1.321251,-0.713826
