ch1,ch2,ch3
1.783104,1.288804,-0.793335
1.779889,1.287343,-0.796405
1.78632,1.294943,-0.794505
1.779012,1.291143,-0.791874
1.781935,1.297866,-0.802251
1.776089,1.306051,-0.797428
1.780181,1.30722,-0.791143
1.779012,1.303712,-0.807951
1.779889,1.305466,-0.796551
1.783689,1.318036,-0.799035
1.783981,1.311312,-0.801959
1.780181,1.317743,-0.813797
1.784274,1.315405,-0.819351
1.78252,1.321836,-0.818766
1.779012,1.328851,-0.806489
1.785151,1.330313,-0.809559
1.780766,1.32359,-0.816136
1.781643,1.334405,-0.817159
1.78632,1.339667,-0.82169
1.783981,1.341128,-0.831482
1.78632,1.342005,-0.829874
1.785443,1.338498,-0.843321
1.783689,1.343467,-0.834697
1.779889,1.344928,-0.842736
1.774043,1.349021,-0.835136
1.777843,1.357206,-0.844344
1.785443,1.351652,-0.834259
1.783397,1.349313,-0.846975
1.785443,1.355159,-0.838205
1.783104,1.355159,-0.843467
1.788366,1.359836,-0.840105
1.794797,1.364806,-0.84069
1.791581,1.364221,-0.844344
1.795966,1.362759,-0.845367
1.791289,1.364221,-0.845805
1.797135,1.36919,-0.85019
1.802105,1.369775,-0.846098
1.798597,1.372406,-0.848875
1.796258,1.364513,-0.849021
1.800351,1.371821,-0.851652
1.796843,1.375329,-0.851213
1.795674,1.376498,-0.85019
1.797428,1.380006,-0.853259
1.800935,1.380006,-0.844636
1.804735,1.377083,-0.846244
1.803859,1.377375,-0.86919
1.806197,1.420637,-0.859252
1.810582,1.379129,-0.858813
1.812043,1.379421,-0.858521
1.810582,1.373867,-0.854282
1.810874,1.382344,-0.858229
1.811459,1.37796,-0.86539
1.812043,1.384098,-0.860713
1.82052,1.381467,-0.862906
1.822859,1.382929,-0.869921
1.824905,1.382344,-0.863929
1.820813,1.381175,-0.864806
1.826367,1.38176,-0.855598
1.831628,1.377667,-0.862613
1.831044,1.384975,-0.856475
1.830167,1.379421,-0.857936
1.83689,1.37679,-0.858959
1.836013,1.381467,-0.870067
1.834551,1.386437,-0.862321
1.839813,1.392575,-0.864659
1.843028,1.382637,-0.859252
1.839813,1.386144,-0.872113
1.840398,1.382929,-0.859544
1.846828,1.389652,-0.852382
1.850336,1.390821,-0.855013
1.846828,1.382344,-0.851798
1.851213,1.385267,-0.862175
1.856475,1.387021,-0.852675
1.854429,1.378837,-0.854721
1.853844,1.384098,-0.854429
1.860567,1.379129,-0.849459
1.864952,1.375037,-0.848875
1.863783,1.376206,-0.840398
1.872552,1.380298,-0.842298
1.870506,1.368021,-0.843613
1.870213,1.37036,-0.842151
1.879275,1.364513,-0.847852
1.87489,1.373867,-0.834844
1.875767,1.367729,-0.838644
1.881321,1.369775,-0.84259
1.881029,1.362175,-0.837328
1.884829,1.367729,-0.828559
1.891845,1.353698,-0.832797
1.894768,1.361006,-0.828851
1.886875,1.356036,-0.832067
1.88746,1.353405,-0.802982
1.894183,1.349313,-0.807805
1.900906,1.348728,-0.815989
1.901783,1.343174,-0.822567
1.896521,1.342882,-0.808974
1.905875,1.334697,-0.798451
1.906168,1.330313,-0.804882
1.900906,1.335574,-0.803128
1.910845,1.333236,-0.803274
1.908799,1.329436,-0.792458
1.911429,1.330605,-0.806782
1.915814,1.329144,-0.798597
1.908799,1.330605,-0.794066
1.923414,1.315989,-0.786612
1.915229,1.316574,-0.787781
1.926337,1.322713,-0.787928
1.923999,1.311312,-0.787928
1.919906,1.306051,-0.791728
1.925753,1.304005,-0.780181
1.922537,1.302543,-0.778427
1.933353,1.305174,-0.767612
1.923414,1.296989,-0.772581
1.928968,1.298451,-0.764396
1.932768,1.286758,-0.774773
1.928676,1.287928,-0.768781
1.928091,1.286174,-0.753581
1.93043,1.279743,-0.749342
1.941245,1.281789,-0.752996
1.939199,1.279743,-0.743496
1.939199,1.277989,-0.74525
1.937737,1.265127,-0.747004
1.942122,1.270681,-0.743935
1.950891,1.266004,-0.743935
1.939784,1.265127,-0.745688
1.942999,1.258989,-0.735604
1.949722,1.258112,-0.734727
1.948553,1.252265,-0.719526
1.940076,1.249635,-0.71938
1.940661,1.242327,-0.72815
1.951184,1.242911,-0.718065
1.952353,1.249927,-0.722888
1.947968,1.233265,-0.727711
1.948261,1.232973,-0.708565
1.954399,1.237942,-0.71178
1.954984,1.226834,-0.709296
1.947091,1.226834,-0.708857
1.947968,1.226542,-0.713388
1.944753,1.22625,-0.709588
1.953815,1.219819,-0.704619
1.959076,1.211634,-0.696726
1.95323,1.208711,-0.690149
1.952061,1.213973,-0.690295
1.94943,1.207249,-0.688395
1.955569,1.205495,-0.693365
1.94563,1.20228,-0.695703
1.950015,1.197018,-0.678895
1.952061,1.193803,-0.69088
1.957322,1.19088,-0.676118
1.946799,1.190295,-0.680503
1.950599,1.182111,-0.671003
1.95703,1.179187,-0.68518
1.954399,1.173633,-0.669395
1.952938,1.179187,-0.665303
1.954984,1.167495,-0.661502
1.949138,1.178603,-0.654195
1.945922,1.165449,-0.659895
1.946799,1.171003,-0.660041
1.946507,1.162233,-0.659749
1.94563,1.164864,-0.659164
1.94943,1.165449,-0.656241
1.947968,1.160772,-0.65931
1.940076,1.155802,-0.65171
1.940953,1.145571,-0.654195
1.931599,1.156095,-0.647033
1.92926,1.151418,-0.655364
1.935691,1.154925,-0.640456
1.93423,1.148202,-0.641625
1.933353,1.147618,-0.642648
1.93423,1.142064,-0.648056
1.934522,1.142941,-0.642648
1.93043,1.145571,-0.652587
1.927507,1.139433,-0.64031
1.927507,1.135048,-0.637094
1.921076,1.138848,-0.624817
1.925168,1.139141,-0.638702
1.920199,1.134171,-0.628179
1.916691,1.142356,-0.633002
1.912891,1.134464,-0.639579
1.911429,1.129494,-0.642794
1.914645,1.133879,-0.639141
1.907045,1.123648,-0.637387
1.909968,1.135633,-0.63841
1.87109,1.137971,-0.638994
1.897983,1.128033,-0.641333
1.901199,1.13651,-0.631979
1.893014,1.140018,-0.632856
1.893598,1.133587,-0.63841
1.897983,1.137387,-0.637241
1.894768,1.129787,-0.639579
1.893306,1.133879,-0.644987
1.890968,1.126571,-0.643233
1.888921,1.12891,-0.641187
1.882491,1.135633,-0.643818
1.877229,1.137971,-0.627448
1.884244,1.141187,-0.645279
1.868752,1.138264,-0.635194
1.874306,1.141771,-0.645279
1.875475,1.133879,-0.64411
1.869921,1.137387,-0.643818
1.861736,1.144402,-0.645279
1.859982,1.133879,-0.646741
1.866413,1.146741,-0.652441
1.857644,1.142064,-0.640164
1.856767,1.138264,-0.647471
1.854429,1.142356,-0.653902
1.84829,1.150541,-0.65551
1.84829,1.142648,-0.662087
1.847121,1.145864,-0.662233
1.843905,1.150541,-0.657264
1.852382,1.149956,-0.666472
1.837474,1.149956,-0.670418
1.841859,1.151418,-0.657264
1.84449,1.158433,-0.676118
1.839521,1.15931,-0.665887
1.838644,1.161064,-0.672026
1.82812,1.15551,-0.683718
1.826659,1.156095,-0.673487
1.831044,1.161941,-0.680795
1.826367,1.169833,-0.690734
1.832797,1.176264,-0.690734
1.815551,1.167495,-0.681818
