ch1,ch2,ch3
1.76995,1.441976,-0.88746
1.77112,1.444022,-0.882052
1.767319,1.443438,-0.879714
1.766735,1.440514,-0.879275
1.763227,1.447822,-0.870944
1.767319,1.451622,-0.884829
1.763227,1.450161,-0.873867
1.753873,1.441391,-0.874744
1.760304,1.451622,-0.888483
1.760596,1.441391,-0.897252
1.758258,1.454253,-0.879275
1.761473,1.44373,-0.876352
1.765273,1.449868,-0.879567
1.757673,1.439345,-0.875329
1.76235,1.448992,-0.881467
1.758842,1.446945,-0.873721
1.758842,1.448115,-0.875914
1.755627,1.472669,-0.890091
1.743642,1.460976,-0.884244
1.736627,1.517393,-0.870798
1.742473,1.533177,-0.843321
1.751242,1.524116,-0.819059
1.791874,1.511546,-0.788074
1.76235,1.503069,-0.776673
1.770243,1.503946,-0.772873
1.771704,1.500146,-0.754896
1.764981,1.502192,-0.766881
1.771996,1.504238,-0.774773
1.764396,1.494592,-0.767612
1.771412,1.4867,-0.744081
1.780181,1.47793,-0.744081
1.783689,1.474715,-0.733704
1.774627,1.474423,-0.732534
1.78252,1.469453,-0.728734
1.787197,1.472084,-0.731365
1.787781,1.470038,-0.732534
1.777843,1.463899,-0.729757
1.784566,1.459807,-0.726542
1.785443,1.460976,-0.726542
1.792458,1.460099,-0.724496
1.790704,1.463022,-0.724203
1.786612,1.457469,-0.71938
1.790997,1.459222,-0.720403
1.786612,1.455422,-0.731219
1.788951,1.460392,-0.722157
1.796258,1.457761,-0.710611
1.792751,1.458053,-0.717919
1.787781,1.454545,-0.71748
1.789828,1.456884,-0.727857
1.79012,1.455715,-0.723473
1.788951,1.446361,-0.718503
1.788658,1.449284,-0.724642
1.794797,1.456299,-0.711342
1.796258,1.454545,-0.722888
1.789243,1.448992,-0.725957
1.794212,1.452792,-0.722888
1.792751,1.453668,-0.71178
1.790412,1.450161,-0.714703
1.788366,1.452499,-0.719819
1.792458,1.45133,-0.720403
1.788074,1.456007,-0.67948
1.791874,1.457176,-0.71748
1.788074,1.451915,-0.718796
1.781643,1.458638,-0.722157
1.792166,1.453668,-0.727127
1.789828,1.463315,-0.720696
1.790412,1.454253,-0.734873
1.788951,1.452792,-0.712072
1.782812,1.453961,-0.718211
1.789535,1.463315,-0.713826
1.795674,1.45133,-0.718503
1.794797,1.458638,-0.721865
1.792166,1.460099,-0.721134
1.792458,1.451038,-0.715434
1.794212,1.458638,-0.72128
1.798305,1.466823,-0.725665
1.797135,1.460976,-0.714557
1.791289,1.460976,-0.72055
1.796551,1.464192,-0.721865
1.787489,1.456884,-0.725227
1.790704,1.453084,-0.716457
1.788658,1.465069,-0.70988
1.787197,1.457469,-0.711634
1.789828,1.456299,-0.729173
1.798597,1.458053,-0.716311
1.790704,1.456592,-0.714265
1.785151,1.45513,-0.710465
1.789828,1.447822,-0.704472
1.790704,1.45133,-0.714265
1.792166,1.455422,-0.726103
1.791581,1.456592,-0.705788
1.791581,1.453961,-0.713973
1.790704,1.455422,-0.715434
1.787197,1.460099,-0.713973
1.787197,1.453668,-0.725957
1.787197,1.462438,-0.713242
1.79012,1.457761,-0.70988
1.788366,1.456007,-0.707249
1.788366,1.449868,-0.718357
1.790412,1.460684,-0.709734
1.789243,1.457469,-0.713242
1.79392,1.45513,-0.698626
1.79012,1.456007,-0.705934
1.792166,1.455715,-0.744811
1.787781,1.431453,-0.70988
1.790997,1.46273,-0.712072
1.796551,1.460392,-0.710026
1.795381,1.451622,-0.706226
1.760304,1.456007,-0.712072
1.795089,1.449868,-0.718942
1.792166,1.458346,-0.720257
1.784858,1.460976,-0.709149
1.794212,1.456007,-0.707834
1.791289,1.458346,-0.718796
1.791874,1.456299,-0.720403
1.792751,1.452499,-0.717334
1.791874,1.452207,-0.719088
1.789828,1.453961,-0.719088
1.794505,1.459807,-0.715434
1.794797,1.456884,-0.713973
1.785443,1.459222,-0.710026
1.793335,1.452792,-0.710172
1.796258,1.45513,-0.720403
1.787781,1.453668,-0.708126
1.79012,1.454838,-0.71368
1.797135,1.456884,-0.71938
1.787781,1.460976,-0.723765
1.793043,1.459222,-0.711049
1.794797,1.448407,-0.717188
1.794212,1.450453,-0.711634
1.800351,1.451622,-0.710026
1.791289,1.457761,-0.721865
1.783981,1.459222,-0.717188
1.792166,1.461561,-0.708711
1.788658,1.454838,-0.712072
1.78632,1.45893,-0.721573
1.786904,1.457176,-0.72318
1.795089,1.463315,-0.712511
1.793335,1.463607,-0.720988
1.786904,1.461561,-0.719088
1.79392,1.460099,-0.716311
1.791581,1.457761,-0.727565
1.788366,1.456007,-0.716457
1.793628,1.464776,-0.703595
1.792751,1.460392,-0.715873
1.788951,1.457761,-0.720111
1.790704,1.456884,-0.719526
1.791581,1.451915,-0.717626
1.791581,1.460684,-0.718211
1.789535,1.456007,-0.714849
1.786612,1.454253,-0.713534
1.792458,1.46653,-0.718065
1.786904,1.453084,-0.711196
1.791289,1.452499,-0.721865
1.786904,1.461269,-0.719088
1.785443,1.452207,-0.72245
1.789535,1.458638,-0.724203
1.792166,1.454838,-0.718503
1.792166,1.451915,-0.714119
1.794505,1.448699,-0.724057
1.789243,1.452792,-0.723473
1.786612,1.456007,-0.724203
1.792751,1.456299,-0.715142
1.788951,1.448992,-0.716749
1.795381,1.454253,-0.717919
1.794212,1.456592,-0.716749
1.786904,1.449576,-0.713826
1.793628,1.453961,-0.711049
1.791289,1.450161,-0.719526
1.795089,1.448407,-0.724203
1.788658,1.451038,-0.724057
1.792751,1.45133,-0.720111
1.789828,1.456299,-0.72318
1.785443,1.448992,-0.715288
1.788951,1.454545,-0.715873
1.789828,1.455715,-0.722157
1.787781,1.457176,-0.722596
1.786612,1.460392,-0.724934
1.79392,1.456884,-0.719819
1.79012,1.456007,-0.716311
1.789243,1.459515,-0.705495
1.791289,1.451915,-0.711926
1.792166,1.453376,-0.712949
