ch1,ch2,ch3
1.749781,1.446068,-0.804005
1.755919,1.454545,-0.812336
1.759135,1.45513,-0.813066
1.755627,1.445776,-0.813797
1.749488,1.44373,-0.819497
1.756796,1.442268,-0.823443
1.757966,1.444899,-0.819497
1.75475,1.448115,-0.81102
1.760012,1.445192,-0.817305
1.765566,1.446361,-0.814528
1.756796,1.452499,-0.821251
1.756212,1.450453,-0.813943
1.759719,1.448115,-0.816282
1.761181,1.447822,-0.800351
1.751242,1.463607,-0.827244
1.749488,1.489915,-0.811897
1.745104,1.504531,-0.798305
1.742473,1.517685,-0.801082
1.733411,1.527331,-0.79012
1.73955,1.5247,-0.783835
1.734873,1.5285,-0.776966
1.739842,1.521193,-0.768781
1.745396,1.5285,-0.757819
1.73955,1.522946,-0.762789
1.747735,1.52207,-0.742181
1.744519,1.516808,-0.742619
1.747442,1.512423,-0.727419
1.752996,1.510962,-0.718942
1.755335,1.5095,-0.714265
1.753289,1.505992,-0.70798
1.749488,1.493423,-0.704034
1.757673,1.491961,-0.694534
1.755335,1.484069,-0.701842
1.756796,1.483484,-0.691757
1.760304,1.482607,-0.692488
1.768196,1.477638,-0.679918
1.765858,1.470915,-0.674657
1.772289,1.466238,-0.668956
1.76615,1.496346,-0.663256
1.76615,1.460976,-0.664279
1.772873,1.455422,-0.660918
1.772581,1.456592,-0.658726
1.768781,1.448699,-0.654633
1.774627,1.450453,-0.656825
1.78135,1.438468,-0.660479
1.775504,1.433207,-0.644402
1.78252,1.43993,-0.647033
1.779597,1.434084,-0.643818
1.787197,1.43496,-0.64221
1.784858,1.435838,-0.645718
1.782812,1.428822,-0.644256
1.781935,1.432914,-0.643818
1.787781,1.430284,-0.640602
1.785735,1.425899,-0.647179
1.79012,1.43496,-0.636948
1.784274,1.428822,-0.638556
1.776966,1.425606,-0.640018
1.790704,1.426191,-0.633733
1.779012,1.426776,-0.64791
1.789535,1.424145,-0.634756
1.786027,1.42853,-0.637825
1.780766,1.415083,-0.630371
1.784566,1.413914,-0.629202
1.782812,1.416253,-0.627887
1.79012,1.42356,-0.629787
1.792751,1.41216,-0.62774
1.787197,1.410699,-0.623356
1.790412,1.414791,-0.636364
1.786612,1.408945,-0.628763
1.797428,1.413037,-0.625256
1.793628,1.417714,-0.62584
1.793043,1.413622,-0.628033
1.792751,1.413914,-0.624817
1.787781,1.408945,-0.625548
1.791874,1.411576,-0.624379
1.788658,1.411868,-0.620286
1.782812,1.40836,-0.626425
1.793628,1.40456,-0.638556
1.787489,1.416545,-0.626863
1.792458,1.412452,-0.630664
1.792458,1.408945,-0.615756
1.780766,1.411283,-0.622771
1.792166,1.406899,-0.621456
1.792166,1.41216,-0.625694
1.791289,1.408652,-0.618094
1.799474,1.412452,-0.626717
1.799766,1.407776,-0.616925
1.797135,1.40076,-0.618679
1.799766,1.410699,-0.619994
1.792751,1.412745,-0.618533
1.796843,1.408945,-0.619848
1.795966,1.41216,-0.618533
1.802982,1.410406,-0.624817
1.83309,1.405729,-0.626571
1.788658,1.417714,-0.623063
1.794797,1.409529,-0.62394
1.794212,1.405145,-0.619117
1.797428,1.41216,-0.616486
1.798012,1.410406,-0.619117
1.793628,1.410114,-0.615902
1.794212,1.404268,-0.624817
1.794212,1.409529,-0.625987
1.786904,1.407191,-0.61634
1.791581,1.406314,-0.619702
1.788951,1.40836,-0.635487
1.78252,1.406022,-0.62204
1.786612,1.409822,-0.629787
1.794505,1.410406,-0.618825
1.798305,1.409237,-0.627887
1.792166,1.41596,-0.625402
1.79772,1.40456,-0.627448
1.794212,1.409237,-0.615025
1.793335,1.405145,-0.611663
1.795089,1.402222,-0.622186
1.790997,1.40836,-0.61941
1.800643,1.403391,-0.616048
1.798012,1.405437,-0.620433
1.800643,1.408945,-0.614148
1.793628,1.40456,-0.627594
1.787197,1.40456,-0.621748
1.788951,1.407776,-0.613125
1.795089,1.416253,-0.62584
1.795966,1.41596,-0.635925
1.802982,1.413914,-0.62321
1.796258,1.410699,-0.618533
1.792458,1.401052,-0.621748
1.79772,1.408945,-0.626571
1.798305,1.408068,-0.621602
1.787197,1.403391,-0.617948
1.797135,1.413914,-0.613709
1.795381,1.410699,-0.625987
1.788074,1.408652,-0.626863
1.791874,1.404852,-0.631102
1.793043,1.409822,-0.62204
1.791289,1.410699,-0.621894
1.79012,1.405437,-0.628617
1.79392,1.403975,-0.62891
1.796551,1.403391,-0.623502
1.798012,1.408652,-0.62891
1.797428,1.409529,-0.631979
1.795089,1.401637,-0.62701
1.795381,1.406899,-0.62891
1.785443,1.408652,-0.623063
1.796258,1.409529,-0.622333
1.790704,1.40836,-0.621163
1.795381,1.414499,-0.631687
1.78135,1.426776,-0.653318
1.778135,1.425314,-0.661502
1.75855,1.492838,-0.713534
1.749488,1.512423,-0.747881
1.739842,1.527039,-0.779012
1.736919,1.516808,-0.792312
1.741596,1.497808,-0.807659
1.741304,1.493423,-0.810143
1.749488,1.468576,-0.815405
1.762058,1.455715,-0.812043
1.76615,1.444899,-0.818328
1.772873,1.412452,-0.802543
1.776673,1.403683,-0.807074
1.777843,1.384098,-0.807512
1.784274,1.375037,-0.793043
1.793043,1.359544,-0.794651
1.796843,1.343759,-0.789389
1.794212,1.337621,-0.779597
1.79772,1.322128,-0.778427
1.810582,1.320666,-0.772581
1.804443,1.31482,-0.76732
1.805028,1.303712,-0.758404
1.815259,1.301958,-0.750365
1.823151,1.290851,-0.74715
1.81672,1.294358,-0.753289
1.82169,1.280327,-0.750365
1.817597,1.280035,-0.742619
1.818182,1.275066,-0.737357
1.816428,1.270681,-0.742181
1.823736,1.268343,-0.735019
1.82432,1.263373,-0.736773
1.819643,1.262204,-0.730196
1.828705,1.256358,-0.722888
1.82812,1.256358,-0.721426
1.82549,1.249927,-0.73005
1.826367,1.258989,-0.719673
1.830459,1.261619,-0.719526
1.82812,1.247004,-0.720257
1.836013,1.251388,-0.725811
1.833967,1.249635,-0.723034
1.826367,1.251973,-0.731511
1.830167,1.256942,-0.735896
1.832505,1.249342,-0.73195
1.825197,1.245542,-0.728734
1.82812,1.250804,-0.728734
1.828705,1.245835,-0.71865
1.829582,1.249927,-0.720111
1.833382,1.259281,-0.723911
1.83309,1.248173,-0.721134
1.825782,1.253727,-0.724934
1.832505,1.247588,-0.72435
1.834259,1.249635,-0.719088
1.836305,1.244373,-0.715142
1.839228,1.247004,-0.718503
1.837474,1.239696,-0.719673
1.835721,1.244373,-0.717188
1.832213,1.242327,-0.727565
1.836305,1.244958,-0.726396
1.834844,1.244958,-0.722742
1.832797,1.251681,-0.719673
1.834844,1.248465,-0.725811
1.83309,1.243496,-0.724642
1.830459,1.245835,-0.73195
1.832505,1.24145,-0.719526
1.832213,1.246127,-0.713096
1.826074,1.244373,-0.727127
1.834844,1.240281,-0.72508
1.83309,1.245835,-0.714557
1.836597,1.243788,-0.719673
1.828413,1.252265,-0.719965
1.829874,1.248173,-0.715288
1.835428,1.244958,-0.725373
1.830459,1.243204,-0.718211
1.835428,1.246127,-0.723327
1.832213,1.244373,-0.718796
1.830167,1.246711,-0.722011
1.833674,1.245542,-0.728734
1.825197,1.242034,-0.715873
1.833967,1.245835,-0.729465
1.837474,1.24905,-0.727565
1.833967,1.247004,-0.725227
1.835136,1.240281,-0.736188
1.829582,1.239111,-0.71748
1.832213,1.243496,-0.714119
1.828997,1.250512,-0.73195
1.833674,1.248465,-0.718796
1.82929,1.249927,-0.721573
1.827536,1.251681,-0.720988
1.839521,1.238527,-0.72698
1.832797,1.245835,-0.721573
1.839813,1.244665,-0.721134
1.82549,1.243204,-0.72435
1.829582,1.239111,-0.719526
1.827536,1.243204,-0.72128
1.829874,1.245835,-0.724642
1.828413,1.240865,-0.731657
1.834551,1.242327,-0.740719
1.831628,1.24145,-0.715726
1.834259,1.24145,-0.718357
1.833382,1.242619,-0.725957
1.839228,1.242327,-0.726396
1.832797,1.248758,-0.717334
1.829582,1.246711,-0.725227
1.835136,1.249342,-0.722596
1.836013,1.244081,-0.717042
1.828705,1.244081,-0.73078
1.83689,1.244665,-0.725519
1.830459,1.244373,-0.712657
1.827828,1.250804,-0.719526
1.828705,1.243788,-0.724642
1.828413,1.24905,-0.718065
1.835136,1.250512,-0.73268
1.832797,1.24525,-0.728734
1.832505,1.243496,-0.719819
1.830459,1.23765,-0.722303
1.82929,1.241742,-0.728442
1.833967,1.240281,-0.71865
1.838644,1.246711,-0.727127
1.831044,1.241742,-0.724057
1.826074,1.247881,-0.721719
1.828705,1.246127,-0.718065
1.828705,1.240281,-0.727711
1.833967,1.24525,-0.722303
1.835721,1.240865,-0.72318
1.834259,1.247588,-0.726688
1.831044,1.240573,-0.720842
1.836305,1.243788,-0.722157
1.831044,1.244665,-0.710757
1.827243,1.244081,-0.716749
1.827536,1.241742,-0.721426
1.830459,1.250219,-0.70988
1.829874,1.258696,-0.719965
1.815843,1.287343,-0.74335
1.807366,1.316574,-0.76995
1.784274,1.375914,-0.791435
1.765273,1.413914,-0.797135
1.759427,1.469161,-0.804443
1.750658,1.498392,-0.789097
1.741888,1.5171,-0.795528
1.740719,1.529085,-0.780035
1.738965,1.527039,-0.766735
1.73955,1.521485,-0.758989
1.739842,1.522654,-0.738673
1.75095,1.507454,-0.722742
1.758842,1.499562,-0.698188
1.753289,1.484946,-0.687957
1.761473,1.469453,-0.67188
1.770535,1.463315,-0.660041
1.777258,1.437884,-0.64411
1.781643,1.424437,-0.634171
1.791581,1.406022,-0.624525
1.796551,1.401929,-0.614879
1.798889,1.393744,-0.603186
1.803274,1.375329,-0.599386
1.810874,1.364513,-0.595148
1.812628,1.362175,-0.589301
1.821982,1.350482,-0.586232
1.817597,1.329436,-0.56767
1.827828,1.329728,-0.57717
1.822274,1.313943,-0.568986
1.835136,1.306343,-0.565478
1.833382,1.306928,-0.559047
1.832213,1.301374,-0.548231
1.839228,1.301374,-0.559339
1.839521,1.283835,-0.562555
1.84829,1.27682,-0.553055
1.850336,1.275358,-0.550278
1.851505,1.278574,-0.545747
1.847998,1.270681,-0.547208
1.850921,1.26425,-0.547355
1.84449,1.260158,-0.551155
1.853259,1.249635,-0.545162
1.857644,1.248173,-0.545601
1.861444,1.253435,-0.544724
1.855013,1.24145,-0.547939
1.850336,1.247296,-0.554516
1.859105,1.242911,-0.541508
1.857644,1.243788,-0.537416
1.862029,1.232681,-0.536977
1.857352,1.232681,-0.536247
1.857059,1.235896,-0.534054
1.856475,1.236188,-0.539754
1.850921,1.242034,-0.540778
1.858813,1.233557,-0.541362
1.862906,1.231219,-0.543847
1.856767,1.266296,-0.543408
1.856767,1.230927,-0.544285
1.855598,1.218065,-0.538439
1.857644,1.220111,-0.538731
1.85969,1.222157,-0.533762
1.860275,1.223327,-0.534347
1.862613,1.220988,-0.545016
1.864367,1.219819,-0.539901
1.860275,1.228588,-0.547647
1.865536,1.225665,-0.541801
1.867583,1.22128,-0.53917
1.869336,1.223327,-0.536393
1.864367,1.219234,-0.533762
1.85969,1.22128,-0.540778
1.865244,1.217188,-0.547793
1.859982,1.215434,-0.546039
1.862613,1.219526,-0.550716
1.859105,1.220696,-0.541216
1.86349,1.215726,-0.538585
1.860859,1.211049,-0.545308
1.869044,1.216896,-0.542239
1.862321,1.212511,-0.53917
1.85589,1.216603,-0.545747
1.869629,1.211049,-0.540778
1.869629,1.213388,-0.535516
1.864367,1.213096,-0.546039
1.870213,1.211926,-0.548231
1.862906,1.215726,-0.541508
1.869044,1.212511,-0.538878
1.864367,1.209588,-0.548231
1.857352,1.20988,-0.535808
1.864075,1.217773,-0.542531
1.863783,1.214849,-0.539754
1.870798,1.213973,-0.536101
1.863198,1.210465,-0.540778
1.864952,1.206957,-0.535224
1.864659,1.210172,-0.542531
1.872552,1.212803,-0.527916
1.865244,1.214849,-0.548962
1.869629,1.211049,-0.538001
1.861152,1.214265,-0.543555
1.871675,1.206957,-0.542824
1.863198,1.211926,-0.537854
1.865244,1.211342,-0.536393
1.834551,1.209296,-0.538293
1.861152,1.208126,-0.536539
1.86729,1.215434,-0.539316
1.862321,1.213388,-0.538147
1.862613,1.211342,-0.545601
1.866121,1.213388,-0.53917
1.866706,1.210465,-0.530108
1.866706,1.203157,-0.536539
1.864659,1.215142,-0.529816
1.861444,1.210172,-0.531424
1.856767,1.212219,-0.525431
1.86729,1.208419,-0.527039
1.864075,1.21368,-0.526162
1.862029,1.205495,-0.535224
1.866121,1.215434,-0.534054
1.869921,1.211342,-0.533908
1.863198,1.207542,-0.539754
1.865536,1.21368,-0.533031
1.864952,1.212511,-0.539754
1.866413,1.206665,-0.534201
1.863783,1.21748,-0.532008
1.866121,1.213388,-0.53727
1.868752,1.219819,-0.536977
1.862321,1.21865,-0.534785
1.861736,1.208711,-0.534347
1.870213,1.206957,-0.540924
1.872844,1.214265,-0.545601
1.862906,1.217188,-0.540339
1.871675,1.219234,-0.540631
1.865536,1.215726,-0.551885
1.862906,1.215726,-0.538878
1.868167,1.216603,-0.539462
1.869044,1.215142,-0.543847
1.861444,1.219234,-0.538878
1.861444,1.235019,-0.546478
1.854429,1.255481,-0.545162
1.838644,1.301958,-0.562409
1.814382,1.355744,-0.587109
1.795966,1.401929,-0.615025
1.790412,1.440807,-0.641771
1.783104,1.449868,-0.648933
1.78252,1.466823,-0.661795
1.771412,1.465361,-0.684157
1.769073,1.486992,-0.694826
1.757381,1.499562,-0.706372
1.759427,1.509208,-0.720696
1.748319,1.517977,-0.738965
1.744227,1.512131,-0.762935
1.744519,1.521193,-0.755335
1.749196,1.518854,-0.765712
1.749196,1.520316,-0.767612
1.742473,1.511254,-0.76922
1.742181,1.514762,-0.778281
1.749781,1.5171,-0.783104
1.740719,1.523239,-0.793189
1.741888,1.514177,-0.795381
1.742181,1.512423,-0.792605
1.743935,1.502777,-0.805905
1.743935,1.501608,-0.798012
1.739842,1.514177,-0.799035
1.749488,1.512423,-0.802543
1.744227,1.496346,-0.803566
1.738088,1.496054,-0.807512
1.745981,1.492838,-0.800935
1.75095,1.484946,-0.802835
1.753581,1.492546,-0.81482
1.748319,1.480561,-0.810289
1.750658,1.48553,-0.812336
1.749488,1.484361,-0.810582
1.750073,1.477054,-0.810582
1.750365,1.47793,-0.801228
1.749196,1.472084,-0.807805
1.753289,1.473546,-0.814236
1.748612,1.477638,-0.815405
1.757089,1.475884,-0.821836
1.755335,1.4715,-0.814089
1.75475,1.468869,-0.811459
1.751535,1.469453,-0.820813
1.753581,1.473838,-0.813797
1.756796,1.4677,-0.815405
1.753581,1.462146,-0.807659
1.757381,1.461561,-0.819059
1.760012,1.462146,-0.808097
1.756796,1.461853,-0.814089
1.759135,1.454253,-0.813066
1.765566,1.456299,-0.820813
1.756796,1.464776,-0.804589
1.752119,1.460099,-0.813505
1.756212,1.455422,-0.809851
1.75855,1.450161,-0.811605
1.746858,1.454253,-0.814674
1.752412,1.454838,-0.804589
1.754165,1.448407,-0.808828
1.758258,1.461269,-0.807951
1.760012,1.459515,-0.802251
1.75855,1.45133,-0.814528
1.760596,1.452792,-0.808682
1.754458,1.451915,-0.805028
1.757673,1.451038,-0.808828
1.754458,1.452499,-0.806635
1.755627,1.450161,-0.814674
1.763227,1.442561,-0.809266
1.72435,1.441976,-0.818036
1.760596,1.451622,-0.816282
1.750365,1.441976,-0.813651
1.757673,1.448115,-0.806928
1.761181,1.455422,-0.818328
1.759427,1.444314,-0.814089
1.759135,1.446653,-0.809266
1.75855,1.448699,-0.814236
1.756212,1.44753,-0.805028
1.757966,1.440807,-0.812774
1.75855,1.448992,-0.815259
1.757966,1.448699,-0.806489
1.760012,1.453376,-0.809851
1.753873,1.453376,-0.808243
1.756796,1.448699,-0.806343
1.757673,1.444899,-0.813066
1.759135,1.442561,-0.815989
1.762058,1.455422,-0.812189
1.764104,1.440807,-0.813505
1.754165,1.445776,-0.814089
1.751827,1.453376,-0.81979
1.75855,1.448992,-0.802543
1.755335,1.445192,-0.807805
1.755919,1.444607,-0.811897
1.75855,1.446653,-0.816136
1.761766,1.442268,-0.813505
1.753289,1.446945,-0.815989
1.751827,1.44373,-0.831921
1.757381,1.448992,-0.818328
1.757089,1.454545,-0.800643
1.75855,1.446945,-0.815843
1.761473,1.449284,-0.817305
1.755042,1.45513,-0.812482
1.757089,1.453084,-0.806343
1.758258,1.445484,-0.808828
1.759719,1.446945,-0.808536
1.763519,1.448407,-0.804882
1.755042,1.450745,-0.814382
1.754458,1.443438,-0.823443
1.763519,1.454838,-0.81672
1.763519,1.448699,-0.812189
1.761766,1.451038,-0.817451
1.764396,1.444314,-0.819643
1.760304,1.451038,-0.818182
1.765273,1.446361,-0.812482
1.753581,1.442268,-0.804735
1.760596,1.441976,-0.818036
1.757673,1.448699,-0.803566
1.766443,1.442561,-0.810289
1.758842,1.450161,-0.805174
1.75855,1.453668,-0.81979
1.760889,1.449576,-0.820374
1.760304,1.443145,-0.809851
1.761766,1.447238,-0.822859
1.752119,1.435838,-0.806928
1.759135,1.446361,-0.813943
1.762058,1.442853,-0.801812
1.757966,1.444022,-0.812336
1.762935,1.448992,-0.807074
1.764689,1.447238,-0.804735
1.759135,1.447238,-0.808828
1.754458,1.445484,-0.806635
1.755042,1.440807,-0.804005
1.761473,1.451622,-0.806489
1.751827,1.469161,-0.798743
1.748319,1.492254,-0.807951
1.741596,1.510669,-0.795528
1.738088,1.520023,-0.796112
1.736334,1.514177,-0.785004
1.738965,1.514177,-0.775212
1.749488,1.524116,-0.765273
1.740719,1.525577,-0.758258
1.742181,1.520023,-0.751535
1.744811,1.514177,-0.753873
1.752119,1.514177,-0.726542
1.752412,1.510962,-0.729904
1.747442,1.507454,-0.722888
1.756796,1.512423,-0.723473
1.753289,1.502192,-0.707688
1.759135,1.491961,-0.712219
1.769366,1.484069,-0.695995
1.762058,1.488454,-0.704326
1.760889,1.483484,-0.693365
1.766443,1.481438,-0.683864
1.767319,1.477054,-0.66881
1.775212,1.472961,-0.663987
1.77375,1.467407,-0.664426
1.769658,1.462146,-0.658287
1.772581,1.464776,-0.661356
1.773458,1.465361,-0.65741
1.774627,1.451622,-0.663256
1.777258,1.448115,-0.657118
1.781058,1.449868,-0.655949
1.778427,1.445484,-0.655364
1.777258,1.438761,-0.656825
1.777843,1.444022,-0.640894
1.781643,1.437591,-0.652148
1.780181,1.441976,-0.646887
1.776381,1.438176,-0.642356
1.785443,1.439053,-0.644402
1.791874,1.432037,-0.639725
1.788074,1.428822,-0.641771
1.789535,1.43233,-0.644548
1.786027,1.427068,-0.647325
1.792166,1.433499,-0.639579
1.791289,1.428237,-0.634464
1.787197,1.429699,-0.634025
1.79012,1.430868,-0.631248
1.789243,1.424437,-0.640894
1.779012,1.42473,-0.62891
1.789535,1.421222,-0.635341
1.784566,1.422391,-0.641918
1.783981,1.420637,-0.627156
1.788951,1.422976,-0.637533
1.793335,1.416545,-0.631248
1.793043,1.417422,-0.63271
1.796843,1.417422,-0.630225
1.796551,1.412745,-0.630079
1.800935,1.415376,-0.622333
1.794797,1.414791,-0.638702
1.795966,1.41976,-0.626425
1.795966,1.418006,-0.626571
1.801228,1.416253,-0.620286
1.800058,1.421222,-0.63154
1.79392,1.416545,-0.628179
1.796551,1.411868,-0.62584
1.795089,1.422099,-0.638556
1.792458,1.419468,-0.625987
1.80152,1.423268,-0.630517
1.793628,1.415668,-0.627594
1.787197,1.416253,-0.618679
1.760012,1.421514,-0.624671
