ch1,ch2,ch3
351.0,1.247296,-0.699942
1.819059,1.249927,-0.694095
1.825197,1.247881,-0.703303
1.821105,1.246127,-0.709442
1.824028,1.250219,-0.700526
1.828997,1.252265,-0.701403
1.825782,1.249635,-0.697165
1.826951,1.246419,-0.708711
1.831921,1.244958,-0.698918
1.830459,1.254896,-0.705349
1.822859,1.249927,-0.708419
1.82812,1.250512,-0.701403
1.822567,1.253435,-0.703595
1.82929,1.254604,-0.703449
1.822274,1.250804,-0.698772
1.826951,1.254604,-0.713973
1.831921,1.249342,-0.701988
1.828705,1.248173,-0.709442
1.825782,1.250512,-0.708272
1.821982,1.245542,-0.701403
1.819059,1.253435,-0.708126
1.821982,1.249927,-0.703742
1.829874,1.247881,-0.69468
1.830167,1.253727,-0.688834
1.82052,1.251388,-0.711926
1.824613,1.248173,-0.706811
1.831044,1.244665,-0.70038
1.829582,1.251388,-0.703449
1.82812,1.248758,-0.70228
1.829874,1.244665,-0.700672
1.820228,1.249927,-0.707542
1.825782,1.247296,-0.700088
1.823151,1.249927,-0.707688
1.831044,1.248173,-0.707834
1.819351,1.250219,-0.696872
1.826659,1.24905,-0.703595
1.828413,1.244958,-0.684449
1.833382,1.241158,-0.708272
1.826951,1.249927,-0.699065
1.821105,1.247588,-0.701257
1.824028,1.254312,-0.714411
1.82929,1.254896,-0.704765
1.822859,1.249927,-0.701403
1.822274,1.246419,-0.712365
1.824028,1.252265,-0.700965
1.826951,1.253435,-0.711634
1.819059,1.257527,-0.711926
1.82432,1.256065,-0.698918
1.825197,1.256065,-0.711634
1.822859,1.254312,-0.707542
1.821982,1.256065,-0.705788
1.821105,1.255189,-0.699503
1.823151,1.245835,-0.716457
1.829874,1.24525,-0.697311
1.82549,1.246127,-0.691757
1.830459,1.254604,-0.702426
1.817013,1.252558,-0.703449
1.826074,1.251973,-0.705642
1.824613,1.244665,-0.705349
1.825782,1.249635,-0.692195
1.814966,1.244665,-0.704326
1.82812,1.251973,-0.691611
1.821982,1.24525,-0.700965
1.822859,1.254019,-0.694826
1.821982,1.246419,-0.697749
1.827828,1.251973,-0.693218
1.823443,1.255481,-0.695118
1.832505,1.249927,-0.692049
1.821105,1.247296,-0.696141
1.825197,1.246419,-0.705642
1.827828,1.260158,-0.707249
1.828997,1.249342,-0.698188
1.822274,1.246127,-0.692926
1.82812,1.242034,-0.701549
1.82169,1.251096,-0.701111
1.824905,1.251388,-0.707834
1.826367,1.246127,-0.69088
1.82929,1.245835,-0.703011
1.822274,1.248758,-0.694095
1.823736,1.253142,-0.698041
1.826074,1.250512,-0.698918
1.827828,1.243496,-0.696726
