ch1,ch2,ch3
1.9149,1.171,-0.7232
1.9144,1.1695,-0.7201
1.9167,1.1616,-0.7127
1.9275,1.1681,-0.7276
1.9167,1.1666,-0.7331
1.9135,1.1646,-0.723
1.9158,1.1628,-0.7242
1.9222,1.1713,-0.7217
1.9225,1.1649,-0.7283
1.9126,1.1698,-0.7167
1.9234,1.1611,-0.7154
1.9228,1.1672,-0.7156
1.924,1.1798,-0.7261
1.9205,1.1815,-0.7305
1.9231,1.1824,-0.7333
1.9202,1.2014,-0.7433
1.912,1.2146,-0.7593
1.9094,1.2306,-0.7512
1.8971,1.2552,-0.7683
1.8954,1.2803,-0.7726
1.8901,1.2982,-0.7932
1.8764,1.337,-0.8046
1.8737,1.3692,-0.8063
1.8594,1.3888,-0.7976
1.8609,1.4195,-0.8039
1.8582,1.4215,-0.7954
1.8582,1.4329,-0.7847
1.8544,1.4393,-0.7854
1.8603,1.4417,-0.7726
1.8591,1.4373,-0.7586
1.855,1.4329,-0.7498
1.8515,1.4338,-0.7219
1.8547,1.4323,-0.7239
1.8638,1.4136,-0.7029
1.8629,1.4005,-0.69
1.8641,1.3891,-0.6669
1.8655,1.3733,-0.6394
1.8606,1.347,-0.6299
1.8685,1.335,-0.6177
1.869,1.3134,-0.593
1.879,1.2809,-0.5726
1.8828,1.2575,-0.5607
1.8831,1.2353,-0.5535
1.8913,1.2096,-0.5428
1.8907,1.2034,-0.533
1.893,1.1847,-0.5352
1.8974,1.169,-0.5275
1.8983,1.1631,-0.5227
1.9056,1.1412,-0.5235
1.912,1.1266,-0.5257
1.9056,1.1198,-0.511
1.9111,1.107,-0.5132
1.9141,1.0932,-0.5115
1.9047,1.0862,-0.5099
1.9126,1.083,-0.5219
1.9135,1.0716,-0.5222
1.9123,1.0731,-0.5229
1.9146,1.0649,-0.5267
1.9155,1.0541,-0.5304
1.9144,1.055,-0.5358
1.9129,1.0555,-0.5519
1.9106,1.0465,-0.5475
1.912,1.0476,-0.5498
1.9132,1.0567,-0.5607
1.9179,1.0491,-0.5542
1.9176,1.0456,-0.5555
1.9225,1.0365,-0.5623
1.9237,1.0441,-0.5666
1.9234,1.0479,-0.578
1.9193,1.0453,-0.5636
1.9222,1.0453,-0.5855
1.9205,1.0494,-0.5779
1.919,1.0552,-0.5829
1.9208,1.0544,-0.5937
1.9187,1.0579,-0.5979
1.9269,1.059,-0.6008
1.9266,1.0561,-0.5997
1.9196,1.0588,-0.5943
1.9258,1.0623,-0.6055
1.9141,1.0637,-0.6023
1.9217,1.0646,-0.6121
1.9284,1.0672,-0.6146
1.9331,1.069,-0.6079
1.9228,1.0742,-0.608
1.9307,1.0769,-0.6213
1.9258,1.0748,-0.6267
1.9278,1.0783,-0.6216
1.9252,1.0783,-0.6143
1.9278,1.0778,-0.6225
1.9325,1.0807,-0.6267
1.9328,1.0903,-0.6384
1.9354,1.088,-0.6384
1.9304,1.0839,-0.646
1.9339,1.0906,-0.6443
1.941,1.0897,-0.6561
1.9275,1.0894,-0.6375
1.9372,1.0874,-0.6425
1.9398,1.0982,-0.652
1.9325,1.0988,-0.6592
1.9401,1.0903,-0.6409
1.936,1.1,-0.6577
1.936,1.1023,-0.6463
1.9392,1.1122,-0.639
1.9363,1.1023,-0.6504
1.9439,1.1087,-0.6456
1.9395,1.1055,-0.658
1.9483,1.1055,-0.658
1.9442,1.1061,-0.6571
1.9383,1.1105,-0.658
1.9383,1.1114,-0.6539
1.9436,1.1046,-0.6513
1.9448,1.1114,-0.666
1.948,1.1082,-0.653
1.9483,1.1084,-0.6505
1.9465,1.1134,-0.6453
1.9512,1.1155,-0.6552
1.9462,1.116,-0.6529
1.945,1.1172,-0.6576
1.9459,1.1128,-0.659
1.9448,1.1236,-0.663
1.9453,1.1222,-0.6559
1.9494,1.1181,-0.6513
1.9529,1.1198,-0.6476
1.9582,1.1216,-0.6597
1.955,1.1201,-0.6514
1.9547,1.1242,-0.6549
1.9564,1.1236,-0.6464
1.9547,1.1219,-0.6516
1.955,1.1166,-0.657
1.9521,1.1242,-0.6571
1.9538,1.126,-0.6504
1.9462,1.1184,-0.6666
1.9526,1.1201,-0.6538
1.9494,1.1254,-0.6472
1.9556,1.119,-0.6552
1.9559,1.1257,-0.6513
1.9518,1.1201,-0.6592
1.9544,1.1181,-0.6513
1.9526,1.119,-0.6558
1.9638,1.1298,-0.6523
1.9547,1.1263,-0.6581
1.9611,1.1204,-0.6511
1.9591,1.116,-0.6552
1.955,1.1213,-0.651
1.9591,1.119,-0.6519
1.9597,1.1201,-0.6624
1.9594,1.1216,-0.665
1.9605,1.1213,-0.6505
1.9614,1.1178,-0.6542
1.9506,1.1125,-0.6577
1.9623,1.1204,-0.6606
1.9623,1.1204,-0.66
1.9605,1.1225,-0.6552
1.9553,1.116,-0.6504
1.9573,1.1158,-0.6565
