ch1,ch2,ch3
1.858813,1.612979,-1.484507
1.863198,1.607132,-1.496346
1.866413,1.605671,-1.489331
1.864075,1.59924,-1.488307
1.861152,1.603917,-1.484507
1.864367,1.594563,-1.486554
1.85969,1.606256,-1.491231
1.860275,1.602455,-1.489915
1.864075,1.611517,-1.492546
1.865536,1.60684,-1.487869
1.866413,1.601871,-1.480269
1.864952,1.603625,-1.481292
1.862029,1.606256,-1.484946
1.859982,1.605086,-1.486992
1.872552,1.60684,-1.493131
1.869921,1.606548,-1.482461
1.85589,1.609179,-1.488746
1.859105,1.605379,-1.486554
1.865244,1.605086,-1.486261
1.866998,1.608594,-1.487723
1.858521,1.606256,-1.491523
1.856475,1.600994,-1.482461
1.860567,1.604794,-1.486115
1.858521,1.604502,-1.4734
1.864367,1.603625,-1.4791
1.864367,1.602455,-1.479538
1.856182,1.602455,-1.486554
1.864952,1.601871,-1.490354
1.861444,1.606256,-1.483923
1.862613,1.604502,-1.4886
1.854721,1.602163,-1.477054
1.859982,1.597486,-1.489038
1.860567,1.603625,-1.474861
1.85969,1.599532,-1.487431
1.854429,1.605963,-1.484361
1.857352,1.594563,-1.486846
1.853259,1.608009,-1.488307
1.862029,1.608594,-1.481
1.859398,1.604794,-1.469746
1.861736,1.601871,-1.472669
1.857059,1.600702,-1.488161
1.865536,1.598655,-1.483777
1.855013,1.604794,-1.479538
1.86349,1.602163,-1.485384
1.858813,1.603332,-1.477492
1.85589,1.603625,-1.488015
1.862029,1.602455,-1.493715
1.861152,1.600702,-1.486408
1.858229,1.600702,-1.479684
1.863198,1.599825,-1.479538
1.857644,1.597194,-1.483192
1.852967,1.598363,-1.488746
1.856475,1.600409,-1.494008
1.857644,1.593394,-1.487869
1.860275,1.598655,-1.478223
1.864367,1.602455,-1.493715
1.859105,1.602163,-1.486554
1.85209,1.596025,-1.4943
1.862029,1.597194,-1.483192
1.862029,1.600409,-1.484654
1.852382,1.593686,-1.489915
1.856182,1.598071,-1.495031
1.847998,1.600409,-1.493423
1.861444,1.602163,-1.495615
1.856182,1.602748,-1.500877
1.855598,1.596902,-1.494592
1.85969,1.605671,-1.485969
1.857644,1.598071,-1.488892
1.859105,1.60684,-1.490792
1.861152,1.601286,-1.479246
1.861444,1.599532,-1.493715
1.85589,1.601286,-1.478515
1.862029,1.602163,-1.491231
1.865536,1.603625,-1.496054
1.856182,1.599532,-1.491231
1.862613,1.595148,-1.494446
1.858229,1.59924,-1.493131
1.866413,1.596609,-1.488015
1.864952,1.600409,-1.497077
1.865244,1.600994,-1.483046
1.863198,1.609179,-1.486992
1.860859,1.603332,-1.483338
1.864659,1.596609,-1.488307
1.867583,1.597778,-1.484654
1.857644,1.609179,-1.488015
1.862029,1.602163,-1.496931
1.868459,1.608594,-1.497077
1.863783,1.599825,-1.4848
1.870798,1.600702,-1.480123
1.869629,1.593686,-1.482607
1.866413,1.599825,-1.489623
1.869336,1.603625,-1.495469
1.859398,1.604502,-1.490938
1.865244,1.594563,-1.494884
1.868459,1.608009,-1.482315
1.864367,1.602748,-1.481292
1.862029,1.601286,-1.484361
1.864367,1.601578,-1.489477
1.863198,1.606548,-1.4962
1.869044,1.596902,-1.486408
1.866121,1.603917,-1.486408
1.864075,1.603625,-1.490792
1.861152,1.603625,-1.481877
