0,1,2,3
0.0,2.17,2.249,1.666
0.9,2.179,2.246,1.663
2.394,2.169,2.219,1.656
3.87,2.157,2.197,1.64
6.624,2.15,2.159,1.61
8.424,2.14,2.132,1.589
10.08,2.139,2.115,1.582
12.906,2.132,2.08,1.546
14.472,2.12,2.058,1.539
16.146,2.119,2.033,1.521
18.27,2.101,2.009,1.495
20.142,2.096,1.975,1.474
21.312,2.095,1.972,1.447
24.948,2.084,1.918,1.426
26.874,2.079,1.9,1.399
28.602,2.069,1.87,1.389
30.78,2.062,1.845,1.351
32.382,2.071,1.832,1.344
33.48,2.055,1.818,1.329
36.594,2.054,1.785,1.285
38.448,2.04,1.761,1.264
39.942,2.044,1.76,1.24
42.624,2.036,1.737,1.199
44.478,2.042,1.716,1.172
46.116,2.016,1.703,1.168
48.942,2.017,1.685,1.124
50.508,2.012,1.676,1.095
52.182,2.013,1.67,1.093
54.252,2.005,1.644,1.074
56.124,2.001,1.653,1.05
57.276,1.997,1.622,1.03
60.84,1.996,1.612,0.984
62.82,1.992,1.606,0.954
64.548,1.985,1.6,0.945
66.726,1.987,1.586,0.925
68.364,1.985,1.586,0.896
69.534,1.982,1.578,0.879
72.558,1.986,1.562,0.846
74.43,1.982,1.576,0.827
75.942,1.982,1.566,0.804
78.588,1.98,1.565,0.771
80.478,1.976,1.571,0.757
82.08,1.97,1.577,0.746
84.906,1.97,1.574,0.703
86.472,1.97,1.581,0.696
88.164,1.969,1.592,0.678
90.288,1.97,1.593,0.656
92.142,1.973,1.606,0.637
93.312,1.97,1.598,0.645
96.912,1.973,1.624,0.598
98.946,1.975,1.618,0.591
100.638,1.984,1.636,0.572
102.78,1.983,1.651,0.565
104.4,1.975,1.658,0.542
105.498,1.992,1.666,0.553
108.594,1.987,1.69,0.512
110.466,1.991,1.703,0.501
111.942,1.992,1.721,0.493
114.624,1.995,1.738,0.479
116.496,2.001,1.76,0.472
118.098,1.998,1.771,0.452
120.924,1.996,1.806,0.448
122.508,1.999,1.818,0.45
124.2,2.007,1.836,0.434
126.27,2.013,1.853,0.442
128.142,2.014,1.874,0.433
129.294,2.016,1.888,0.436
132.894,2.032,1.934,0.421
134.928,2.037,1.963,0.421
136.602,2.028,1.983,0.427
138.744,2.04,2.001,0.411
140.364,2.053,2.02,0.418
141.552,2.055,2.03,0.423
144.576,2.067,2.082,0.43
146.412,2.069,2.101,0.426
147.96,2.079,2.123,0.415
150.57,2.085,2.17,0.425
152.478,2.09,2.185,0.419
154.08,2.102,2.215,0.442
156.888,2.106,2.258,0.453
158.454,2.115,2.282,0.456
160.164,2.109,2.31,0.458
162.252,2.115,2.333,0.467
164.106,2.126,2.368,0.475
165.258,2.132,2.384,0.473
168.858,2.138,2.443,0.505
170.766,2.153,2.469,0.519
172.512,2.162,2.488,0.525
174.69,2.174,2.523,0.545
176.31,2.19,2.548,0.567
177.39,2.179,2.561,0.57
180.468,2.191,2.609,0.591
182.232,2.199,2.63,0.591
183.564,2.212,2.653,0.607
186.318,2.219,2.691,0.634
188.442,2.219,2.724,0.654
189.81,2.216,2.743,0.671
192.78,2.227,2.78,0.69
194.31,2.234,2.806,0.714
195.66,2.238,2.827,0.731
198.09,2.253,2.858,0.756
199.998,2.254,2.875,0.771
201.24,2.259,2.899,0.799
204.714,2.27,2.945,0.847
206.73,2.277,2.957,0.855
208.44,2.281,2.977,0.879
210.672,2.285,2.998,0.912
212.292,2.298,3.024,0.927
213.462,2.308,3.026,0.947
216.504,2.316,3.064,0.98
218.268,2.314,3.08,1.003
219.636,2.324,3.096,1.021
222.372,2.327,3.123,1.052
224.424,2.329,3.135,1.077
225.756,2.335,3.155,1.105
228.78,2.348,3.18,1.137
230.292,2.346,3.184,1.152
231.642,2.352,3.191,1.168
234.108,2.345,3.206,1.214
236.034,2.353,3.22,1.23
237.186,2.363,3.231,1.252
240.714,2.363,3.248,1.287
242.73,2.372,3.247,1.311
244.386,2.362,3.246,1.341
246.654,2.371,3.255,1.367
248.274,2.379,3.263,1.374
249.372,2.369,3.269,1.392
252.504,2.386,3.27,1.43
254.304,2.386,3.272,1.46
255.852,2.386,3.278,1.457
258.444,2.382,3.279,1.49
260.46,2.396,3.277,1.507
261.882,2.389,3.282,1.532
264.816,2.387,3.282,1.551
266.346,2.388,3.273,1.573
267.768,2.393,3.266,1.582
270.162,2.392,3.269,1.624
272.052,2.382,3.26,1.638
273.294,2.381,3.251,1.647
276.822,2.397,3.242,1.673
278.856,2.388,3.231,1.7
280.548,2.387,3.212,1.708
282.726,2.385,3.204,1.711
284.328,2.381,3.191,1.742
285.498,2.381,3.184,1.75
288.54,2.376,3.16,1.769
290.322,2.375,3.146,1.771
291.852,2.374,3.138,1.792
294.462,2.365,3.118,1.796
296.478,2.372,3.101,1.805
297.918,2.354,3.084,1.817
300.816,2.351,3.058,1.828
302.328,2.35,3.048,1.824
303.84,2.343,3.034,1.843
306.162,2.341,3.003,1.853
308.034,2.332,2.982,1.848
309.186,2.337,2.975,1.851
312.786,2.324,2.928,1.858
314.82,2.319,2.899,1.867
316.548,2.324,2.883,1.866
318.726,2.314,2.845,1.863
320.328,2.316,2.828,1.854
321.444,2.303,2.811,1.863
324.558,2.302,2.769,1.853
326.376,2.295,2.745,1.847
327.942,2.28,2.73,1.852
330.57,2.285,2.687,1.843
332.496,2.277,2.67,1.826
334.008,2.262,2.644,1.822
336.87,2.248,2.604,1.818
338.4,2.252,2.582,1.81
340.146,2.238,2.557,1.798
342.234,2.233,2.54,1.797
344.088,2.228,2.506,1.788
345.312,2.225,2.482,1.782
348.858,2.212,2.43,1.762
350.874,2.21,2.4,1.742
352.584,2.2,2.369,1.732
354.744,2.193,2.336,1.723
356.346,2.181,2.306,1.703
