data1,data2,data3
0.05,0.933,-0.204
0.047,0.94,-0.201
0.031,0.922,-0.124
0.051,0.899,-0.115
0.062,0.868,-0.066
0.075,0.826,-0.07
0.093,0.795,-0.079
0.113,0.767,-0.078
0.139,0.754,-0.076
0.162,0.739,-0.075
0.179,0.741,-0.103
0.195,0.73,-0.072
0.204,0.721,-0.071
0.203,0.704,-0.054
0.215,0.67,-0.034
0.227,0.653,-0.035
0.227,0.616,-0.017
0.225,0.568,-0.003
0.241,0.544,-0.009
0.251,0.499,0.003
0.258,0.456,-0.001
0.273,0.431,-0.012
0.29,0.4,-0.018
0.309,0.366,-0.016
0.311,0.339,-0.022
0.344,0.325,-0.022
0.354,0.31,-0.031
0.363,0.293,-0.037
0.376,0.271,-0.039
0.395,0.276,-0.033
0.41,0.263,-0.046
0.407,0.237,-0.032
0.418,0.228,-0.038
0.421,0.22,-0.045
0.434,0.208,-0.057
0.437,0.191,-0.046
0.439,0.181,-0.053
0.449,0.164,-0.061
0.447,0.153,-0.062
0.458,0.136,-0.063
0.456,0.118,-0.075
0.456,0.114,-0.08
0.459,0.084,-0.078
0.465,0.068,-0.095
0.474,0.054,-0.107
0.476,0.043,-0.113
0.478,0.041,-0.117
0.486,0.02,-0.125
0.48,0.016,-0.12
0.491,0.005,-0.121
0.503,-0.002,-0.146
0.51,-0.013,-0.151
0.51,-0.017,-0.16
0.513,-0.03,-0.169
0.529,-0.039,-0.176
0.533,-0.034,-0.179
0.536,-0.046,-0.19
0.537,-0.048,-0.193
0.549,-0.06,-0.199
0.549,-0.062,-0.201
0.554,-0.067,-0.213
0.555,-0.07,-0.213
0.561,-0.072,-0.219
0.558,-0.069,-0.228
0.566,-0.071,-0.238
0.561,-0.089,-0.233
0.567,-0.086,-0.247
0.572,-0.09,-0.254
0.576,-0.094,-0.26
0.573,-0.094,-0.272
0.578,-0.103,-0.284
0.574,-0.101,-0.284
0.583,-0.099,-0.295
0.581,-0.1,-0.302
0.581,-0.104,-0.302
0.58,-0.099,-0.312
0.587,-0.103,-0.315
0.593,-0.108,-0.329
0.602,-0.115,-0.335
0.595,-0.11,-0.351
0.595,-0.11,-0.346
0.598,-0.105,-0.356
0.602,-0.108,-0.356
0.599,-0.105,-0.37
0.603,-0.103,-0.373
0.602,-0.105,-0.374
0.604,-0.104,-0.384
0.596,-0.097,-0.398
0.607,-0.101,-0.398
0.602,-0.093,-0.405
0.606,-0.102,-0.411
0.602,-0.093,-0.416
0.611,-0.09,-0.423
0.612,-0.083,-0.432
0.612,-0.087,-0.439
0.604,-0.083,-0.452
0.612,-0.084,-0.453
0.606,-0.083,-0.461
0.619,-0.075,-0.458
0.614,-0.072,-0.47
0.62,-0.065,-0.48
0.614,-0.068,-0.483
0.619,-0.055,-0.485
0.616,-0.059,-0.493
0.621,-0.052,-0.498
0.626,-0.046,-0.509
0.619,-0.041,-0.509
0.621,-0.04,-0.51
0.621,-0.034,-0.531
0.624,-0.03,-0.519
0.624,-0.023,-0.524
0.618,-0.012,-0.536
0.624,-0.014,-0.533
0.629,-0.013,-0.533
0.618,-0.004,-0.537
0.627,0.0,-0.548
0.626,0.009,-0.554
0.628,0.011,-0.554
0.631,0.013,-0.559
0.632,0.025,-0.555
0.635,0.027,-0.579
0.634,0.028,-0.579
0.634,0.037,-0.575
0.638,0.045,-0.582
0.633,0.052,-0.588
0.639,0.055,-0.591
0.642,0.064,-0.587
0.636,0.065,-0.603
0.645,0.076,-0.597
0.636,0.084,-0.601
0.647,0.093,-0.609
0.644,0.103,-0.618
0.652,0.113,-0.614
0.643,0.11,-0.626
0.648,0.116,-0.642
0.651,0.131,-0.628
0.65,0.137,-0.64
0.649,0.139,-0.644
0.654,0.155,-0.654
0.659,0.16,-0.651
0.657,0.172,-0.652
0.657,0.171,-0.661
0.665,0.19,-0.665
0.659,0.209,-0.667
0.66,0.206,-0.667
0.665,0.217,-0.681
0.66,0.232,-0.684
0.672,0.235,-0.676
0.668,0.247,-0.686
0.672,0.254,-0.687
0.672,0.272,-0.694
0.677,0.279,-0.697
0.677,0.285,-0.697
0.681,0.291,-0.694
0.673,0.308,-0.703
0.687,0.319,-0.702
0.68,0.327,-0.713
0.679,0.337,-0.701
0.68,0.347,-0.714
0.68,0.357,-0.708
0.685,0.371,-0.711
0.681,0.376,-0.72
0.685,0.389,-0.729
0.695,0.396,-0.717
0.693,0.412,-0.716
0.691,0.414,-0.724
0.697,0.425,-0.726
0.692,0.436,-0.724
0.7,0.45,-0.736
0.702,0.456,-0.737
0.703,0.47,-0.74
0.706,0.465,-0.731
0.712,0.479,-0.741
0.716,0.493,-0.734
0.711,0.507,-0.746
0.716,0.506,-0.737
0.715,0.517,-0.736
0.713,0.533,-0.738
0.712,0.53,-0.742
0.715,0.544,-0.746
0.72,0.547,-0.748
0.723,0.557,-0.743
0.721,0.566,-0.743
0.726,0.576,-0.746
0.729,0.586,-0.739
0.724,0.593,-0.751
0.723,0.599,-0.754
0.725,0.601,-0.753
0.738,0.613,-0.753
0.736,0.609,-0.753
0.738,0.622,-0.74
0.733,0.627,-0.741
0.735,0.631,-0.747
0.735,0.643,-0.754
0.736,0.658,-0.754
0.741,0.661,-0.744
0.742,0.669,-0.739
0.747,0.672,-0.749
0.745,0.676,-0.756
0.752,0.691,-0.747
0.751,0.693,-0.762
0.751,0.708,-0.751
0.747,0.72,-0.745
0.744,0.724,-0.755
0.75,0.726,-0.751
0.754,0.733,-0.745
0.76,0.75,-0.747
0.762,0.75,-0.743
0.755,0.764,-0.744
0.759,0.771,-0.751
0.764,0.781,-0.743
0.764,0.785,-0.745
0.763,0.787,-0.743
0.757,0.802,-0.745
0.768,0.811,-0.748
0.765,0.823,-0.733
0.765,0.824,-0.739
0.766,0.846,-0.736
0.776,0.851,-0.734
0.779,0.845,-0.726
0.78,0.86,-0.728
0.791,0.868,-0.731
0.782,0.875,-0.723
0.791,0.885,-0.72
0.786,0.89,-0.727
0.791,0.896,-0.729
0.793,0.906,-0.719
0.791,0.913,-0.718
0.784,0.917,-0.716
0.787,0.928,-0.695
0.795,0.938,-0.713
0.792,0.943,-0.708
0.798,0.951,-0.701
0.792,0.958,-0.698
0.796,0.968,-0.7
0.798,0.971,-0.697
0.799,0.982,-0.703
0.796,0.985,-0.69
