data1,data2,data3
0.282,0.52,-0.14
0.288,0.511,-0.153
0.3,0.508,-0.147
0.302,0.495,-0.157
0.306,0.49,-0.158
0.308,0.495,-0.169
0.315,0.479,-0.171
0.318,0.481,-0.165
0.318,0.476,-0.184
0.324,0.483,-0.177
0.319,0.479,-0.179
0.319,0.473,-0.178
0.322,0.472,-0.18
0.331,0.478,-0.181
0.322,0.469,-0.182
0.328,0.471,-0.184
0.332,0.465,-0.194
0.341,0.456,-0.194
0.35,0.448,-0.203
0.352,0.435,-0.203
0.367,0.431,-0.224
0.369,0.42,-0.232
0.379,0.41,-0.232
0.386,0.408,-0.246
0.393,0.399,-0.262
0.385,0.397,-0.264
0.401,0.388,-0.275
0.407,0.387,-0.293
0.411,0.384,-0.285
0.407,0.38,-0.292
0.41,0.375,-0.311
0.415,0.381,-0.314
0.424,0.373,-0.321
0.417,0.375,-0.328
0.427,0.367,-0.345
0.424,0.369,-0.34
0.422,0.367,-0.35
0.416,0.361,-0.346
0.426,0.365,-0.35
0.43,0.367,-0.359
0.435,0.362,-0.366
0.424,0.369,-0.378
0.426,0.365,-0.373
0.429,0.369,-0.361
0.428,0.365,-0.38
0.427,0.361,-0.369
0.424,0.364,-0.378
0.425,0.362,-0.369
0.421,0.363,-0.377
0.421,0.362,-0.379
0.422,0.369,-0.379
0.418,0.36,-0.38
0.423,0.363,-0.389
0.416,0.37,-0.389
0.416,0.368,-0.393
0.42,0.375,-0.415
0.42,0.376,-0.417
0.413,0.386,-0.426
0.4,0.399,-0.433
0.402,0.393,-0.441
0.393,0.408,-0.439
0.392,0.416,-0.439
0.387,0.421,-0.455
0.379,0.424,-0.45
0.373,0.428,-0.459
0.365,0.434,-0.466
0.362,0.44,-0.463
0.348,0.455,-0.469
0.344,0.461,-0.473
0.336,0.47,-0.47
0.329,0.479,-0.468
0.322,0.485,-0.473
0.316,0.479,-0.47
0.305,0.49,-0.472
0.307,0.498,-0.474
0.307,0.498,-0.481
0.304,0.494,-0.468
0.294,0.502,-0.48
0.304,0.506,-0.483
0.302,0.504,-0.48
0.301,0.502,-0.481
0.299,0.504,-0.484
0.296,0.511,-0.468
0.293,0.506,-0.475
0.299,0.507,-0.48
0.288,0.514,-0.48
0.288,0.508,-0.48
0.282,0.524,-0.479
0.267,0.529,-0.47
0.256,0.539,-0.48
0.257,0.556,-0.479
0.243,0.57,-0.473
0.234,0.581,-0.472
0.215,0.592,-0.454
0.206,0.61,-0.465
0.186,0.618,-0.466
0.171,0.637,-0.46
0.16,0.644,-0.455
0.158,0.652,-0.442
0.142,0.665,-0.439
0.148,0.673,-0.441
0.139,0.689,-0.425
0.125,0.695,-0.431
0.118,0.711,-0.418
0.101,0.723,-0.415
0.097,0.723,-0.4
0.089,0.735,-0.412
0.072,0.748,-0.413
0.07,0.752,-0.383
0.068,0.756,-0.393
0.062,0.755,-0.381
0.061,0.765,-0.375
0.056,0.764,-0.377
0.06,0.768,-0.379
0.055,0.766,-0.372
0.051,0.776,-0.381
0.05,0.767,-0.381
0.055,0.777,-0.369
0.051,0.774,-0.367
0.05,0.775,-0.371
0.052,0.78,-0.369
0.045,0.783,-0.37
0.035,0.786,-0.362
0.028,0.795,-0.352
0.02,0.806,-0.349
0.016,0.814,-0.337
0.01,0.821,-0.319
-0.004,0.83,-0.314
-0.013,0.834,-0.305
-0.02,0.84,-0.301
-0.028,0.85,-0.283
-0.033,0.858,-0.278
-0.028,0.858,-0.261
-0.044,0.872,-0.254
-0.043,0.871,-0.254
-0.036,0.868,-0.239
-0.041,0.879,-0.24
-0.052,0.882,-0.226
-0.058,0.875,-0.223
-0.051,0.883,-0.223
-0.05,0.88,-0.193
-0.049,0.878,-0.209
-0.051,0.876,-0.19
-0.057,0.878,-0.195
-0.057,0.876,-0.192
-0.046,0.878,-0.196
-0.051,0.886,-0.175
-0.05,0.883,-0.181
-0.053,0.875,-0.184
-0.054,0.879,-0.183
-0.048,0.881,-0.185
-0.051,0.881,-0.189
-0.049,0.891,-0.188
-0.048,0.885,-0.175
-0.053,0.885,-0.177
-0.048,0.88,-0.172
-0.044,0.876,-0.166
-0.044,0.873,-0.149
-0.044,0.872,-0.136
-0.037,0.87,-0.143
-0.04,0.859,-0.13
-0.026,0.854,-0.12
-0.019,0.857,-0.122
-0.03,0.849,-0.118
-0.015,0.837,-0.103
-0.008,0.831,-0.094
-0.006,0.832,-0.094
-0.001,0.819,-0.09
0.011,0.816,-0.089
0.023,0.803,-0.086
0.024,0.796,-0.092
0.034,0.785,-0.091
0.041,0.777,-0.084
0.042,0.767,-0.082
0.06,0.768,-0.086
0.06,0.757,-0.083
0.072,0.756,-0.088
0.063,0.746,-0.081
0.075,0.745,-0.085
0.07,0.748,-0.083
0.074,0.74,-0.083
0.075,0.746,-0.078
0.073,0.745,-0.082
0.071,0.741,-0.078
0.074,0.744,-0.081
0.074,0.739,-0.083
0.069,0.74,-0.088
0.079,0.737,-0.08
0.084,0.737,-0.082
0.089,0.727,-0.084
0.094,0.726,-0.084
0.098,0.709,-0.079
0.112,0.702,-0.086
0.129,0.689,-0.088
0.13,0.681,-0.087
0.146,0.66,-0.088
0.158,0.65,-0.092
0.176,0.642,-0.092
0.179,0.627,-0.097
0.203,0.62,-0.091
0.203,0.611,-0.111
0.21,0.596,-0.116
0.228,0.583,-0.112
0.238,0.569,-0.126
0.253,0.56,-0.133
0.261,0.546,-0.121
0.269,0.538,-0.14
0.283,0.533,-0.131
0.285,0.522,-0.152
0.286,0.517,-0.153
0.294,0.505,-0.155
0.3,0.498,-0.163
0.308,0.488,-0.161
0.314,0.483,-0.163
0.317,0.484,-0.168
0.316,0.481,-0.164
0.317,0.483,-0.17
0.323,0.486,-0.179
0.329,0.472,-0.17
0.33,0.477,-0.174
0.335,0.477,-0.18
0.326,0.471,-0.193
0.332,0.475,-0.196
0.329,0.473,-0.187
0.336,0.463,-0.198
0.341,0.452,-0.202
0.345,0.449,-0.208
0.357,0.431,-0.214
0.365,0.43,-0.229
0.368,0.416,-0.236
0.38,0.404,-0.248
0.386,0.405,-0.257
0.392,0.402,-0.259
0.397,0.397,-0.268
0.399,0.39,-0.273
0.408,0.383,-0.291
0.414,0.388,-0.279
0.405,0.38,-0.292
0.42,0.376,-0.309
0.418,0.381,-0.304
0.421,0.364,-0.317
0.421,0.372,-0.32
0.424,0.368,-0.326
0.43,0.364,-0.343
0.432,0.367,-0.339
0.428,0.369,-0.346
0.431,0.37,-0.353
0.424,0.364,-0.362
0.423,0.364,-0.373
0.423,0.369,-0.357
0.427,0.371,-0.365
0.432,0.374,-0.374
0.427,0.371,-0.379
0.425,0.366,-0.375
0.43,0.365,-0.374
0.429,0.372,-0.383
0.426,0.374,-0.379
0.42,0.367,-0.391
0.43,0.366,-0.383
0.425,0.366,-0.39
0.428,0.371,-0.393
0.422,0.368,-0.399
0.423,0.373,-0.412
0.421,0.375,-0.42
0.415,0.384,-0.43
0.415,0.388,-0.431
0.406,0.396,-0.434
0.399,0.391,-0.447
0.396,0.404,-0.445
0.386,0.412,-0.455
0.381,0.42,-0.466
0.378,0.428,-0.459
0.371,0.431,-0.468
0.359,0.442,-0.466
0.354,0.452,-0.473
0.354,0.452,-0.467
0.34,0.464,-0.478
0.34,0.468,-0.475
0.327,0.482,-0.485
0.319,0.487,-0.479
0.319,0.489,-0.486
0.308,0.499,-0.487
0.307,0.496,-0.482
0.304,0.507,-0.484
0.303,0.51,-0.49
0.299,0.507,-0.484
0.307,0.511,-0.481
0.305,0.511,-0.473
0.297,0.507,-0.477
0.305,0.514,-0.481
0.299,0.51,-0.481
0.304,0.505,-0.488
0.299,0.505,-0.486
0.302,0.513,-0.487
0.292,0.518,-0.491
0.281,0.524,-0.482
0.271,0.536,-0.499
0.259,0.544,-0.48
0.256,0.559,-0.486
0.246,0.574,-0.47
0.235,0.588,-0.482
0.222,0.596,-0.468
0.214,0.609,-0.468
0.205,0.619,-0.466
0.185,0.639,-0.466
0.179,0.643,-0.456
0.179,0.659,-0.451
0.152,0.674,-0.447
0.151,0.684,-0.442
0.129,0.691,-0.44
0.121,0.704,-0.427
0.112,0.714,-0.416
0.11,0.727,-0.414
0.09,0.736,-0.407
0.089,0.738,-0.407
0.082,0.743,-0.41
0.074,0.753,-0.396
0.061,0.761,-0.385
0.071,0.761,-0.385
0.059,0.772,-0.376
0.054,0.768,-0.379
0.049,0.772,-0.387
0.056,0.775,-0.386
0.057,0.774,-0.383
0.054,0.776,-0.382
0.055,0.773,-0.381
0.049,0.777,-0.372
0.044,0.775,-0.378
0.049,0.788,-0.372
0.041,0.787,-0.372
0.043,0.792,-0.365
0.031,0.799,-0.357
0.028,0.812,-0.363
0.017,0.819,-0.345
0.004,0.832,-0.319
-0.008,0.84,-0.307
-0.016,0.842,-0.306
-0.016,0.855,-0.296
-0.028,0.857,-0.288
-0.034,0.862,-0.283
-0.036,0.863,-0.262
-0.039,0.871,-0.266
-0.039,0.869,-0.252
-0.046,0.878,-0.25
-0.048,0.875,-0.236
-0.052,0.879,-0.232
-0.055,0.885,-0.216
-0.053,0.879,-0.211
-0.049,0.881,-0.211
