data1,data2,data3
-0.129,0.847,-0.285
-0.122,0.846,-0.29
-0.12,0.849,-0.293
-0.127,0.841,-0.289
-0.119,0.846,-0.284
-0.116,0.84,-0.296
-0.118,0.845,-0.293
-0.119,0.846,-0.299
-0.12,0.841,-0.306
-0.126,0.845,-0.292
-0.128,0.846,-0.313
-0.126,0.847,-0.295
-0.118,0.849,-0.318
-0.125,0.841,-0.315
-0.12,0.846,-0.314
-0.124,0.847,-0.319
-0.121,0.847,-0.323
-0.117,0.848,-0.316
-0.122,0.847,-0.318
-0.12,0.852,-0.318
-0.126,0.847,-0.317
-0.119,0.853,-0.32
-0.118,0.849,-0.327
-0.118,0.855,-0.324
-0.111,0.854,-0.328
-0.122,0.853,-0.324
-0.122,0.861,-0.34
-0.116,0.862,-0.341
-0.119,0.858,-0.33
-0.111,0.863,-0.34
-0.112,0.858,-0.334
-0.121,0.86,-0.342
-0.105,0.869,-0.337
-0.112,0.864,-0.337
-0.116,0.866,-0.33
-0.115,0.867,-0.339
-0.118,0.874,-0.337
-0.118,0.878,-0.329
-0.119,0.875,-0.342
-0.114,0.879,-0.336
-0.117,0.89,-0.339
-0.123,0.881,-0.337
-0.118,0.888,-0.343
-0.115,0.892,-0.331
-0.117,0.89,-0.346
-0.112,0.894,-0.345
-0.113,0.899,-0.342
-0.107,0.903,-0.341
-0.11,0.9,-0.346
-0.113,0.902,-0.349
-0.105,0.91,-0.348
-0.1,0.911,-0.345
-0.106,0.904,-0.35
-0.105,0.907,-0.345
-0.104,0.914,-0.345
-0.103,0.911,-0.348
-0.102,0.917,-0.346
-0.104,0.915,-0.343
-0.098,0.916,-0.348
-0.107,0.918,-0.343
-0.103,0.924,-0.349
-0.096,0.924,-0.347
-0.103,0.925,-0.347
-0.107,0.922,-0.357
-0.105,0.925,-0.361
-0.106,0.935,-0.349
-0.099,0.937,-0.345
-0.098,0.937,-0.352
-0.099,0.932,-0.343
-0.097,0.94,-0.351
-0.096,0.947,-0.357
-0.093,0.937,-0.347
-0.1,0.936,-0.346
-0.094,0.943,-0.349
-0.09,0.944,-0.345
-0.094,0.946,-0.35
-0.1,0.944,-0.34
-0.101,0.952,-0.356
-0.098,0.948,-0.346
-0.102,0.944,-0.354
-0.105,0.942,-0.341
-0.088,0.956,-0.344
-0.097,0.951,-0.343
-0.092,0.952,-0.352
-0.087,0.96,-0.341
-0.099,0.954,-0.339
-0.09,0.949,-0.345
-0.09,0.958,-0.343
-0.101,0.956,-0.349
-0.089,0.959,-0.344
-0.089,0.957,-0.338
-0.094,0.958,-0.338
-0.099,0.958,-0.346
-0.089,0.964,-0.336
-0.091,0.952,-0.339
-0.096,0.964,-0.338
-0.087,0.962,-0.338
-0.09,0.966,-0.341
-0.097,0.961,-0.334
-0.085,0.967,-0.335
-0.098,0.969,-0.332
-0.1,0.966,-0.333
-0.088,0.959,-0.326
-0.092,0.973,-0.337
-0.093,0.963,-0.338
-0.086,0.961,-0.337
-0.089,0.967,-0.326
-0.086,0.977,-0.329
-0.082,0.984,-0.328
-0.088,0.97,-0.328
-0.091,0.972,-0.329
-0.086,0.97,-0.338
-0.094,0.965,-0.319
-0.092,0.966,-0.332
-0.088,0.968,-0.332
-0.085,0.966,-0.328
-0.088,0.97,-0.334
-0.085,0.965,-0.322
-0.083,0.965,-0.325
-0.078,0.958,-0.33
-0.078,0.956,-0.33
-0.085,0.961,-0.334
-0.077,0.961,-0.334
-0.083,0.956,-0.325
-0.084,0.965,-0.323
-0.085,0.966,-0.323
-0.08,0.963,-0.323
-0.083,0.96,-0.326
-0.077,0.959,-0.32
-0.082,0.959,-0.318
-0.081,0.961,-0.33
-0.08,0.969,-0.333
-0.074,0.967,-0.323
-0.078,0.969,-0.327
-0.087,0.968,-0.33
-0.083,0.966,-0.317
-0.088,0.969,-0.318
-0.077,0.97,-0.32
-0.081,0.965,-0.32
-0.084,0.966,-0.327
-0.077,0.97,-0.321
-0.072,0.961,-0.319
-0.082,0.958,-0.331
-0.081,0.97,-0.322
-0.07,0.966,-0.324
-0.077,0.971,-0.325
-0.078,0.965,-0.331
-0.075,0.968,-0.315
-0.083,0.972,-0.321
-0.077,0.968,-0.322
-0.083,0.974,-0.317
-0.072,0.971,-0.33
-0.08,0.963,-0.334
-0.076,0.977,-0.328
-0.078,0.975,-0.321
-0.077,0.969,-0.33
-0.072,0.976,-0.327
-0.075,0.977,-0.335
-0.07,0.981,-0.337
-0.075,0.981,-0.333
-0.08,0.983,-0.326
-0.078,0.987,-0.32
-0.072,0.986,-0.336
-0.082,0.985,-0.337
-0.07,0.994,-0.334
-0.063,0.993,-0.334
-0.068,0.992,-0.324
-0.077,0.996,-0.32
-0.073,0.996,-0.323
-0.067,1.001,-0.334
-0.055,1.006,-0.322
-0.065,1.005,-0.328
-0.072,1.006,-0.338
-0.058,1.006,-0.321
-0.065,1.005,-0.327
-0.066,1.005,-0.327
-0.069,1.008,-0.323
-0.066,1.012,-0.314
-0.07,1.008,-0.316
-0.07,1.006,-0.324
-0.066,1.005,-0.309
-0.075,1.004,-0.307
-0.076,1.004,-0.309
-0.074,1.009,-0.301
-0.068,1.006,-0.297
-0.071,1.008,-0.294
-0.071,1.0,-0.279
-0.073,1.0,-0.284
-0.067,1.003,-0.276
-0.073,0.999,-0.277
-0.072,0.998,-0.271
-0.074,0.993,-0.277
-0.07,0.992,-0.272
-0.075,0.98,-0.27
-0.074,0.975,-0.267
-0.073,0.977,-0.273
-0.068,0.974,-0.265
-0.073,0.972,-0.26
-0.075,0.965,-0.26
-0.08,0.96,-0.258
-0.077,0.956,-0.257
-0.083,0.956,-0.257
-0.078,0.952,-0.254
-0.079,0.954,-0.249
-0.08,0.945,-0.251
-0.079,0.938,-0.261
-0.08,0.935,-0.249
-0.086,0.938,-0.254
-0.089,0.926,-0.247
-0.08,0.932,-0.247
-0.082,0.927,-0.246
-0.077,0.929,-0.245
-0.084,0.927,-0.245
-0.082,0.92,-0.245
-0.084,0.921,-0.247
-0.079,0.915,-0.236
-0.085,0.917,-0.239
-0.088,0.905,-0.248
-0.082,0.913,-0.244
-0.081,0.911,-0.242
-0.085,0.908,-0.245
-0.087,0.891,-0.239
-0.086,0.899,-0.248
-0.091,0.889,-0.231
-0.089,0.885,-0.239
-0.091,0.891,-0.237
-0.089,0.882,-0.227
-0.098,0.885,-0.235
-0.099,0.875,-0.232
-0.099,0.878,-0.233
-0.099,0.877,-0.232
-0.101,0.869,-0.236
-0.099,0.862,-0.234
-0.096,0.864,-0.227
-0.106,0.866,-0.235
-0.092,0.851,-0.224
-0.099,0.856,-0.239
-0.101,0.849,-0.224
-0.099,0.852,-0.221
-0.106,0.844,-0.231
-0.109,0.841,-0.238
-0.105,0.831,-0.232
-0.104,0.826,-0.224
-0.105,0.826,-0.234
-0.112,0.829,-0.228
-0.109,0.823,-0.247
-0.113,0.818,-0.238
-0.118,0.815,-0.23
-0.116,0.808,-0.246
-0.107,0.814,-0.241
-0.113,0.809,-0.242
-0.113,0.795,-0.243
-0.11,0.802,-0.242
-0.122,0.798,-0.243
-0.118,0.792,-0.242
-0.118,0.792,-0.246
-0.115,0.788,-0.241
-0.12,0.787,-0.248
-0.121,0.783,-0.249
-0.12,0.795,-0.257
-0.122,0.785,-0.24
-0.12,0.783,-0.252
-0.133,0.781,-0.257
-0.125,0.776,-0.255
-0.133,0.78,-0.262
-0.125,0.775,-0.254
-0.125,0.773,-0.261
-0.127,0.763,-0.259
-0.125,0.768,-0.262
-0.132,0.765,-0.271
-0.129,0.772,-0.259
-0.124,0.755,-0.268
-0.129,0.757,-0.259
-0.127,0.767,-0.269
-0.133,0.756,-0.264
-0.13,0.757,-0.263
-0.125,0.76,-0.267
-0.129,0.761,-0.27
-0.137,0.756,-0.268
-0.129,0.757,-0.273
-0.127,0.753,-0.276
-0.136,0.761,-0.271
-0.136,0.754,-0.277
-0.134,0.752,-0.275
-0.136,0.756,-0.279
-0.134,0.757,-0.284
-0.142,0.749,-0.287
-0.142,0.762,-0.296
-0.132,0.758,-0.287
-0.138,0.754,-0.297
-0.137,0.761,-0.296
-0.14,0.758,-0.29
-0.139,0.758,-0.299
-0.147,0.758,-0.292
-0.142,0.753,-0.299
-0.141,0.753,-0.301
-0.141,0.755,-0.301
-0.144,0.753,-0.301
-0.139,0.757,-0.303
-0.146,0.754,-0.303
-0.143,0.763,-0.301
-0.142,0.751,-0.311
-0.145,0.763,-0.308
-0.14,0.754,-0.305
-0.15,0.756,-0.297
-0.142,0.758,-0.309
-0.148,0.763,-0.309
-0.144,0.758,-0.313
-0.14,0.766,-0.314
-0.149,0.763,-0.314
-0.137,0.757,-0.306
-0.145,0.764,-0.305
-0.148,0.766,-0.313
-0.137,0.771,-0.312
-0.139,0.772,-0.311
-0.141,0.779,-0.318
-0.14,0.771,-0.326
-0.141,0.77,-0.313
-0.145,0.774,-0.319
-0.138,0.781,-0.32
-0.138,0.78,-0.335
-0.133,0.772,-0.318
-0.145,0.771,-0.335
-0.139,0.777,-0.316
-0.134,0.784,-0.332
-0.145,0.782,-0.341
-0.14,0.78,-0.335
-0.134,0.781,-0.323
-0.135,0.786,-0.341
-0.135,0.79,-0.335
-0.136,0.786,-0.331
-0.137,0.79,-0.342
-0.136,0.792,-0.333
-0.136,0.795,-0.34
-0.134,0.795,-0.327
-0.138,0.787,-0.332
-0.134,0.792,-0.34
-0.137,0.803,-0.331
-0.138,0.8,-0.325
-0.139,0.798,-0.346
-0.135,0.794,-0.332
-0.138,0.794,-0.339
-0.136,0.794,-0.345
-0.134,0.797,-0.342
-0.135,0.803,-0.353
-0.138,0.808,-0.353
-0.132,0.809,-0.345
-0.132,0.807,-0.341
-0.134,0.817,-0.338
-0.136,0.807,-0.353
-0.129,0.818,-0.354
-0.137,0.816,-0.353
-0.13,0.822,-0.348
-0.125,0.822,-0.353
-0.135,0.825,-0.36
-0.138,0.82,-0.355
-0.128,0.824,-0.35
-0.127,0.829,-0.363
-0.136,0.825,-0.357
-0.129,0.835,-0.354
-0.127,0.829,-0.356
-0.127,0.837,-0.359
-0.125,0.84,-0.355
-0.132,0.838,-0.363
-0.123,0.841,-0.36
-0.128,0.842,-0.35
-0.127,0.844,-0.351
-0.12,0.85,-0.375
-0.124,0.85,-0.362
-0.119,0.852,-0.356
-0.122,0.852,-0.357
-0.123,0.854,-0.357
