0,1,2
-0.022,0.89,-0.225
-0.029,0.735,-0.249
-0.035,0.732,-0.255
-0.037,0.723,-0.251
-0.042,0.721,-0.262
-0.038,0.727,-0.265
-0.039,0.724,-0.265
-0.036,0.719,-0.258
-0.039,0.715,-0.269
-0.037,0.717,-0.283
-0.03,0.718,-0.283
-0.037,0.717,-0.282
-0.043,0.717,-0.304
-0.037,0.722,-0.292
-0.042,0.723,-0.314
-0.041,0.731,-0.31
-0.031,0.73,-0.323
-0.044,0.737,-0.333
-0.036,0.746,-0.342
-0.032,0.749,-0.329
-0.034,0.755,-0.343
-0.036,0.775,-0.349
-0.034,0.78,-0.372
-0.026,0.794,-0.375
-0.024,0.807,-0.382
-0.025,0.834,-0.408
-0.025,0.854,-0.422
-0.014,0.882,-0.419
-0.016,0.904,-0.436
0.0,0.942,-0.449
-0.001,0.975,-0.448
0.009,1.005,-0.449
0.017,1.028,-0.432
0.026,1.015,-0.42
0.022,1.061,-0.406
0.037,1.076,-0.39
0.021,1.077,-0.372
0.034,1.079,-0.354
0.033,1.067,-0.342
0.031,1.072,-0.339
0.023,1.058,-0.332
0.029,1.056,-0.315
0.015,1.046,-0.314
0.017,1.046,-0.311
0.013,1.044,-0.318
0.015,1.034,-0.312
0.004,1.036,-0.302
0.012,1.034,-0.312
0.009,1.022,-0.292
0.01,1.027,-0.304
0.01,1.015,-0.298
0.011,1.014,-0.285
0.004,1.013,-0.3
0.003,1.02,-0.304
-0.005,1.009,-0.294
-0.007,0.999,-0.283
0.003,0.989,-0.279
0.001,0.982,-0.286
-0.006,0.988,-0.273
-0.01,0.996,-0.278
-0.007,0.981,-0.265
-0.006,0.973,-0.263
-0.005,0.966,-0.25
-0.001,0.958,-0.253
-0.01,0.951,-0.255
-0.01,0.948,-0.247
-0.017,0.928,-0.247
-0.015,0.927,-0.25
-0.011,0.913,-0.243
-0.009,0.901,-0.236
-0.017,0.897,-0.232
-0.02,0.883,-0.221
-0.018,0.871,-0.232
-0.023,0.86,-0.224
-0.009,0.857,-0.22
-0.022,0.837,-0.239
-0.021,0.834,-0.217
-0.015,0.822,-0.226
-0.018,0.807,-0.218
-0.02,0.796,-0.231
-0.019,0.792,-0.228
-0.019,0.782,-0.224
-0.029,0.773,-0.229
-0.031,0.766,-0.24
-0.031,0.758,-0.257
-0.03,0.751,-0.238
-0.025,0.745,-0.241
-0.035,0.747,-0.242
-0.037,0.747,-0.244
-0.041,0.731,-0.247
-0.032,0.729,-0.26
-0.038,0.724,-0.262
-0.034,0.722,-0.266
-0.033,0.724,-0.259
-0.034,0.722,-0.279
-0.044,0.709,-0.27
-0.04,0.717,-0.275
-0.04,0.721,-0.284
-0.046,0.72,-0.283
-0.04,0.721,-0.287
-0.045,0.717,-0.292
-0.048,0.728,-0.302
-0.044,0.735,-0.308
-0.039,0.74,-0.319
-0.036,0.74,-0.327
-0.036,0.75,-0.327
-0.036,0.747,-0.325
-0.035,0.757,-0.34
-0.037,0.762,-0.332
-0.027,0.77,-0.349
-0.024,0.781,-0.372
-0.026,0.8,-0.373
-0.025,0.804,-0.379
-0.019,0.831,-0.408
-0.018,0.86,-0.424
-0.007,0.891,-0.43
0.001,0.93,-0.448
0.018,0.966,-0.442
0.023,0.984,-0.446
0.027,1.022,-0.453
0.032,1.042,-0.436
0.031,1.06,-0.412
0.027,1.066,-0.4
0.039,1.079,-0.38
0.033,1.078,-0.366
0.031,1.074,-0.356
0.032,1.072,-0.346
0.023,1.062,-0.325
0.026,1.063,-0.34
0.025,1.053,-0.329
0.025,1.051,-0.315
0.019,1.038,-0.315
0.02,1.039,-0.318
0.013,1.037,-0.322
0.011,1.026,-0.304
0.012,1.027,-0.306
0.01,1.024,-0.307
0.009,1.027,-0.3
0.007,1.023,-0.298
0.008,1.022,-0.305
0.002,1.016,-0.309
0.004,1.015,-0.298
-0.001,1.002,-0.292
-0.002,1.008,-0.286
0.0,0.999,-0.279
0.002,0.997,-0.292
0.004,0.992,-0.274
-0.004,0.992,-0.269
-0.001,0.982,-0.27
-0.002,0.973,-0.265
-0.006,0.963,-0.26
-0.009,0.964,-0.258
-0.015,0.956,-0.255
-0.006,0.943,-0.251
-0.007,0.941,-0.264
0.0,0.932,-0.252
-0.014,0.922,-0.244
-0.009,0.908,-0.241
-0.006,0.897,-0.238
-0.001,0.891,-0.237
-0.009,0.877,-0.238
-0.011,0.867,-0.235
-0.009,0.855,-0.225
-0.016,0.842,-0.225
-0.019,0.835,-0.223
-0.02,0.831,-0.227
-0.019,0.812,-0.229
-0.026,0.806,-0.216
-0.024,0.792,-0.222
-0.023,0.793,-0.233
-0.029,0.781,-0.223
-0.024,0.769,-0.239
-0.029,0.77,-0.229
-0.018,0.763,-0.246
-0.032,0.755,-0.239
-0.034,0.743,-0.238
-0.032,0.735,-0.238
-0.029,0.737,-0.261
-0.037,0.732,-0.254
-0.039,0.731,-0.252
-0.04,0.721,-0.252
-0.03,0.72,-0.249
-0.034,0.716,-0.269
-0.035,0.707,-0.261
-0.034,0.715,-0.272
-0.037,0.724,-0.282
-0.039,0.716,-0.296
-0.042,0.722,-0.281
-0.032,0.718,-0.301
-0.035,0.727,-0.307
-0.038,0.736,-0.303
-0.04,0.723,-0.331
-0.037,0.727,-0.31
-0.032,0.742,-0.321
-0.034,0.745,-0.324
-0.035,0.758,-0.333
-0.027,0.759,-0.34
-0.026,0.766,-0.343
-0.031,0.778,-0.351
-0.029,0.787,-0.357
-0.03,0.809,-0.387
-0.02,0.829,-0.393
-0.027,0.846,-0.414
-0.02,0.872,-0.423
-0.02,0.906,-0.419
-0.011,0.943,-0.439
-0.008,0.974,-0.431
-0.009,1.01,-0.433
-0.004,1.048,-0.419
0.003,1.058,-0.401
0.01,1.068,-0.388
0.012,1.077,-0.358
0.008,1.072,-0.346
0.015,1.066,-0.334
0.009,1.063,-0.32
0.012,1.041,-0.31
0.007,1.036,-0.309
0.008,1.026,-0.309
0.002,1.018,-0.291
-0.002,1.011,-0.284
0.005,0.998,-0.273
-0.003,0.989,-0.293
-0.008,0.987,-0.288
-0.003,0.984,-0.286
-0.001,0.971,-0.292
-0.002,0.975,-0.273
-0.01,0.974,-0.277
-0.0,0.961,-0.284
-0.006,0.963,-0.292
-0.012,0.957,-0.279
-0.013,0.954,-0.283
-0.011,0.943,-0.279
-0.015,0.943,-0.278
-0.008,0.941,-0.273
-0.011,0.942,-0.27
-0.01,0.931,-0.277
-0.018,0.928,-0.273
-0.011,0.926,-0.268
-0.018,0.918,-0.262
-0.017,0.916,-0.272
-0.016,0.907,-0.264
-0.015,0.909,-0.266
-0.012,0.897,-0.248
-0.015,0.894,-0.258
-0.025,0.881,-0.249
-0.018,0.872,-0.25
-0.02,0.873,-0.252
-0.02,0.861,-0.243
-0.02,0.862,-0.256
-0.018,0.847,-0.251
-0.013,0.833,-0.252
-0.018,0.84,-0.25
-0.025,0.828,-0.246
-0.018,0.825,-0.239
-0.026,0.817,-0.245
-0.024,0.809,-0.254
-0.031,0.805,-0.249
-0.026,0.802,-0.261
-0.03,0.797,-0.261
-0.026,0.791,-0.247
-0.028,0.793,-0.252
-0.024,0.782,-0.261
-0.033,0.78,-0.262
-0.031,0.776,-0.267
-0.031,0.778,-0.283
-0.03,0.771,-0.277
-0.034,0.771,-0.268
-0.032,0.768,-0.283
-0.025,0.77,-0.281
-0.038,0.766,-0.279
-0.039,0.762,-0.296
-0.039,0.764,-0.283
-0.039,0.771,-0.287
-0.036,0.771,-0.286
-0.041,0.774,-0.297
-0.034,0.775,-0.293
-0.034,0.768,-0.312
-0.033,0.776,-0.314
-0.04,0.781,-0.322
-0.033,0.78,-0.322
-0.033,0.791,-0.319
-0.033,0.793,-0.324
-0.035,0.794,-0.325
-0.037,0.8,-0.333
-0.037,0.812,-0.347
-0.034,0.816,-0.348
-0.039,0.837,-0.365
-0.045,0.855,-0.371
-0.033,0.862,-0.386
-0.027,0.888,-0.393
-0.026,0.914,-0.41
-0.019,0.947,-0.42
-0.02,0.98,-0.427
-0.015,1.011,-0.417
-0.011,1.03,-0.418
0.0,1.054,-0.384
0.0,1.066,-0.369
0.007,1.072,-0.361
0.01,1.067,-0.342
0.006,1.064,-0.335
0.023,1.057,-0.316
0.011,1.053,-0.316
0.003,1.039,-0.309
