data1,data2,data3
0.827,1.032,-0.253
0.821,1.018,-0.252
0.827,1.001,-0.259
0.824,0.981,-0.246
0.819,0.965,-0.246
0.834,0.952,-0.242
0.828,0.933,-0.238
0.827,0.926,-0.236
0.818,0.914,-0.231
0.836,0.9,-0.228
0.83,0.886,-0.231
0.833,0.867,-0.231
0.836,0.859,-0.223
0.833,0.845,-0.226
0.832,0.828,-0.229
0.827,0.811,-0.231
0.82,0.789,-0.222
0.826,0.772,-0.231
0.822,0.759,-0.226
0.83,0.742,-0.227
0.814,0.733,-0.218
0.822,0.727,-0.217
0.823,0.713,-0.229
0.815,0.697,-0.222
0.818,0.682,-0.234
0.82,0.668,-0.235
0.819,0.662,-0.236
0.804,0.652,-0.231
0.814,0.633,-0.233
0.807,0.632,-0.258
0.81,0.614,-0.25
0.812,0.608,-0.265
0.803,0.603,-0.273
0.804,0.599,-0.273
0.802,0.588,-0.261
0.799,0.585,-0.278
0.795,0.583,-0.282
0.792,0.575,-0.289
0.8,0.57,-0.286
0.792,0.562,-0.293
0.795,0.558,-0.295
0.792,0.556,-0.286
0.787,0.55,-0.296
0.789,0.555,-0.296
0.789,0.547,-0.316
0.787,0.545,-0.304
0.783,0.55,-0.31
0.785,0.549,-0.306
0.786,0.548,-0.307
0.774,0.548,-0.302
0.78,0.541,-0.307
0.779,0.543,-0.315
0.771,0.543,-0.309
0.783,0.537,-0.316
0.78,0.531,-0.308
0.784,0.538,-0.316
0.778,0.529,-0.317
0.785,0.524,-0.318
0.781,0.526,-0.314
0.781,0.515,-0.312
0.781,0.512,-0.324
0.791,0.517,-0.31
0.781,0.51,-0.304
0.787,0.5,-0.31
0.784,0.497,-0.304
0.784,0.487,-0.306
0.788,0.495,-0.293
0.781,0.492,-0.289
0.782,0.484,-0.292
0.78,0.478,-0.291
0.78,0.476,-0.286
0.777,0.473,-0.285
0.78,0.462,-0.291
0.781,0.46,-0.281
0.78,0.451,-0.279
0.784,0.439,-0.28
0.782,0.43,-0.279
0.783,0.424,-0.271
0.779,0.407,-0.273
0.773,0.404,-0.271
0.776,0.395,-0.271
0.775,0.38,-0.279
0.781,0.37,-0.262
0.774,0.365,-0.266
0.773,0.349,-0.273
0.773,0.341,-0.262
0.77,0.336,-0.268
0.773,0.322,-0.272
0.762,0.317,-0.258
0.764,0.301,-0.273
0.763,0.303,-0.261
0.765,0.286,-0.258
0.766,0.28,-0.265
0.76,0.27,-0.261
0.752,0.258,-0.262
0.756,0.239,-0.264
0.76,0.234,-0.274
0.756,0.222,-0.263
0.751,0.218,-0.271
0.742,0.206,-0.272
0.755,0.201,-0.267
0.758,0.184,-0.284
0.748,0.182,-0.271
0.743,0.176,-0.275
0.752,0.168,-0.269
0.745,0.158,-0.277
0.735,0.16,-0.286
0.744,0.148,-0.291
0.737,0.137,-0.291
0.736,0.124,-0.298
0.74,0.125,-0.299
0.735,0.119,-0.294
0.73,0.112,-0.288
0.726,0.112,-0.308
0.724,0.108,-0.307
0.725,0.101,-0.311
0.726,0.094,-0.31
0.734,0.091,-0.306
0.724,0.083,-0.321
0.726,0.08,-0.327
0.722,0.075,-0.32
0.716,0.072,-0.329
0.717,0.064,-0.329
0.711,0.058,-0.34
0.717,0.058,-0.34
0.711,0.053,-0.342
0.712,0.05,-0.355
0.71,0.045,-0.354
0.708,0.041,-0.351
0.707,0.039,-0.353
0.711,0.041,-0.359
0.703,0.032,-0.359
0.704,0.028,-0.377
0.703,0.03,-0.37
0.704,0.025,-0.386
0.707,0.025,-0.375
0.706,0.022,-0.383
0.713,0.021,-0.389
0.699,0.026,-0.4
0.702,0.019,-0.412
0.704,0.013,-0.417
0.702,0.009,-0.413
0.703,0.019,-0.421
0.701,0.012,-0.417
0.691,0.016,-0.436
0.699,0.015,-0.429
0.698,0.01,-0.44
0.696,0.012,-0.435
0.698,0.009,-0.443
0.692,0.011,-0.45
0.696,0.017,-0.444
0.699,0.017,-0.457
0.702,0.024,-0.461
0.695,0.025,-0.467
0.687,0.016,-0.462
0.689,0.017,-0.476
0.693,0.019,-0.471
0.695,0.023,-0.492
0.69,0.023,-0.488
0.694,0.028,-0.493
0.693,0.033,-0.498
0.692,0.029,-0.502
0.692,0.037,-0.502
0.69,0.028,-0.5
0.689,0.039,-0.518
0.692,0.034,-0.514
0.689,0.048,-0.525
0.685,0.046,-0.531
0.687,0.046,-0.531
0.683,0.054,-0.53
0.69,0.056,-0.535
0.694,0.061,-0.536
0.697,0.069,-0.539
0.687,0.065,-0.549
0.689,0.063,-0.557
0.698,0.071,-0.546
0.69,0.077,-0.557
0.688,0.084,-0.551
0.694,0.092,-0.564
0.699,0.101,-0.564
0.689,0.094,-0.569
0.699,0.1,-0.572
0.697,0.112,-0.58
0.695,0.11,-0.591
0.695,0.129,-0.584
0.699,0.123,-0.593
0.695,0.13,-0.599
0.695,0.145,-0.593
0.697,0.152,-0.616
0.696,0.164,-0.619
0.695,0.171,-0.621
0.7,0.178,-0.626
0.694,0.186,-0.631
0.686,0.192,-0.631
0.697,0.2,-0.641
0.695,0.215,-0.645
0.697,0.223,-0.64
0.698,0.227,-0.653
0.704,0.247,-0.663
0.704,0.252,-0.66
0.71,0.257,-0.664
0.711,0.269,-0.679
0.707,0.289,-0.663
0.711,0.295,-0.683
0.713,0.314,-0.676
0.715,0.322,-0.684
0.717,0.327,-0.69
0.712,0.34,-0.681
0.717,0.34,-0.687
0.72,0.356,-0.696
0.719,0.366,-0.689
0.72,0.369,-0.689
0.721,0.382,-0.7
0.716,0.398,-0.707
0.725,0.41,-0.694
0.722,0.425,-0.71
0.723,0.436,-0.7
0.731,0.444,-0.71
0.731,0.448,-0.71
0.721,0.46,-0.708
0.73,0.467,-0.709
0.73,0.476,-0.704
0.735,0.482,-0.715
0.733,0.494,-0.717
0.732,0.502,-0.713
0.731,0.515,-0.709
0.733,0.522,-0.723
0.737,0.53,-0.715
0.739,0.541,-0.721
0.741,0.553,-0.715
0.747,0.555,-0.717
0.74,0.567,-0.723
0.748,0.576,-0.723
0.745,0.576,-0.726
0.75,0.587,-0.726
0.749,0.592,-0.73
0.747,0.604,-0.728
0.753,0.609,-0.728
0.758,0.623,-0.735
0.761,0.621,-0.724
0.75,0.627,-0.74
0.754,0.64,-0.735
0.757,0.643,-0.732
0.752,0.644,-0.731
0.761,0.652,-0.736
0.759,0.664,-0.723
0.761,0.67,-0.729
0.763,0.679,-0.724
0.759,0.68,-0.733
0.771,0.69,-0.718
0.77,0.702,-0.739
0.774,0.714,-0.731
0.774,0.717,-0.727
0.775,0.729,-0.734
0.78,0.737,-0.723
0.774,0.743,-0.731
0.793,0.757,-0.745
0.783,0.765,-0.733
0.782,0.775,-0.727
0.786,0.778,-0.722
0.785,0.79,-0.721
0.787,0.795,-0.72
0.784,0.807,-0.716
0.787,0.817,-0.723
0.793,0.827,-0.72
0.797,0.833,-0.712
0.796,0.842,-0.716
0.798,0.853,-0.715
0.799,0.861,-0.711
0.803,0.874,-0.708
0.801,0.878,-0.704
0.811,0.894,-0.711
0.808,0.897,-0.703
0.806,0.906,-0.703
0.816,0.91,-0.698
0.815,0.915,-0.699
0.813,0.918,-0.703
0.818,0.926,-0.687
0.816,0.942,-0.698
0.82,0.94,-0.697
0.826,0.944,-0.685
0.831,0.968,-0.69
0.822,0.972,-0.67
0.832,0.968,-0.683
0.828,0.976,-0.678
0.833,0.983,-0.678
0.835,0.988,-0.665
0.831,0.996,-0.663
0.83,0.997,-0.661
0.828,1.007,-0.658
0.835,1.005,-0.656
0.834,1.012,-0.646
0.836,1.013,-0.652
0.84,1.028,-0.669
0.842,1.028,-0.673
0.841,1.025,-0.638
0.84,1.039,-0.645
0.852,1.035,-0.64
0.846,1.036,-0.64
0.851,1.042,-0.639
0.844,1.046,-0.622
0.846,1.052,-0.628
0.847,1.06,-0.628
0.849,1.059,-0.625
0.849,1.06,-0.617
0.854,1.062,-0.609
0.851,1.067,-0.611
0.85,1.065,-0.611
0.857,1.068,-0.603
0.851,1.076,-0.602
0.856,1.073,-0.594
0.856,1.074,-0.593
0.854,1.073,-0.588
0.861,1.076,-0.579
0.857,1.084,-0.579
0.857,1.082,-0.573
0.858,1.078,-0.568
0.861,1.081,-0.555
0.86,1.088,-0.562
0.865,1.088,-0.549
0.866,1.094,-0.55
0.872,1.095,-0.541
0.86,1.085,-0.541
0.865,1.082,-0.533
0.862,1.09,-0.525
0.868,1.084,-0.525
0.873,1.088,-0.512
0.871,1.087,-0.506
0.864,1.079,-0.504
0.876,1.089,-0.491
0.876,1.084,-0.492
0.875,1.079,-0.493
0.877,1.08,-0.484
0.876,1.076,-0.476
0.876,1.061,-0.467
0.878,1.068,-0.467
0.875,1.062,-0.457
0.875,1.063,-0.45
0.866,1.049,-0.443
0.877,1.059,-0.442
0.873,1.053,-0.429
0.878,1.046,-0.431
0.881,1.036,-0.424
0.879,1.039,-0.416
0.88,1.032,-0.414
0.878,1.02,-0.415
0.882,1.021,-0.414
0.871,1.016,-0.398
0.881,1.005,-0.391
0.877,0.999,-0.386
0.876,0.996,-0.373
0.875,0.993,-0.381
0.878,0.983,-0.367
0.875,0.979,-0.369
0.876,0.967,-0.365
0.873,0.967,-0.364
0.88,0.963,-0.36
0.872,0.956,-0.356
0.875,0.943,-0.355
0.873,0.939,-0.353
0.875,0.931,-0.349
0.875,0.925,-0.335
0.872,0.916,-0.336
0.876,0.91,-0.322
0.869,0.906,-0.33
0.866,0.895,-0.319
0.867,0.895,-0.314
0.864,0.881,-0.323
0.865,0.875,-0.316
0.868,0.867,-0.316
0.859,0.865,-0.316
0.862,0.861,-0.311
0.86,0.844,-0.308
0.853,0.846,-0.303
0.861,0.84,-0.303
0.86,0.825,-0.31
