data1,data2,data3
-0.126,0.704,-0.37
-0.119,0.711,-0.364
-0.124,0.712,-0.375
-0.115,0.716,-0.37
-0.118,0.714,-0.378
-0.123,0.714,-0.38
-0.119,0.726,-0.376
-0.118,0.725,-0.369
-0.121,0.731,-0.375
-0.119,0.737,-0.384
-0.124,0.739,-0.381
-0.115,0.737,-0.384
-0.126,0.744,-0.376
-0.118,0.74,-0.39
-0.114,0.752,-0.399
-0.114,0.751,-0.399
-0.108,0.753,-0.399
-0.112,0.756,-0.4
-0.114,0.764,-0.403
-0.107,0.765,-0.404
-0.11,0.774,-0.409
-0.107,0.773,-0.416
-0.099,0.776,-0.406
-0.104,0.776,-0.412
-0.105,0.787,-0.419
-0.104,0.79,-0.42
-0.103,0.795,-0.427
-0.102,0.799,-0.428
-0.093,0.813,-0.443
-0.091,0.815,-0.443
-0.088,0.818,-0.44
-0.096,0.833,-0.441
-0.077,0.841,-0.446
-0.089,0.845,-0.449
-0.056,0.864,-0.451
-0.051,0.882,-0.456
-0.055,0.883,-0.461
-0.068,0.89,-0.459
-0.083,0.896,-0.465
-0.094,0.911,-0.46
-0.099,0.93,-0.461
-0.106,0.944,-0.454
-0.117,0.963,-0.462
-0.117,0.974,-0.452
-0.115,0.984,-0.449
-0.111,1.006,-0.431
-0.121,1.007,-0.412
-0.12,1.019,-0.404
-0.116,1.025,-0.393
-0.117,1.034,-0.389
-0.126,1.039,-0.382
-0.111,1.032,-0.36
-0.118,1.027,-0.357
-0.113,1.032,-0.344
-0.119,1.027,-0.326
-0.114,1.027,-0.32
-0.112,1.029,-0.307
-0.109,1.014,-0.303
-0.107,1.01,-0.29
-0.107,1.006,-0.292
-0.11,1.002,-0.277
-0.101,0.99,-0.274
-0.101,0.98,-0.264
-0.099,0.975,-0.263
-0.097,0.964,-0.271
-0.099,0.962,-0.261
-0.1,0.958,-0.256
-0.094,0.956,-0.249
-0.091,0.939,-0.243
-0.087,0.945,-0.243
-0.084,0.935,-0.238
-0.083,0.933,-0.252
-0.089,0.925,-0.239
-0.078,0.924,-0.24
-0.072,0.914,-0.235
-0.084,0.912,-0.222
-0.082,0.901,-0.225
-0.07,0.89,-0.223
-0.083,0.887,-0.222
-0.079,0.878,-0.23
-0.08,0.871,-0.219
-0.068,0.867,-0.215
-0.072,0.864,-0.222
-0.079,0.859,-0.216
-0.072,0.852,-0.217
-0.079,0.85,-0.229
-0.075,0.852,-0.208
-0.07,0.84,-0.201
-0.075,0.837,-0.201
-0.074,0.832,-0.199
-0.078,0.813,-0.214
-0.074,0.819,-0.205
-0.078,0.81,-0.199
-0.075,0.807,-0.198
-0.081,0.795,-0.201
-0.077,0.792,-0.197
-0.089,0.776,-0.201
-0.085,0.762,-0.193
-0.085,0.772,-0.198
-0.092,0.762,-0.184
-0.087,0.759,-0.194
-0.084,0.75,-0.19
-0.097,0.743,-0.197
-0.087,0.733,-0.187
-0.101,0.735,-0.186
-0.098,0.722,-0.199
-0.094,0.723,-0.191
-0.095,0.708,-0.194
-0.094,0.702,-0.19
-0.106,0.698,-0.194
-0.106,0.694,-0.198
-0.106,0.682,-0.184
-0.106,0.686,-0.199
-0.104,0.683,-0.205
-0.113,0.677,-0.203
-0.115,0.675,-0.197
-0.115,0.669,-0.203
-0.114,0.67,-0.208
-0.117,0.664,-0.212
-0.117,0.663,-0.206
-0.121,0.651,-0.208
-0.118,0.65,-0.219
-0.115,0.652,-0.223
-0.116,0.645,-0.215
-0.118,0.641,-0.222
-0.122,0.628,-0.215
-0.123,0.624,-0.218
-0.127,0.626,-0.221
-0.123,0.629,-0.222
-0.122,0.621,-0.22
-0.122,0.621,-0.22
-0.123,0.613,-0.227
-0.132,0.615,-0.227
-0.131,0.611,-0.233
-0.132,0.597,-0.23
-0.139,0.607,-0.241
-0.136,0.599,-0.245
-0.138,0.596,-0.242
-0.137,0.598,-0.252
-0.138,0.594,-0.246
-0.14,0.595,-0.248
-0.142,0.59,-0.247
-0.137,0.594,-0.25
-0.141,0.585,-0.248
-0.138,0.595,-0.264
-0.141,0.584,-0.251
-0.144,0.588,-0.268
-0.151,0.581,-0.266
-0.148,0.586,-0.267
-0.152,0.574,-0.271
-0.143,0.578,-0.271
-0.141,0.586,-0.278
-0.137,0.578,-0.282
-0.145,0.574,-0.275
-0.145,0.576,-0.28
-0.15,0.584,-0.285
-0.137,0.579,-0.287
-0.15,0.583,-0.295
-0.154,0.578,-0.298
