data1,data2,data3
0.177,1.039,-0.255
0.177,1.037,-0.265
0.173,1.043,-0.264
0.177,1.047,-0.276
0.177,1.051,-0.283
0.178,1.056,-0.291
0.176,1.055,-0.284
0.175,1.06,-0.291
0.169,1.062,-0.3
0.171,1.061,-0.297
0.167,1.062,-0.3
0.164,1.06,-0.314
0.162,1.065,-0.324
0.165,1.064,-0.316
0.165,1.061,-0.316
0.169,1.059,-0.325
0.167,1.063,-0.339
0.161,1.064,-0.33
0.162,1.065,-0.344
0.158,1.057,-0.349
0.153,1.062,-0.354
0.162,1.056,-0.355
0.16,1.042,-0.361
0.158,1.051,-0.358
0.162,1.05,-0.369
0.149,1.054,-0.373
0.158,1.047,-0.38
0.146,1.045,-0.384
0.154,1.037,-0.402
0.146,1.039,-0.396
0.148,1.025,-0.399
0.148,1.025,-0.397
0.152,1.024,-0.414
0.141,1.02,-0.413
0.142,1.007,-0.414
0.148,1.013,-0.423
0.147,1.017,-0.415
0.147,1.008,-0.425
0.149,0.998,-0.423
0.135,0.99,-0.422
0.139,0.992,-0.43
0.143,0.975,-0.439
0.147,0.977,-0.441
0.142,0.965,-0.435
0.141,0.959,-0.444
0.139,0.944,-0.45
0.136,0.939,-0.447
0.137,0.939,-0.462
0.144,0.926,-0.462
0.154,0.92,-0.455
0.143,0.909,-0.458
0.148,0.91,-0.464
0.145,0.892,-0.458
0.141,0.893,-0.472
0.143,0.876,-0.462
0.143,0.866,-0.468
0.138,0.862,-0.468
0.146,0.842,-0.469
0.14,0.837,-0.485
0.146,0.823,-0.475
0.143,0.811,-0.487
0.15,0.804,-0.483
0.139,0.793,-0.473
0.14,0.792,-0.477
0.147,0.779,-0.483
0.139,0.774,-0.481
0.15,0.763,-0.479
0.141,0.761,-0.475
0.157,0.749,-0.482
0.141,0.74,-0.481
0.145,0.723,-0.475
0.148,0.708,-0.482
0.142,0.7,-0.478
0.144,0.691,-0.482
0.144,0.678,-0.488
0.141,0.667,-0.471
0.138,0.659,-0.491
0.143,0.647,-0.474
0.153,0.636,-0.461
0.146,0.63,-0.474
0.154,0.615,-0.466
0.148,0.615,-0.472
0.144,0.6,-0.457
0.154,0.594,-0.472
0.157,0.576,-0.457
0.154,0.563,-0.468
0.149,0.55,-0.465
0.164,0.533,-0.461
0.161,0.525,-0.451
0.158,0.51,-0.454
0.156,0.501,-0.448
0.155,0.493,-0.454
0.148,0.48,-0.441
0.154,0.473,-0.44
0.158,0.459,-0.438
0.158,0.451,-0.443
0.158,0.457,-0.436
0.154,0.439,-0.429
0.158,0.429,-0.431
0.155,0.415,-0.421
0.165,0.414,-0.416
0.165,0.413,-0.426
0.161,0.398,-0.422
0.159,0.388,-0.417
0.167,0.377,-0.422
0.167,0.37,-0.407
0.172,0.366,-0.406
0.165,0.347,-0.393
0.165,0.348,-0.395
0.17,0.336,-0.385
0.172,0.324,-0.384
0.176,0.312,-0.382
0.178,0.308,-0.379
0.177,0.285,-0.378
0.17,0.288,-0.362
0.177,0.275,-0.362
0.18,0.27,-0.351
0.17,0.27,-0.345
0.171,0.265,-0.337
0.178,0.262,-0.334
0.186,0.253,-0.351
0.18,0.241,-0.331
0.189,0.239,-0.335
0.189,0.242,-0.326
0.189,0.26,-0.33
0.19,0.225,-0.317
0.191,0.226,-0.319
0.191,0.223,-0.318
0.19,0.222,-0.305
0.194,0.22,-0.31
0.19,0.213,-0.304
0.199,0.212,-0.294
0.191,0.204,-0.293
0.193,0.201,-0.288
0.197,0.2,-0.285
0.201,0.197,-0.285
0.198,0.197,-0.273
0.189,0.195,-0.263
0.192,0.194,-0.266
0.19,0.188,-0.262
0.193,0.184,-0.248
0.192,0.182,-0.247
0.195,0.179,-0.247
0.201,0.185,-0.224
0.201,0.188,-0.231
0.196,0.183,-0.229
0.203,0.195,-0.228
0.206,0.192,-0.217
0.203,0.191,-0.22
0.204,0.196,-0.21
0.206,0.197,-0.191
0.21,0.187,-0.205
0.213,0.196,-0.197
0.208,0.203,-0.184
0.207,0.207,-0.184
0.21,0.205,-0.174
0.212,0.212,-0.181
0.207,0.213,-0.18
0.21,0.224,-0.169
0.213,0.22,-0.173
0.218,0.228,-0.156
0.213,0.233,-0.162
