data1,data2,data3
0.795,0.542,-0.328
0.793,0.535,-0.317
0.795,0.531,-0.309
0.796,0.525,-0.32
0.79,0.517,-0.311
0.793,0.52,-0.312
0.788,0.51,-0.314
0.789,0.511,-0.312
0.822,0.477,-0.302
0.803,0.492,-0.308
0.792,0.495,-0.311
0.78,0.488,-0.307
0.786,0.488,-0.309
0.781,0.472,-0.306
0.786,0.47,-0.316
0.792,0.455,-0.313
0.789,0.457,-0.309
0.787,0.443,-0.301
0.788,0.436,-0.318
0.797,0.435,-0.308
0.794,0.43,-0.301
0.796,0.424,-0.314
0.797,0.421,-0.31
0.798,0.418,-0.313
0.802,0.413,-0.318
0.799,0.412,-0.322
0.795,0.411,-0.323
0.796,0.401,-0.314
0.798,0.392,-0.319
0.791,0.386,-0.317
0.796,0.386,-0.322
0.799,0.386,-0.319
0.795,0.378,-0.332
0.804,0.37,-0.325
0.793,0.37,-0.337
0.792,0.364,-0.322
0.783,0.357,-0.321
0.789,0.357,-0.329
0.789,0.346,-0.329
0.795,0.342,-0.328
0.797,0.343,-0.329
0.796,0.339,-0.326
0.792,0.328,-0.33
0.801,0.327,-0.331
0.794,0.331,-0.337
0.787,0.313,-0.331
0.795,0.312,-0.329
0.795,0.309,-0.332
0.787,0.308,-0.336
0.792,0.307,-0.346
0.792,0.298,-0.331
0.795,0.29,-0.334
0.796,0.283,-0.337
0.797,0.277,-0.343
0.786,0.271,-0.347
0.797,0.271,-0.354
0.791,0.267,-0.346
0.78,0.261,-0.348
0.785,0.253,-0.347
0.801,0.255,-0.354
0.79,0.25,-0.347
0.785,0.246,-0.346
0.791,0.241,-0.354
0.792,0.242,-0.359
0.789,0.226,-0.355
0.787,0.217,-0.354
0.789,0.219,-0.358
0.787,0.211,-0.358
0.787,0.209,-0.36
0.793,0.203,-0.362
0.791,0.198,-0.364
0.785,0.195,-0.372
0.778,0.179,-0.361
0.78,0.185,-0.376
0.784,0.175,-0.37
0.778,0.17,-0.375
0.776,0.176,-0.386
0.771,0.172,-0.384
0.771,0.165,-0.399
0.769,0.163,-0.407
0.768,0.16,-0.397
0.771,0.152,-0.405
0.766,0.151,-0.406
0.768,0.151,-0.418
0.767,0.143,-0.415
0.77,0.135,-0.426
0.766,0.138,-0.436
0.768,0.139,-0.434
0.769,0.133,-0.424
0.759,0.14,-0.446
0.768,0.135,-0.439
0.761,0.127,-0.45
0.758,0.141,-0.463
0.757,0.137,-0.458
0.761,0.135,-0.468
0.763,0.135,-0.458
0.754,0.126,-0.476
0.757,0.13,-0.488
0.758,0.134,-0.483
0.757,0.134,-0.483
0.757,0.136,-0.483
0.76,0.139,-0.49
0.749,0.139,-0.498
0.752,0.146,-0.5
0.751,0.138,-0.504
0.752,0.141,-0.501
0.76,0.139,-0.518
0.756,0.15,-0.517
0.751,0.146,-0.523
0.745,0.145,-0.528
0.756,0.149,-0.518
0.747,0.148,-0.527
0.75,0.153,-0.532
0.749,0.153,-0.54
0.753,0.164,-0.549
0.757,0.157,-0.537
0.753,0.16,-0.558
0.754,0.165,-0.555
0.747,0.169,-0.552
0.754,0.173,-0.558
0.755,0.174,-0.549
0.763,0.178,-0.56
0.756,0.184,-0.558
0.757,0.189,-0.564
0.754,0.188,-0.564
0.766,0.187,-0.571
0.752,0.201,-0.573
0.751,0.204,-0.567
0.758,0.2,-0.573
0.763,0.205,-0.575
0.76,0.205,-0.581
0.759,0.209,-0.583
0.755,0.214,-0.576
0.765,0.216,-0.566
0.764,0.224,-0.585
0.761,0.224,-0.596
0.765,0.23,-0.592
0.763,0.227,-0.595
0.764,0.226,-0.601
0.759,0.234,-0.602
0.758,0.243,-0.597
0.765,0.242,-0.596
0.772,0.251,-0.606
0.764,0.255,-0.603
0.761,0.262,-0.608
0.76,0.261,-0.609
0.764,0.262,-0.612
0.764,0.274,-0.61
0.766,0.279,-0.606
0.768,0.282,-0.616
0.766,0.291,-0.628
0.771,0.292,-0.625
0.767,0.298,-0.618
0.766,0.305,-0.623
0.766,0.303,-0.636
0.769,0.313,-0.629
0.772,0.321,-0.639
0.773,0.329,-0.635
0.773,0.328,-0.643
0.771,0.335,-0.65
0.778,0.349,-0.637
0.773,0.343,-0.649
0.78,0.349,-0.643
0.768,0.367,-0.643
0.781,0.372,-0.652
0.78,0.374,-0.654
0.772,0.381,-0.652
0.773,0.378,-0.657
0.78,0.393,-0.645
0.779,0.398,-0.651
0.781,0.406,-0.662
0.782,0.412,-0.657
0.781,0.424,-0.651
0.78,0.421,-0.659
0.783,0.425,-0.68
0.784,0.439,-0.67
0.785,0.445,-0.661
0.783,0.456,-0.665
0.785,0.463,-0.666
0.787,0.469,-0.671
0.789,0.479,-0.67
0.787,0.478,-0.675
0.791,0.488,-0.677
0.789,0.5,-0.673
0.795,0.509,-0.673
0.797,0.512,-0.69
0.801,0.516,-0.693
0.799,0.52,-0.687
0.794,0.538,-0.678
0.801,0.544,-0.691
0.803,0.555,-0.694
0.808,0.559,-0.692
0.805,0.574,-0.682
0.804,0.579,-0.684
0.809,0.589,-0.689
0.805,0.593,-0.69
0.813,0.604,-0.694
0.808,0.612,-0.693
0.809,0.626,-0.699
0.813,0.63,-0.694
0.815,0.626,-0.703
0.812,0.642,-0.688
0.821,0.645,-0.687
0.818,0.652,-0.676
0.818,0.66,-0.694
0.815,0.667,-0.684
0.823,0.669,-0.681
0.821,0.673,-0.684
0.811,0.683,-0.69
0.823,0.692,-0.692
0.825,0.704,-0.678
0.828,0.707,-0.69
0.83,0.714,-0.687
0.832,0.717,-0.682
0.835,0.728,-0.688
0.836,0.732,-0.699
0.838,0.738,-0.688
0.833,0.745,-0.679
0.834,0.754,-0.672
0.84,0.757,-0.675
0.837,0.758,-0.678
0.838,0.764,-0.679
0.839,0.772,-0.673
0.846,0.772,-0.678
0.849,0.782,-0.672
0.845,0.79,-0.669
0.844,0.783,-0.667
0.845,0.789,-0.665
0.842,0.79,-0.667
0.844,0.8,-0.675
0.846,0.807,-0.661
0.852,0.811,-0.668
0.849,0.809,-0.658
0.842,0.817,-0.67
0.849,0.821,-0.667
0.85,0.824,-0.664
0.852,0.818,-0.665
0.855,0.824,-0.659
0.855,0.827,-0.66
0.859,0.84,-0.656
0.856,0.838,-0.66
0.856,0.841,-0.653
0.862,0.845,-0.656
0.861,0.851,-0.654
0.863,0.855,-0.648
0.86,0.864,-0.641
0.861,0.871,-0.633
0.856,0.862,-0.637
0.861,0.88,-0.636
0.866,0.881,-0.637
0.869,0.884,-0.637
0.871,0.887,-0.633
0.871,0.887,-0.619
0.872,0.892,-0.629
0.868,0.896,-0.623
0.871,0.907,-0.617
0.871,0.906,-0.623
0.87,0.907,-0.613
0.868,0.908,-0.621
0.874,0.915,-0.608
0.867,0.917,-0.609
0.873,0.917,-0.595
0.882,0.926,-0.598
0.877,0.93,-0.592
0.876,0.928,-0.595
0.882,0.934,-0.591
0.879,0.933,-0.583
0.877,0.932,-0.579
0.884,0.935,-0.586
0.882,0.937,-0.588
0.887,0.94,-0.578
0.884,0.939,-0.588
0.887,0.936,-0.581
0.887,0.939,-0.57
0.891,0.946,-0.567
0.889,0.946,-0.569
0.885,0.947,-0.563
0.888,0.94,-0.563
0.893,0.938,-0.563
0.897,0.945,-0.557
0.891,0.943,-0.542
0.894,0.945,-0.55
0.896,0.95,-0.534
0.894,0.943,-0.532
0.892,0.948,-0.535
0.892,0.944,-0.536
0.901,0.944,-0.534
0.9,0.938,-0.531
0.89,0.945,-0.526
0.897,0.938,-0.521
0.901,0.94,-0.517
0.899,0.938,-0.509
0.894,0.943,-0.513
0.898,0.935,-0.507
0.889,0.931,-0.495
0.898,0.934,-0.496
0.897,0.94,-0.499
0.903,0.932,-0.496
0.906,0.938,-0.491
0.898,0.929,-0.484
0.893,0.931,-0.484
0.898,0.931,-0.494
0.904,0.931,-0.488
0.904,0.92,-0.482
0.909,0.929,-0.473
0.905,0.917,-0.469
0.899,0.921,-0.471
0.907,0.918,-0.464
0.906,0.916,-0.45
0.896,0.903,-0.454
0.905,0.911,-0.448
0.9,0.908,-0.457
0.901,0.894,-0.444
0.901,0.898,-0.444
0.894,0.894,-0.447
0.903,0.892,-0.443
0.896,0.889,-0.435
0.899,0.876,-0.414
0.901,0.871,-0.428
0.897,0.868,-0.423
0.903,0.862,-0.417
0.893,0.861,-0.411
0.895,0.858,-0.417
