data1,data2,data3
-0.096,0.971,-0.27
-0.1,0.969,-0.267
-0.101,0.966,-0.268
-0.106,0.96,-0.269
-0.099,0.957,-0.266
-0.096,0.956,-0.26
-0.106,0.952,-0.264
-0.105,0.947,-0.261
-0.111,0.939,-0.268
-0.11,0.939,-0.263
-0.109,0.924,-0.268
-0.115,0.913,-0.261
-0.115,0.919,-0.265
-0.12,0.911,-0.262
-0.115,0.911,-0.259
-0.115,0.911,-0.27
-0.118,0.905,-0.262
-0.119,0.893,-0.258
-0.119,0.887,-0.265
-0.119,0.894,-0.265
-0.12,0.885,-0.261
-0.12,0.882,-0.267
-0.116,0.875,-0.273
-0.121,0.876,-0.274
-0.119,0.871,-0.271
-0.124,0.859,-0.266
-0.118,0.87,-0.268
-0.123,0.861,-0.269
-0.12,0.852,-0.267
-0.131,0.862,-0.274
-0.129,0.854,-0.274
-0.131,0.856,-0.274
-0.125,0.857,-0.27
-0.126,0.852,-0.276
-0.121,0.848,-0.28
-0.135,0.852,-0.278
-0.125,0.842,-0.276
-0.128,0.847,-0.279
-0.125,0.844,-0.272
-0.124,0.837,-0.283
-0.124,0.844,-0.286
-0.129,0.847,-0.279
-0.128,0.843,-0.289
-0.133,0.838,-0.282
-0.128,0.839,-0.283
-0.134,0.837,-0.281
-0.129,0.842,-0.279
-0.127,0.843,-0.286
-0.138,0.834,-0.287
-0.132,0.84,-0.285
-0.13,0.827,-0.288
-0.126,0.829,-0.285
-0.13,0.831,-0.279
-0.132,0.83,-0.284
-0.131,0.837,-0.292
-0.133,0.833,-0.285
-0.123,0.835,-0.294
-0.13,0.831,-0.288
-0.13,0.835,-0.299
-0.132,0.837,-0.291
-0.135,0.83,-0.285
-0.127,0.828,-0.293
-0.132,0.824,-0.288
-0.128,0.832,-0.294
-0.125,0.827,-0.303
-0.133,0.83,-0.305
-0.128,0.832,-0.292
-0.128,0.83,-0.295
-0.134,0.832,-0.302
-0.129,0.831,-0.295
-0.132,0.827,-0.306
-0.134,0.828,-0.291
-0.134,0.837,-0.306
-0.128,0.836,-0.293
-0.131,0.837,-0.298
-0.134,0.84,-0.3
-0.131,0.837,-0.303
-0.13,0.846,-0.311
-0.128,0.838,-0.3
-0.131,0.838,-0.307
-0.126,0.84,-0.305
-0.123,0.842,-0.309
-0.129,0.844,-0.31
-0.13,0.84,-0.317
-0.128,0.834,-0.32
-0.123,0.848,-0.31
-0.124,0.85,-0.307
-0.129,0.85,-0.315
-0.127,0.847,-0.318
-0.124,0.849,-0.318
-0.127,0.85,-0.307
-0.124,0.844,-0.306
-0.127,0.85,-0.31
-0.128,0.847,-0.32
-0.124,0.849,-0.32
-0.118,0.852,-0.317
-0.119,0.853,-0.314
-0.117,0.859,-0.31
-0.123,0.854,-0.313
-0.124,0.859,-0.324
-0.121,0.856,-0.319
-0.113,0.859,-0.308
-0.12,0.859,-0.312
-0.123,0.859,-0.328
-0.122,0.858,-0.319
-0.12,0.861,-0.314
-0.125,0.863,-0.32
-0.12,0.868,-0.327
-0.122,0.87,-0.311
-0.123,0.863,-0.318
-0.123,0.861,-0.314
-0.11,0.868,-0.318
-0.12,0.87,-0.318
-0.118,0.867,-0.32
-0.123,0.873,-0.327
-0.122,0.877,-0.321
-0.12,0.867,-0.314
-0.113,0.873,-0.33
-0.112,0.873,-0.314
-0.118,0.873,-0.32
-0.117,0.872,-0.326
-0.113,0.876,-0.327
-0.123,0.868,-0.32
-0.118,0.868,-0.326
-0.113,0.88,-0.323
-0.115,0.875,-0.327
-0.115,0.881,-0.317
-0.118,0.874,-0.317
-0.11,0.88,-0.315
-0.115,0.886,-0.317
-0.119,0.885,-0.328
-0.115,0.884,-0.32
-0.117,0.889,-0.334
-0.113,0.892,-0.329
-0.117,0.892,-0.345
-0.118,0.897,-0.331
-0.105,0.902,-0.331
-0.116,0.894,-0.331
-0.111,0.903,-0.328
-0.11,0.899,-0.335
-0.103,0.904,-0.333
-0.104,0.907,-0.333
-0.103,0.905,-0.33
-0.109,0.9,-0.33
-0.108,0.906,-0.328
-0.108,0.911,-0.333
-0.11,0.914,-0.343
-0.11,0.915,-0.329
-0.107,0.915,-0.326
-0.108,0.913,-0.326
-0.111,0.916,-0.336
-0.107,0.916,-0.333
-0.107,0.913,-0.331
-0.105,0.922,-0.322
-0.109,0.923,-0.334
-0.104,0.922,-0.315
-0.109,0.92,-0.324
-0.106,0.921,-0.328
-0.102,0.922,-0.327
-0.107,0.93,-0.332
-0.101,0.923,-0.333
-0.107,0.93,-0.335
-0.103,0.934,-0.33
-0.098,0.933,-0.318
-0.106,0.93,-0.329
-0.101,0.929,-0.33
-0.101,0.933,-0.327
-0.102,0.936,-0.332
-0.098,0.929,-0.325
-0.103,0.939,-0.329
-0.104,0.937,-0.323
-0.108,0.94,-0.325
-0.099,0.935,-0.331
-0.099,0.945,-0.327
-0.095,0.941,-0.325
-0.098,0.942,-0.317
-0.101,0.945,-0.325
-0.103,0.944,-0.328
-0.103,0.938,-0.34
-0.1,0.939,-0.323
-0.098,0.951,-0.322
-0.097,0.947,-0.32
-0.099,0.951,-0.328
-0.102,0.937,-0.325
-0.094,0.951,-0.325
-0.097,0.945,-0.323
-0.098,0.951,-0.323
-0.1,0.947,-0.317
-0.089,0.961,-0.324
-0.094,0.961,-0.326
-0.098,0.954,-0.327
-0.097,0.963,-0.313
-0.1,0.957,-0.324
-0.096,0.954,-0.31
-0.092,0.955,-0.327
-0.088,0.954,-0.316
-0.096,0.961,-0.315
-0.089,0.955,-0.321
-0.092,0.956,-0.307
-0.092,0.961,-0.319
-0.097,0.961,-0.305
-0.093,0.958,-0.313
-0.091,0.955,-0.308
-0.094,0.956,-0.309
-0.09,0.962,-0.313
-0.093,0.964,-0.315
-0.086,0.966,-0.312
-0.094,0.959,-0.313
-0.092,0.961,-0.318
-0.09,0.958,-0.311
-0.082,0.953,-0.292
-0.094,0.956,-0.304
-0.091,0.961,-0.317
-0.09,0.958,-0.303
-0.084,0.958,-0.313
-0.088,0.953,-0.31
-0.084,0.961,-0.305
-0.089,0.954,-0.314
-0.089,0.958,-0.307
-0.082,0.957,-0.302
-0.088,0.962,-0.305
-0.093,0.964,-0.305
-0.089,0.959,-0.307
-0.091,0.957,-0.308
-0.088,0.961,-0.305
