0,1,2,3
0.0,2.178,2.23,1.65
7.452,2.139,2.131,1.582
17.604,2.099,1.993,1.479
28.242,2.061,1.859,1.364
37.584,2.035,1.771,1.247
48.078,2.008,1.68,1.11
57.132,1.997,1.631,1.007
66.96,1.977,1.582,0.882
77.976,1.969,1.567,0.774
87.768,1.966,1.602,0.678
98.154,1.983,1.64,0.579
107.874,1.989,1.699,0.502
118.548,2.006,1.799,0.456
126.882,2.018,1.882,0.431
138.078,2.051,2.022,0.415
147.528,2.079,2.145,0.419
157.392,2.11,2.298,0.448
167.994,2.156,2.449,0.521
177.156,2.183,2.589,0.571
187.29,2.219,2.745,0.662
197.496,2.247,2.887,0.782
208.044,2.292,3.003,0.89
217.278,2.323,3.099,1.005
227.916,2.342,3.192,1.145
236.628,2.358,3.246,1.264
246.906,2.38,3.265,1.384
257.832,2.394,3.293,1.508
267.534,2.388,3.28,1.607
278.01,2.379,3.23,1.707
287.748,2.38,3.159,1.768
298.314,2.352,3.08,1.815
306.828,2.337,2.986,1.847
318.024,2.309,2.845,1.858
327.636,2.279,2.717,1.839
337.554,2.241,2.576,1.799
348.12,2.197,2.419,1.753
