data1_time,data1_peak_to_peak,data2_time,data2_peak_to_peak,data3_time,data3_peak_to_peak
0.0,0.06799999999999999,0.0,0.252,0.0,0.12399999999999997
2.0,0.078,2.0,0.253,2.0,0.157
4.0,0.078,4.0,0.253,4.0,0.142
6.0,0.08099999999999999,6.0,0.277,6.0,0.156
8.0,0.162,8.0,0.46799999999999997,8.0,0.24999999999999997
10.0,0.161,10.0,0.4700000000000001,10.0,0.24799999999999997
12.0,0.157,12.0,0.48,12.0,0.254
14.0,0.192,14.0,0.6120000000000001,14.0,0.3
16.0,0.184,16.0,0.755,16.0,0.378
18.0,0.179,18.0,0.769,18.0,0.393
20.0,0.177,20.0,0.7770000000000001,20.0,0.398
22.0,0.208,22.0,0.877,22.0,0.44800000000000006
24.0,0.227,24.0,1.0699999999999998,24.0,0.5079999999999999
26.0,0.226,26.0,1.066,26.0,0.5269999999999999
28.0,0.21800000000000003,28.0,1.0550000000000002,28.0,0.5239999999999999
30.0,0.294,30.0,1.081,30.0,0.5379999999999999
32.0,0.276,32.0,1.2990000000000002,32.0,0.606
34.0,0.29,34.0,1.308,34.0,0.607
36.0,0.286,36.0,1.304,36.0,0.605
38.0,0.275,38.0,1.419,38.0,0.62
40.0,0.311,40.0,1.486,40.0,0.6819999999999999
42.0,0.315,42.0,1.5,42.0,0.6910000000000001
44.0,0.316,44.0,1.496,44.0,0.6900000000000001
46.0,0.357,46.0,1.526,46.0,0.711
48.0,0.34099999999999997,48.0,1.6500000000000001,48.0,0.766
50.0,0.33599999999999997,50.0,1.651,50.0,0.778
52.0,0.33699999999999997,52.0,1.65,52.0,0.779
54.0,0.33499999999999996,54.0,1.653,54.0,0.776
56.0,0.355,56.0,1.75,56.0,0.803
58.0,0.355,58.0,1.746,58.0,0.805
60.0,0.348,60.0,1.742,60.0,0.803
62.0,0.346,62.0,1.744,62.0,0.797
64.0,0.41700000000000004,64.0,1.8030000000000002,64.0,0.8039999999999999
66.0,0.368,66.0,1.8,66.0,0.82
68.0,0.37,68.0,1.8070000000000002,68.0,0.799
70.0,0.36300000000000004,70.0,1.799,70.0,0.807
72.0,0.354,72.0,1.79,72.0,0.8029999999999999
74.0,0.36,74.0,1.782,74.0,0.837
76.0,0.362,76.0,1.7890000000000001,76.0,0.816
78.0,0.372,78.0,1.79,78.0,0.8109999999999999
80.0,0.332,80.0,1.73,80.0,0.829
82.0,0.3360000000000001,82.0,1.734,82.0,0.7929999999999999
84.0,0.341,84.0,1.726,84.0,0.7819999999999999
86.0,0.335,86.0,1.73,86.0,0.7789999999999999
88.0,0.404,88.0,1.653,88.0,0.734
90.0,0.324,90.0,1.65,90.0,0.75
92.0,0.323,92.0,1.6340000000000001,92.0,0.732
94.0,0.34500000000000003,94.0,1.656,94.0,0.737
96.0,0.2879999999999999,96.0,1.5699999999999998,96.0,0.6579999999999999
98.0,0.2829999999999999,98.0,1.448,98.0,0.6489999999999999
100.0,0.2839999999999999,100.0,1.441,100.0,0.641
102.0,0.30699999999999994,102.0,1.447,102.0,0.643
104.0,0.267,104.0,1.3170000000000002,104.0,0.604
106.0,0.23399999999999999,106.0,1.268,106.0,0.5730000000000001
108.0,0.245,108.0,1.27,108.0,0.5760000000000001
110.0,0.254,110.0,1.268,110.0,0.5700000000000001
112.0,0.264,112.0,1.159,112.0,0.502
114.0,0.19100000000000006,114.0,1.0150000000000001,114.0,0.444
116.0,0.18200000000000005,116.0,1.006,116.0,0.452
118.0,0.21399999999999997,118.0,1.025,118.0,0.44699999999999995
120.0,0.17000000000000004,120.0,0.8949999999999999,120.0,0.44
122.0,0.14100000000000001,122.0,0.7330000000000001,122.0,0.324
124.0,0.137,124.0,0.732,124.0,0.329
126.0,0.136,126.0,0.7230000000000001,126.0,0.31700000000000006
128.0,0.139,128.0,0.7230000000000001,128.0,0.28099999999999997
130.0,0.09000000000000008,130.0,0.444,130.0,0.237
132.0,0.09000000000000008,132.0,0.436,132.0,0.22199999999999998
134.0,0.09300000000000008,134.0,0.443,134.0,0.22999999999999998
136.0,0.08600000000000008,136.0,0.434,136.0,0.189
138.0,0.05600000000000005,138.0,0.15499999999999997,138.0,0.12300000000000005
140.0,0.05900000000000005,140.0,0.16499999999999998,140.0,0.12400000000000005
142.0,0.06400000000000006,142.0,0.15999999999999998,142.0,0.12100000000000005
144.0,0.07300000000000006,144.0,0.193,144.0,0.11999999999999994
146.0,0.08400000000000007,146.0,0.22800000000000004,146.0,0.14999999999999997
148.0,0.07700000000000007,148.0,0.23000000000000004,148.0,0.14999999999999997
150.0,0.08600000000000008,150.0,0.23100000000000004,150.0,0.15099999999999997
152.0,0.11499999999999999,152.0,0.35500000000000004,152.0,0.19599999999999995
154.0,0.1339999999999999,154.0,0.518,154.0,0.30400000000000005
156.0,0.1329999999999999,156.0,0.5170000000000001,156.0,0.29600000000000004
158.0,0.1319999999999999,158.0,0.5110000000000001,158.0,0.331
160.0,0.16799999999999993,160.0,0.5529999999999999,160.0,0.385
162.0,0.19399999999999995,162.0,0.8089999999999999,162.0,0.459
164.0,0.18999999999999995,164.0,0.83,164.0,0.463
166.0,0.20299999999999996,166.0,0.827,166.0,0.484
168.0,0.19199999999999995,168.0,0.894,168.0,0.47000000000000003
170.0,0.24,170.0,1.0839999999999999,170.0,0.536
172.0,0.258,172.0,1.101,172.0,0.546
174.0,0.254,174.0,1.121,174.0,0.542
176.0,0.251,176.0,1.107,176.0,0.537
178.0,0.28700000000000003,178.0,1.3219999999999998,178.0,0.638
180.0,0.28200000000000003,180.0,1.333,180.0,0.653
182.0,0.29000000000000004,182.0,1.333,182.0,0.64
184.0,0.29500000000000004,184.0,1.3359999999999999,184.0,0.647
186.0,0.31399999999999995,186.0,1.535,186.0,0.765
